Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
68,12_C_65_03,ATP_C_65_Ubicherla,1,G.Anantapur,0,,0,0,,
69,12_C_65_03,ATP_C_65_Ubicherla,2,Virupapuram,0,2650,2650,145750,,
70,12_C_65_03,ATP_C_65_Ubicherla,3,G.Venkatampalli,0,1206,1206,66330,,
71,12_C_65_03,ATP_C_65_Ubicherla,8,Avulampalli,0,506,506,27830,,
72,12_C_65_03,ATP_C_65_Ubicherla,10,Peddavadugur,7630,0,7630,419650,,
73,12_C_65_03,ATP_C_65_Ubicherla,11,Medimakulapalli,878,0,878,48290,,
74,12_C_65_03,ATP_C_65_Ubicherla,15,Teliki,0,923,923,50765,,
75,12_C_65_03,ATP_C_65_Ubicherla,16,C.Vadugur,1340,0,1340,73700,,
76,12_C_65_03,ATP_C_65_Ubicherla,19,Nagalapuram,0,451,451,24805,,
77,12_C_65_03,ATP_C_65_Ubicherla,20,Dimmagudi,2202,0,2202,121110,,
78,12_C_65_03,ATP_C_65_Ubicherla,21,Chittoor,1675,0,1675,92125,,
79,12_C_65_03,ATP_C_65_Ubicherla,22,Kandla Gudur,1139,0,1139,62645,,
80,12_C_65_03,ATP_C_65_Ubicherla,23,Chitrachedu,0,1834,1834,100870,,
81,12_C_65_03,ATP_C_65_Ubicherla,24,Mulakatalla,0,1049,1049,57695,,
82,12_C_65_03,ATP_C_65_Ubicherla,3,Ubicherla,0,2199,2199,120945,,
83,12_C_65_03,ATP_C_65_Ubicherla,4,Karidikonda,0,2732,2732,150260,,
84,12_C_65_03,ATP_C_65_Ubicherla,5,Dharmapuram,0,721,721,39655,,
85,12_C_65_03,ATP_C_65_Ubicherla,6,Chetnepalli,0,156,156,8580,,
86,12_C_65_03,ATP_C_65_Ubicherla,8,Kojjepalli,0,3622,3622,199210,,
87,12_C_65_03,ATP_C_65_Ubicherla,18,Turakapalli,1371,0,1371,75405,,
88,12_C_65_03,ATP_C_65_Ubicherla,19,Gooty(R),0,180,180,9900,,
89,12_C_65_03,ATP_C_65_Ubicherla,20,Kothapeta,0,3158,3158,173690,,
90,12_C_65_03,ATP_C_65_Ubicherla,21,Engilibanda,0,594,594,32670,,
91,12_C_65_03,ATP_C_65_Ubicherla,9,Obulapuram,0,1449,1449,79695,,
92,12_C_65_15,ATP_C_65_Budedu,1,Penakacherla,4792,0,4792,263560,,
93,12_C_65_15,ATP_C_65_Budedu,2,Koppalakonda,1886,0,1886,103730,,
94,12_C_65_15,ATP_C_65_Budedu,3,Kesavapuram,1144,0,1144,62920,,
95,12_C_65_15,ATP_C_65_Budedu,4,Muntimadugu,1723,0,1723,94765,,
96,12_C_65_15,ATP_C_65_Budedu,5,K.Agraharam,9404,0,9404,517220,,
97,12_C_65_15,ATP_C_65_Budedu,9,Ankampeta,211,0,211,11605,,
98,12_C_65_15,ATP_C_65_Budedu,10,Sirivaram,1080,0,1080,59400,,
99,12_C_65_15,ATP_C_65_Budedu,11,Krishnapuram,2942,0,2942,161810,,
100,12_C_65_15,ATP_C_65_Budedu,12,Yerraguntla,4780,0,4780,262900,,
101,12_C_65_15,ATP_C_65_Budedu,15,Budedu,1472,0,1472,80960,,
102,12_C_65_01,ATP_C_65_Guntakal,2,Thimmanaacherla,0,131,131,7205,,
103,12_C_65_01,ATP_C_65_Guntakal,3,Kasapuram,0,3692,3692,203060,,
104,12_C_65_01,ATP_C_65_Guntakal,4,Sangala,0,386,386,21230,,
105,12_C_65_01,ATP_C_65_Guntakal,5,Dosaludiki,0,1649,1649,90695,,
106,12_C_65_01,ATP_C_65_Guntakal,6,Gundala,0,1740,1740,95700,,
107,12_C_65_01,ATP_C_65_Guntakal,7,Konganapalli,0,3886,3886,213730,,
108,12_C_65_01,ATP_C_65_Guntakal,8,Sankarabanda,0,715,715,39325,,
109,12_C_65_01,ATP_C_65_Guntakal,9,P.K.Cheruvu,3064,0,3064,168520,,
110,12_C_65_01,ATP_C_65_Guntakal,10,Ameenpalli,0,697,697,38335,,
111,12_C_65_01,ATP_C_65_Guntakal,11,Nakkaladoddi,0,3098,3098,170390,,
112,12_C_65_01,ATP_C_65_Guntakal,12,Thimmapuram,0,1840,1840,101200,,
113,12_C_65_01,ATP_C_65_Guntakal,13,Donimukkala,0,1035,1035,56925,,
114,12_C_65_01,ATP_C_65_Guntakal,14,Nelagonda,0,5403,5403,297165,,
115,12_C_65_01,ATP_C_65_Guntakal,1,Rajapuram,1754,0,1754,96470,,
116,12_C_65_01,ATP_C_65_Guntakal,2,Marnepalli,387,0,387,21285,,
117,12_C_65_01,ATP_C_65_Guntakal,3,Peddoddi,2048,0,2048,112640,,
118,12_C_65_01,ATP_C_65_Guntakal,4,Brahmanahaplli,1171,0,1171,64405,,
119,12_C_65_01,ATP_C_65_Guntakal,7,Yerragudi,1130,0,1130,62150,,
120,12_C_65_01,ATP_C_65_Guntakal,8,Anaganadoddi,0,863,863,47465,,
121,12_C_65_01,ATP_C_65_Guntakal,9,Abbedoddi,0,1550,1550,85250,,
122,12_C_65_01,ATP_C_65_Guntakal,1,Guntakal,0,126270,126270,6944850,,
123,12_C_65_02,ATP_C_65_Kaderpet,1,Vajrakaruru,0,7925,7925,435875,,
124,12_C_65_02,ATP_C_65_Kaderpet,2,Ganjikunta,0,1695,1695,93225,,
125,12_C_65_02,ATP_C_65_Kaderpet,3,Kadamalakunta,0,1188,1188,65340,,
126,12_C_65_02,ATP_C_65_Kaderpet,5,Tatrakal,0,2986,2986,164230,,
127,12_C_65_02,ATP_C_65_Kaderpet,6,Pandikunta,0,2214,2214,121770,,
128,12_C_65_02,ATP_C_65_Kaderpet,1,Anumpalli,0,2761,2761,151855,,
129,12_C_65_02,ATP_C_65_Kaderpet,2,Kaderpeta,0,1246,1246,68530,,
130,12_C_65_02,ATP_C_65_Kaderpet,4,Nemallepalli,732,,732,40260,,
131,12_C_65_02,ATP_C_65_Kaderpet,5,Eddulapalli,2555,,2555,140525,,
132,12_C_65_02,ATP_C_65_Kaderpet,6,Ramagiri,0,2387,2387,131285,,
133,12_C_65_02,ATP_C_65_Kaderpet,7,Palyam,3000,,3000,165000,,
134,12_C_65_02,ATP_C_65_Kaderpet,8,Katrimala,2438,,2438,134090,,
135,12_C_65_02,ATP_C_65_Kaderpet,9,Apparajupeta,686,,686,37730,,
136,12_C_65_02,ATP_C_65_Kaderpet,10,Kandlapalli,1265,,1265,69575,,
137,12_C_65_02,ATP_C_65_Kaderpet,11,S.K.Peta,860,,860,47300,,
138,12_C_65_02,ATP_C_65_Kaderpet,12,Vankarajukalva,1119,,1119,61545,,
139,12_C_65_02,ATP_C_65_Kaderpet,2,Devarapalli,2115,,2115,116325,,
140,12_C_65_02,ATP_C_65_Kaderpet,3,Akkajampalli,165,,165,9075,,
141,12_C_65_02,ATP_C_65_Kaderpet,4,Yedururu,0,1053,1053,57915,,
142,12_C_65_02,ATP_C_65_Kaderpet,5,Ramarajupalli,0,1222,1222,67210,,
143,12_C_65_02,ATP_C_65_Kaderpet,6,Gajarampalli,1302,,1302,71610,,
144,12_C_65_02,ATP_C_65_Kaderpet,7,Pogaruru,343,,343,18865,,
145,12_C_65_02,ATP_C_65_Kaderpet,8,Gulimikondla,1231,,1231,67705,,
146,12_C_65_02,ATP_C_65_Kaderpet,9,Kalapuram,768,,768,42240,,
147,12_C_65_02,ATP_C_65_Kaderpet,10,Pamidi,26886,,26886,1478730,,
148,12_C_65_02,ATP_C_65_Kaderpet,11,Neeluru,747,,747,41085,,
149,12_C_65_02,ATP_C_65_Kaderpet,12,Tamballapalli,0,422,422,23210,,
150,12_C_65_02,ATP_C_65_Kaderpet,3,Konduru,0,746,746,41030,,
151,12_C_65_02,ATP_C_65_Kaderpet,1,Ayyavaripalli,1080,,1080,59400,,
152,12_C_65_02,ATP_C_65_Kaderpet,12,Ragulapadu,0,2178,2178,119790,,
153,12_C_65_01,ATP_C_65_Midthuru,1,Dancherla,2489,0,2489,136895,,
154,12_C_65_01,ATP_C_65_Midthuru,2,Y.T.Cheruvu,3399,0,3399,186945,,
155,12_C_65_01,ATP_C_65_Midthuru,3,Nagasamudram,7891,0,7891,434005,,
156,12_C_65_01,ATP_C_65_Midthuru,5,Eswarapalli,480,0,480,26400,,
157,12_C_65_01,ATP_C_65_Midthuru,6,Mamadur,0,1347,1347,74085,,
158,12_C_65_01,ATP_C_65_Midthuru,1,Kamalapadu,0,1785,1785,98175,,
159,12_C_65_01,ATP_C_65_Midthuru,1,Miduthur,1419,0,1419,78045,,
160,12_C_65_01,ATP_C_65_Midthuru,2,Penakalapadu,1786,0,1786,98230,,
161,12_C_65_02,ATP_C_65_Tarimala,8,Kanampalli,1818,0,1818,99990,,
162,12_C_65_02,ATP_C_65_Tarimala,7,Illuru,3388,0,3388,186340,,
163,12_C_65_02,ATP_C_65_Tarimala,6,Kallur,1841,0,1841,101255,,
164,12_C_65_02,ATP_C_65_Tarimala,1,Kallumadi,3921,0,3921,215655,,
165,12_C_65_02,ATP_C_65_Tarimala,2,Tarimela,4681,0,4681,257455,,
166,12_C_65_02,ATP_C_65_Tarimala,3,Nidhanawada,1163,0,1163,63965,,
167,12_C_65_02,ATP_C_65_Tarimala,4,Anandaraopeta,1058,0,1058,58190,,
168,12_C_65_02,ATP_C_65_Tarimala,5,Rachepalli,2403,0,2403,132165,,
169,12_C_65_02,ATP_C_65_Tarimala,6,Buddepalli,1152,0,1152,63360,,
170,12_C_66_14,ATP_C_66_Ananthapuramu,14,Siddrampuram,0,4350,4350,239250,,
171,12_C_66_14,ATP_C_66_Ananthapuramu,2,Janthaluru,2584,0,2584,142120,,
172,12_C_66_14,ATP_C_66_Ananthapuramu,9,Govindampalli,0,2130,2130,117150,,
173,12_C_66_14,ATP_C_66_Ananthapuramu,10,B.K.Samudram,22000,0,22000,1210000,,
174,12_C_66_14,ATP_C_66_Ananthapuramu,11,Reddipalli,4935,0,4935,271425,,
175,12_C_66_14,ATP_C_66_Ananthapuramu,2,Somaladoddi,3424,0,3424,188320,,
176,12_C_66_14,ATP_C_66_Ananthapuramu,3,Narayanapuram,987,0,987,54285,,
177,12_C_66_14,ATP_C_66_Ananthapuramu,4,Kodimi,0,2844,2844,156420,,
178,12_C_66_14,ATP_C_66_Ananthapuramu,10,Alamur,0,3326,3326,182930,,
179,12_C_66_14,ATP_C_66_Ananthapuramu,12,Kakkalapalli,0,12617,12617,693935,,
180,12_C_66_14,ATP_C_66_Ananthapuramu,14,Anantapur,0,334456,334456,18395080,,
181,12_C_66_14,ATP_C_66_Ananthapuramu,6,Bukkacherla,0,1416,1416,77880,,
182,12_C_66_14,ATP_C_66_Ananthapuramu,11,Katiganikaluva,0,1440,1440,79200,,
183,12_C_66_04,ATP_C_66_Narpala,20,Chiyyedu,0,5015,5015,275825,,
184,12_C_66_04,ATP_C_66_Narpala,5,Chennampalli,5474,0,5474,301070,,
185,12_C_66_04,ATP_C_66_Narpala,12,K.Agragharam,8367,0,8367,460185,,
186,12_C_66_04,ATP_C_66_Narpala,13,Danduvaripalli,0,2014,2014,110770,,
187,12_C_66_04,ATP_C_66_Narpala,3,Chamaluru,5937,0,5937,326535,,
188,12_C_66_04,ATP_C_66_Narpala,4,Narpala,18982,0,18982,1044010,,
189,12_C_66_04,ATP_C_66_Narpala,6,Daggumarri,0,3009,3009,165495,,
190,12_C_66_04,ATP_C_66_Narpala,7,Bondalavada,0,2180,2180,119900,,
191,12_C_66_04,ATP_C_66_Narpala,8,Siddaracherla,0,1609,1609,88495,,
192,12_C_66_04,ATP_C_66_Narpala,9,Durgam,0,739,739,40645,,
193,12_C_66_04,ATP_C_66_Narpala,10,Bandlapalli,0,2560,2560,140800,,
194,12_C_66_04,ATP_C_66_Narpala,11,B.Pappur,0,3507,3507,192885,,
195,12_C_66_04,ATP_C_66_Narpala,1,Venkatampalli,0,3638,3638,200090,,
196,12_C_66_04,ATP_C_66_Narpala,2,Nadimidoddi,0,3783,3783,208065,,
197,12_C_66_04,ATP_C_66_Narpala,7,Korivipalli,0,932,932,51260,,
198,12_C_66_04,ATP_C_66_Narpala,20,Julakalva,0,1977,1977,108735,,
199,12_C_66_04,ATP_C_66_Narpala,21,Peravali,0,2048,2048,112640,,
200,12_C_66_06,ATP_C_66_Rotarypuram,1,Peddajalalpuram,0,1263,1263,69465,,
201,12_C_66_06,ATP_C_66_Rotarypuram,2,Channavaram,1676,0,1676,92180,,
202,12_C_66_06,ATP_C_66_Rotarypuram,3,Narasapuram,0,3156,3156,173580,,
203,12_C_66_06,ATP_C_66_Rotarypuram,5,Akuledu,2741,0,2741,150755,,
204,12_C_66_06,ATP_C_66_Rotarypuram,6,Loluru,980,0,980,53900,,
205,12_C_66_06,ATP_C_66_Rotarypuram,7,Karnatakampalli,0,52,52,2860,,
206,12_C_66_06,ATP_C_66_Rotarypuram,8,Podaralla,7635,0,7635,419925,,
207,12_C_66_06,ATP_C_66_Rotarypuram,9,Taticherla,2268,0,2268,124740,,
208,12_C_66_06,ATP_C_66_Rotarypuram,12,Kotanka,0,2225,2225,122375,,
209,12_C_66_06,ATP_C_66_Rotarypuram,13,Marthadu,6140,0,6140,337700,,
210,12_C_66_06,ATP_C_66_Rotarypuram,14,Jambuladine,1064,0,1064,58520,,
211,12_C_66_06,ATP_C_66_Rotarypuram,15,Obulapuram,0,104,104,5720,,
212,12_C_66_06,ATP_C_66_Rotarypuram,16,Garladinne,7766,0,7766,427130,,
213,12_C_66_06,ATP_C_66_Rotarypuram,3,Chedulla,1621,0,1621,89155,,
214,12_C_66_06,ATP_C_66_Rotarypuram,15,Korrapadu,3712,0,3712,204160,,
215,12_C_66_06,ATP_C_66_Rotarypuram,16,Rotarypuram,2082,0,2082,114510,,
216,12_C_66_06,ATP_C_66_Rotarypuram,17,Chennarayanipalli,50,0,50,2750,,
217,12_C_66_06,ATP_C_66_Rotarypuram,18,Siddarampeta,430,0,430,23650,,
218,12_C_66_10,ATP_C_66_Salakamcheruvu,10,Salakamcheruvu,2828,0,2828,155540,,
219,12_C_66_10,ATP_C_66_Salakamcheruvu,15,Matlagondi,0,1391,1391,76505,,
220,12_C_66_10,ATP_C_66_Salakamcheruvu,16,Sodanapalli,0,2083,2083,114565,,
221,12_C_66_10,ATP_C_66_Salakamcheruvu,19,Singanamala,0,4986,4986,274230,,
222,12_C_66_10,ATP_C_66_Salakamcheruvu,9,Cheelapalli,,404,404,22220,,
223,12_C_66_10,ATP_C_66_Salakamcheruvu,8,Chakrayapeta,0,3210,3210,176550,,
224,12_D_46_06,ATP_D_46_Bhupasamudram,5,H.Hosahalli,449,0,449,24695,,
225,12_D_46_06,ATP_D_46_Bhupasamudram,6,Bhupasamudram,4735,0,4735,260425,,
226,12_D_46_06,ATP_D_46_Bhupasamudram,14,Veparala,0,4640,4640,255200,,
227,12_D_46_06,ATP_D_46_Bhupasamudram,15,Junjurampalli,3664,0,3664,201520,,
228,12_D_46_06,ATP_D_46_Bhupasamudram,13,Nagireddipalli,0,2057,2057,113135,,
229,12_D_46_06,ATP_D_46_Bhupasamudram,12,Avuladatla,0,1776,1776,97680,,
230,12_D-46-02,ATP-D-46-Havalgi,1,Vidapanakal,8763,0,8763,481965,,
231,12_D-46-02,ATP-D-46-Havalgi,2,Havalgi,7408,0,7408,407440,,
232,12_D-46-02,ATP-D-46-Havalgi,3,Karakamukkala,2523,0,2523,138765,,
233,12_D-46-02,ATP-D-46-Havalgi,4,Malapuram,0,1094,1094,60170,,
234,12_D-46-02,ATP-D-46-Havalgi,5,Palthuru,9270,0,9270,509850,,
235,12_D-46-02,ATP-D-46-Havalgi,6,Vyasapuram,0,1518,1518,83490,,
236,12_D-46-02,ATP-D-46-Havalgi,7,Bollanaguddam,4644,0,4644,255420,,
237,12_D-46-02,ATP-D-46-Havalgi,8,Kalludevanahalli,1888,0,1888,103840,,
238,12_D-46-02,ATP-D-46-Havalgi,9,D.Honnur,5905,0,5905,324775,,
239,12_D_46_14,ATP_D_46_Kadlur,2,Ganigera,5523,0,5523,303765,,
240,12_D_46_14,ATP_D_46_Kadlur,13,Yerraguntla,6606,0,6606,363330,,
241,12_D_46_14,ATP_D_46_Kadlur,14,Singanahalli,3248,0,3248,178640,,
242,12_D_46_14,ATP_D_46_Kadlur,15,Sreedharagatta,5023,0,5023,276265,,
243,12_D_46_14,ATP_D_46_Kadlur,18,Kolaganahalli,4134,0,4134,227370,,
244,12_D_46_14,ATP_D_46_Kadlur,14,Muradi,0,6145,6145,337975,,
245,12_D_46_03,ATP_D_46_Kadlur,,Kadalur,0,2365,2365,130075,,
246,12_D_46_04,ATP_D_46_Kadlur,5,Kudlur,4426,0.000001,4426.000001,243430.000055,,
247,12_D_46_17,ATP_D_46_Rayadurg,10,74 Udegolam,0,4192,4192,230560,,
248,12_D_46_17,ATP_D_46_Rayadurg,8,Kontanahalli,0,1260,1260,69300,,
249,12_D_46_17,ATP_D_46_Rayadurg,11,Baginayanahalli,0,3042,3042,167310,,
250,12_D_46_17,ATP_D_46_Rayadurg,16,Rayadurg,0,61749,61749,3396195,,
251,12_D_46_17,ATP_D_46_Rayadurg,1,Galagala,0,4169,4169,229295,,
252,12_D_46_17,ATP_D_46_Rayadurg,2,Gollapalli,0,7642,7642,420310,,
253,12_D_46_17,ATP_D_46_Rayadurg,3,Veerapuram,0,2013,2013,110715,,
254,12_D_46_17,ATP_D_46_Rayadurg,4,Belodu,4437,0,4437,244035,,
255,12_D_46_17,ATP_D_46_Rayadurg,7,Kalugodu,6781,0,6781,372955,,
256,12_D_46_17,ATP_D_46_Rayadurg,10,Tallakera,7356,0,7356,404580,,
257,12_D_46_17,ATP_D_46_Rayadurg,11,Gummagatta,6279,0,6279,345345,,
258,12_D_46_17,ATP_D_46_Rayadurg,9,Rangasamudram,0,2047,2047,112585,,
259,12_D_46_17,ATP_D_46_Rayadurg,8,Pulakunta,0,3299,3299,181445,,
260,12_D_46_16,ATP_D_46_Sollapuram,11,Govidavada,,0,0,0,,
261,12_D_46_16,ATP_D_46_Sollapuram,5,Bidurukotham,0,0,0,0,,
262,12_D_46_16,ATP_D_46_Sollapuram,6,Meenahalli,0,0,0,0,,
263,12_D_46_16,ATP_D_46_Sollapuram,7,Garudachedu,0,0,0,0,,
264,12_D_46_16,ATP_D_46_Sollapuram,8,Thumbiganur,,0,0,0,,
265,12_D_46_16,ATP_D_46_Sollapuram,15,N.Hanumapuram,0,0,0,0,,
266,12_D_46_16,ATP_D_46_Sollapuram,16,Sollapuram,0,0,0,0,,
267,12_D_46_16,ATP_D_46_Sollapuram,14,Malyam,0,0,0,0,,
268,12_D_46_03,ATP_D_46_Uravakonda,1,Budagavi,0,1932,1932,106260,,
269,12_D_46_03,ATP_D_46_Uravakonda,2,Veligonda,0,1804,1804,99220,,
270,12_D_46_03,ATP_D_46_Uravakonda,4,Raenimakulapalli,0,1666,1666,91630,,
271,12_D_46_03,ATP_D_46_Uravakonda,5,Rayampalli,1339,0,1339,73645,,
272,12_D_46_03,ATP_D_46_Uravakonda,6,Nerimetla,2206,0,2206,121330,,
273,12_D_46_03,ATP_D_46_Uravakonda,8,Nimbagallu,0,2849,2849,156695,,
274,12_D_46_03,ATP_D_46_Uravakonda,9,Indravathi,0,736,736,40480,,
275,12_D_46_03,ATP_D_46_Uravakonda,10,Peddamusturu,0,1409,1409,77495,,
276,12_D_46_03,ATP_D_46_Uravakonda,3,Uravakonda,0,35565,35565,1956075,,
277,12_D_46_03,ATP_D_46_Uravakonda,7,Chikalaguriki,0,216,216,11880,,
278,12_D_46_03,ATP_D_46_Uravakonda,14,Undabanda,2285,0,2285,125675,,
279,12_C_67_06,ATP_C_67_Yellanur,6,Yellanur,6715,0,6715,369325,,
280,12_C_67_06,ATP_C_67_Yellanur,9,Vennapusapalli,1791,0,1791,98505,,
281,12_C_67_06,ATP_C_67_Yellanur,10,Kodumurthi,0,629,629,34595,,
282,12_C_67_06,ATP_C_67_Yellanur,15,Mallagundla,0,1369,1369,75295,,
283,12_C_67_06,ATP_C_67_Yellanur,16,Kalluru,3022,0,3022,166210,,
284,12_C_67_06,ATP_C_67_Yellanur,18,Goddumarri,0,2998,2998,164890,,
285,12_C_67_06,ATP_C_67_Yellanur,19,Singavaram,2898,0,2898,159390,,
286,12_C_65_20,ATP_C_65_Tadipatri,21,Challavaripalli,0,294,294,16170,,
287,12_C_65_21,ATP_C_65_Tadipatri,22,Jambulapadu,0,254,254,13970,,
288,12_C_65_22,ATP_C_65_Tadipatri,23,Hussenapuram,0,518,518,28490,,
289,12_C_65_23,ATP_C_65_Tadipatri,24,Veerapuram,0,824,824,45320,,
290,12_C_65_24,ATP_C_65_Tadipatri,26,Vanganuru,0,590,590,32450,,
291,12_C_65_25,ATP_C_65_Tadipatri,27,Bondaladinne,0,1115,1115,61325,,
292,12_C_65_26,ATP_C_65_Tadipatri,4,Kandikaparla,0,615,615,33825,,
293,12_C_65_27,ATP_C_65_Tadipatri,5,Putlur,0,5848,5848,321640,,
294,12_C_65_28,ATP_C_65_Tadipatri,6,Gandlapadu,572,0,572,31460,,
295,12_C_65_29,ATP_C_65_Tadipatri,7,S.Guduru,0,4285,4285,235675,,
296,12_C_65_30,ATP_C_65_Tadipatri,11,Diguvapalli,0,1921,1921,105655,,
297,12_C_65_31,ATP_C_65_Tadipatri,12,Tadipatri,0,12819,12819,705045,,
298,12_C_59_07,ATP_C_59_Kacharlakunta,7,Kasarlakunta,32,0,32,1760,,
