S.No,Watershed code,Watershed Name,Village Name,Length,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor,No.of operating days of canal,,Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon,N-Monsoon,Monsoon,Non-Monsoon,( ha.m )
272,12_C_67_06,ATP_C_67_Yellanur,Vennapusapalli,630,5.5,3,45,12.3338095117,0.0077703,15,30,90,3.4966349966,10.4899049897,13.9865399862
273,12_C_67_06,ATP_C_67_Yellanur,Kodumurthi,0,0,0,45,0,0,15,30,90,0,0,0
274,12_C_67_06,ATP_C_67_Yellanur,Mallagundla,0,0,0,45,0,0,15,30,90,0,0,0
275,12_C_67_06,ATP_C_67_Yellanur,Kalluru,450,2,5,45,8.3941125497,0.0037773506,15,30,90,1.6998077913,5.0994233739,6.7992311653
276,12_C_67_06,ATP_C_67_Yellanur,Goddumarri,0,0,0,45,0,0,15,30,90,0,0,0
277,12_C_67_06,ATP_C_67_Yellanur,Singavaram,0,0,0,45,0,0,15,30,90,0,0,0
278,12_C_65_20,ATP_C_65_Tadipatri,Challavaripalli,0,0,0,0,0,0,15,30,90,0,0,0
279,12_C_65_21,ATP_C_65_Tadipatri,Jambulapadu,0,0,0,0,0,0,15,30,90,0,0,0
280,12_C_65_22,ATP_C_65_Tadipatri,Hussenapuram,0,0,0,0,0,0,15,30,90,0,0,0
281,12_C_65_23,ATP_C_65_Tadipatri,Veerapuram,0,0,0,0,0,0,15,30,90,0,0,0
282,12_C_65_24,ATP_C_65_Tadipatri,Vanganuru,0,0,0,0,0,0,15,30,90,0,0,0
283,12_C_65_25,ATP_C_65_Tadipatri,Bondaladinne,0,0,0,0,0,0,15,30,90,0,0,0
284,12_C_65_26,ATP_C_65_Tadipatri,Kandikaparla,0,0,0,0,0,0,15,30,90,0,0,0
285,12_C_65_27,ATP_C_65_Tadipatri,Putlur,0,0,0,0,0,0,15,30,90,0,0,0
286,12_C_65_28,ATP_C_65_Tadipatri,Gandlapadu,300,2,2,45,5.3941125497,0.0016182338,15,30,90,0.7282051942,2.1846155826,2.9128207768
287,12_C_65_29,ATP_C_65_Tadipatri,S.Guduru,0,0,0,0,0,0,15,30,90,0,0,0
288,12_C_65_30,ATP_C_65_Tadipatri,Diguvapalli,0,0,0,0,0,0,15,30,90,0,0,0
289,12_C_65_31,ATP_C_65_Tadipatri,Tadipatri,,,,,0,0,15,30,90,0,0,0
290,12_C_59_07,ATP_C_59_Kacharlakunta,Kasarlakunta,780,2,2,45,5.3941125497,0.0042074078,15,30,90,1.8933335049,5.6800005148,7.5733340198
291,12_C_59_07,ATP_C_59_Kacharlakunta,Pathapalli,1200,2,2,45,5.3941125497,0.0064729351,15,30,90,2.9128207768,8.7384623305,11.6512831073
