GW Watershed name,IWM MICROBASIN,GW Village name,IWM VILLAGE
ATP_C_67_Yellanur,ATP_C_67_YELLANUR (PART)-MB,Goddumarri,Goddumarri
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Godduvelagala,Godduvelagala
ATP_C_64_Golla,ATP_C_64_GOLLA-MB,Golla,Golla
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Gollapalle,Gollapalle-4
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Gollapalli,Gollapalle-3
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Gollapuram,Gollapuram
ATP_C_67_Kanumukkala,ATP_C_67_KANUMUKKALA-MB,Gondipalli ,Gondipalle-2
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Gondireddipalli,Gondireddipalle
ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,Gonipeta,Gonipeta
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Gootibylu,Gootibylu
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Gooty(R),Gooty (Rural)
ATP_C_67_Nallamada,ATP_C_67_NALLAMADA-MB,Gopepalli,Gopepalle
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Gorantla,Gorantla-2
ATP_C_66_Kurugunta,ATP_C_66_KURUGUNTA-MB,Goridindla,Goridindla
ATP_C_67_Chigicherla,ATP_C_67_CHIGICHERLA-MB,Gotlur,Gotlur-1
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Gotukuru,Gotukur
ATP_D_46_Sollapuram,ATP_D_46_SOLLAPURAM (PART-MB,Govidavada,Govindawada
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Govindampalli,Govindapalle-1
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Govindapuram,Govindapuram-1
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Gowdanahalli,Gowdanahalli
ATP_C_69_Velichalamala,ATP_C_69_VELICHALAMALA (PART)-MB,Gowkanapalli,Gowkanapalle
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Gownivaripalli,Gowrivaripalle
ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,Gramadatla,Gramadatla
ATP_D_B.G. Halli,ATP_D_46_B.G. HALLI-MB,Gudibanda,Gudibanda-1
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Gudipadu,Gudipadu-5
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Gudipalli,Gudipalle
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Gugudu,Gugudu
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Gulimikondla ,Gulimikondla @ G.Kottala
ATP_C_64_Mulakanur,ATP_C_64_MULAKANUR-MB,Gulyam ,Gulyam-2
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Gulyapalem,Gulapalem
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Gummagatta,Gummagatta-1
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Gundala,Gundala
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Gundiganipalli,Gundiganihalli
ATP_D_B.G. Halli,ATP_D_46_B.G. HALLI-MB,Gunimorubal,Gunimorubagal
ATP_C_67_Pamudurthi,ATP_C_67_PAMUDURTHI-MB,Gunipalli,Gunipalle
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Guntakal,Guntakal (Rural)
 ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,Gurrambailu,Gurrambailu
ATP_C_67_Kanumukkala,ATP_C_67_KANUMUKKALA-MB,Gutturu,Gutturu-1
ATP_D_46_Agali,ATP_D_46_AGALI-MB,H.D.Halli,Hulikeradevarahalli
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,H.Hosahalli,H.Hossahalli
ATP_D_46_Bhupasamudram,ATP_D_46_BHUPASAMUDRAM-MB,H.Hosahalli,S.Hosahalli
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,H.Siddapuram,H.Siddapuram
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,H.Sodanapalli,Haveli Sodanapalle
ATP_D_46_Amarapuram,ATP_D_46_AMARAPURAM-MB,Halakuru,Halukuru
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Hampapuram,Hampapuram
ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,Hanakanahal,Hanakanahal
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Haresamudram,Haresamudram
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Haresamudram,Haresamudram-1
ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,Havalgi,Havaligi
ATP_D_46_Basavanahalli,ATP_D_46_BASAVANAHALLI-MB,Hemavathi,Hemavathi-1
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Hindupur (R),Hindupur (M)
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Hirdehal,Hirdehal
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Hulikal,Hulikal-1
ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,Hulikera,Hulikera
ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,Hullikal,Hulikal
ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,Hussainapuram,Hussainpuram
ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,Hussenapuram ,Husenapuram
ATP_C_65_Igaduru,ATP_C_65_IGADURU-MB,Iguduru,Igudur
ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,Illuru,Illuru
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Inagaluru,Inagalore
ATP_D_46_Uravakonda,ATP_D_46_URAVAKONDA-MB,Indravathi,Indravathi
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Ipperu,Ipperu
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Iragampalli,Iragampalle
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Itikalapalli,Itikalapalle
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,J.Dharmapuram,Jodidharmapuram
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,J.Kothapalli,Jonnalakothapalle
ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,J.Kothapalli,Jowkalakothapalle
ATP_C_64_Ramapuram,ATP_C_64_RAMAPURAM-MB,J.Ramapuram,Jarutla Rampuram
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Jadrahalli,Jadrahalli
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Jagarajupalli,Jagarajupalle
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Jajrakal,Jajarakal
ATP_C_65_Kristipadu,ATP_C_65_KRISTIPADU (PART)-MB,Jakkalacheruvu,Jakkalacheruvu
ATP_C_63_Bucherla,ATP_C_63_BUCHERLA-MB,Jakkalacheruvu ,Jakkalacheruvu-1
 ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,Jakkasamudram,Jakkasamudram
ATP_D_46_Kunduripi ,ATP_D_46_KUNDURPI-MB,Jambugumpala,Jambugumpala
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Jambuladine,Jambuladinne-1
ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,Jambulapadu ,Jambulapadu
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Jangalapalle,Jangalapalle-2
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Janthaluru,Janthulur
ATP_C_64_Korrakodu,ATP_C_64_KORRAKODU-MB,Jayapuram,Jayapuram-1
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Jeenulakunta,Jeenulakunta
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Jogannapeta,Jogannapeta
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Jowkuladinne,Jowkuledudinne
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Julakalva,Joolakalva
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Julukunta,Julukunta
ATP_D_46_Bhupasamudram,ATP_D_46_BHUPASAMUDRAM-MB,Junjurampalli,Junjurampalle
ATP_C_65_Igaduru,ATP_C_65_IGADURU-MB,Juturu,Jutur-2
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,K.Agragharam,Kondakinda Agraharam
ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,K.Agraharam,Kalluru Agraharam
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,K.Brahmanapalli,Kadiri Brahmanapalle
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,K.Locherla,K.Locharla
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,K.N.Palyam ,Konetinayanipalyam
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Kadadarabenchi,Kadadarabenchi
ATP_D_46_Kadlur,ATP_D_46_KADLUR-MB,Kadalur,Kadalur
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Kadamalakunta,Patha Kadamalakunta
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Kadavakallu,Kadavakallu
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Kaderpeta,Khadarpeta
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kadirepalli,Kadirepalle
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Kadiri,Kadiri (Rural)
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kadiridevarapalli,Kadiridevarapalle
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Kadirikuntapalli,Kadirikuntlapalle
 ATP_C_67_Nallacheruvu ,ATP_C_67_NALLACHERUVU-MB,Kadiripulikunta,Kadiripulakunta
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Kaki,Kaki
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Kakkalapalli,Kakkalapalle (Rural)
ATP_C_64_Udiripikonda,ATP_C_64_UDIRIPIKONDA-MB,Kalagallu,Kalagalla
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Kalapuram,Kalapuram
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Kalasamudram,Kalasamudram
ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,Kalekurthi,Kalekurthi
 ATP_C_63_Cherukuru,ATP_C_63_CHERUKURU-MB,Kalipi ,Kalipi
ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,Kalludevanahalli,Kalludevanahalli
ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,Kallumadi,Kallumadi
ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,Kallumarri,Kallumarri
ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,Kallur,Kalluru
ATP_C_67_Yellanur,ATP_C_67_YELLANUR (PART)-MB,Kalluru,Kalluru-1
ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,Kalluru,Kallur-3
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Kalugodu,Kalugodu
ATP_C_64_Golla,ATP_C_64_GOLLA-MB,Kaluvapalli,Kalvapalle-2
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Kalyandurg,Kalyandurg (Rural)
ATP_C_65_Midthuru,ATP_C_65_MIDTHURU-MB,Kamalapadu,Kamalapadu-1
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Kamalapadu,Kamalapadu
ATP_C_66_Kurugunta,ATP_C_66_KURUGUNTA-MB,Kamarupalli,Kamarupalle
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Kamathampalli,Kamathampalle
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,Kambadur,Kambadur-1
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Kambaladinne,Kambaladinne-2
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Kammavaripalli,Kammavaripalle-1
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Kammuru,Kamuru
ATP_C_66_Kanaganapalli,ATP_C_66_KANAGANAPALLI-MB,Kanaganapalli,Kanaganapalle-1
ATP_C_65_Tarimala,ATP_C_65_TARIMALA-MB,Kanampalli,Kanampalle
ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,Kanchisamudram,Kanchisamudram
ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,Kandikaparla ,Kandikapula
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Kandla Gudur,Kandlaguduru
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Kandlapalli,Kandlapalle
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Kandukur,Kandakur
ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,Kanekal,Kanekal-1
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Kannepalli,Kannepalle
ATP_D_46_Settur,ATP_D_46_SETTUR-MB,Kanthanahalli,Kamthanahalli
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Kanumakulapalli,Kanugamakulapalle
ATP_C_67_Kanumukkala,ATP_C_67_KANUMUKKALA-MB,Kanumukkala ,Kanumukkala-1
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kappalabanda,Kappala Banda
ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,Karakamukkala,Karakamukkala
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Karesankanahalli,Karesankanahalli
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Karidikonda,Karadikonda
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,Kariganipalli,Kariganipalle
ATP_D_46_Basavanahalli,ATP_D_46_BASAVANAHALLI-MB,Karikera,Karikera
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Karimereddipalli,Karinireddipalle
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Karisettipalli,Kanisettipalle
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Karnatakampalli,Karnatakampalle
ATP_C_64_Mulakanur,ATP_C_64_MULAKANUR-MB,Karthanaparthi,Karthanaparthi
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Kasapuram,Kasapuram
ATP_C_59_Kacharlakunta,ATP_C_59_KACHARLAKUNTA (PART)-MB,Kasarlakunta,Kacharlakunta
ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,Kassamudram,Kassamudram
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Katepalli,Katepalle-1
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Katiganikaluva,Katiganikalva
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Katrimala,Katrimala
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Kavetisamudram,Kaverisamudram
ATP_D_B.G. Halli,ATP_D_46_B.G. HALLI-MB,Kekathi,Kekathi
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kesapuram,Kesapuram
ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,Kesavapuram,Kesavapuram
 ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,Kethaganicheruvu,Kethaganicheruvu
ATP_D_46_Settur,ATP_D_46_SETTUR-MB,Khairevu,Khairevu
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Kirikera,Kirikera
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kodapaganipalli,Kodapaganipalle
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Kodavandlapalli,Kodavandlapalle
ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,Kodiganahalli,Kodigenahalli
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Kodihalli,Kodihalli
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Kodihalli,Kodihalli-1
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Kodikonda,Kodikonda
ATP_C_66_Ananthapuramu,ATP_C_66_ANANTAPUR-MB,Kodimi,Kodimi
ATP_C_67_Yellanur,ATP_C_67_YELLANUR (PART)-MB,Kodumurthi,Kodumurthy
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Kodur,Kodur-2
ATP_C_64_Kogira,ATP_C_63_KOGIRA-MB,Kogira,Kogira
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Kojjepalli,Kojjepalle
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Kokkanti,Kokkanti
ATP_D_46_Kadlur,ATP_D_46_KADLUR-MB,Kolaganahalli,Kolaganahalli
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Komali,Komali
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Komatikuntla,Komatikuntla
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Konakondla,Konakondla
ATP_C_64_Golla,ATP_C_64_GOLLA-MB,Konampalli,Konampalle
ATP_C_64_Ramapuram,ATP_C_64_RAMAPURAM-MB,Konapuram,Kondapuram-2
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Konapuram,Konapuram
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Konauppalapadu,Konuppalapadu
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Kondaguttpalli,Kondagattupalle
ATP_C_67_Kondakamarla,ATP_C_67_KONDAKAMARLA-MB,Kondakamarla,Kondakamarla-1
ATP_C_67_Kondakamarla,ATP_C_67_KONDAKAMARLA-MB,Kondamanayanipalem,Kondamanayanipalem-1
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Kondamanayanipalem,Kondamanayanipalem
ATP_C_67_Munimadugu,ATP_C_67_MUNIMADUGU-MB,Kondampalli,Kondampalle-1
ATP_C_64_M.C. Palli,ATP_C_64_M.C. PALLI-MB,Kondapuram,Kondapuram-4
 ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,Kondur,Kondur-2
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Konduru,Konduru-1
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Konganapalli,Konganapalle
ATP_D_B.G. Halli,ATP_D_46_B.G. HALLI-MB,Konkallu,Konkallu
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Kontanahalli,Kontanapalli
ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,Koppalakonda,Koppalakonda
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Korivipalli,Korivipalle
ATP_C_64_Korrakodu,ATP_C_64_KORRAKODU-MB,Korrakodu,Korrakodu-1
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Korrapadu,Korrapadu-1
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Korthikota,Korthikota
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Kotanka,Kotanka
 ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,Kotapalle,Kotapalle
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kothacheruvu,Kothacheruvu-1
ATP_C_67_Pamudurthi,ATP_C_67_PAMUDURTHI-MB,Kothakota,Kothakota-5
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Kothalam,Kothalam
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Kothapalli,Kothapalle-8
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Kothapalli,Kothapalle-8
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Kothapeta,Kothapeta-1
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Kotipi,Kotipi
ATP_C_67_Gonipeta,ATP_C_67_GONIPETA-MB,Kotlapalli,Kotlapalle
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Kotnuru,Kotnur
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Kowlepalli,Kowlepalle
ATP_C_65_Budedu,ATP_C_65_BUDEDU-MB,Krishnapuram,Krishnapuram-4
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,Krishnapuram,Krishnapuram-4
ATP_C_65_Kristipadu,ATP_C_65_KRISTIPADU (PART)-MB,Kristipadu,Kristipadu
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Kuderu,Kudair-1
ATP_D_46_Kadlur,ATP_D_46_KADLUR-MB,Kudlur,Kudulur
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Kummanamala,Kummanamala
ATP_D_46_Basavanahalli,ATP_D_46_BASAVANAHALLI-MB,Kummaranagepalli,Kumbaranagehalli
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Kummetha,Kummetha
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Kundanakota,Kundanakota
ATP_D_46_Kunduripi ,ATP_D_46_KUNDURPI-MB,Kundurpi ,Kundurpi-1
ATP_C_67_Polepalli,ATP_C_67_POLEPALLI-MB,Kuntimaddi ,Kuntimaddi
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Kunukuntla,Kunukuntla-1
ATP_C_67_Kunuthuru,ATP_C_67_KUNUTHURU-MB,Kunuthuru ,Kunuthuru (Rural)
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,Kurakulapalli,Kurakulapalle
 ATP_C_67_Kurli,ATP_C_67_KURLI (PART)-MB,Kurli,Kurli
ATP_C_64_Palavai,ATP_C_64_PALAVAI-MB,Kurubarahalli,Kurubarahalli
ATP_C_66_Kurugunta,ATP_C_66_KURUGUNTA-MB,Kurugunta,Kurugunta
ATP_C_67_Kondakamarla,ATP_C_67_KONDAKAMARLA-MB,Kurumala,Kurumala
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Kurumamidi,Kurumamidi
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Kuruvalli,Kuruvalli-1
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Kutagulla,Kuttagulla
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Lakkasamudram,Lakkasamudram
ATP_D_46_Settur,ATP_D_46_SETTUR-MB,Lakshmampalli,Lakshmanpalle
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Lakshmipuram,Lakshmipuram
ATP_C_64_Ramapuram,ATP_C_64_RAMAPURAM-MB,Lathavaram,Lathavaram
ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,Lepaskhi,Lepakshi-1
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Lingamanhalli,Lingamanahalli
ATP_C_67_Puttaparthi,ATP_C_67_PUTTAPARTHI-MB,Lingareddipalli,Lingareddipalle
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Lokajipalli,Lokojipalle
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Loluru,Lolur
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,M.Agraharam,Maravapalle Agraharam
ATP_C_64_M.C. Palli,ATP_C_64_M.C. PALLI-MB,M.C.Palli,Motarchintalapalle
ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,M.Kothapalle,Mukkandlavarikothapalle
ATP_C_64_Manirevu,ATP_C_64_MANIREVU-MB,M.M.Halli,Mavinamardhanahalli
ATP_D_46_Agali,ATP_D_46_AGALI-MB,M.Rayapuram,M.Rayapuram
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Madakasira,Madakasira-1
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Madanahalli,Madenahalli
ATP_C_64_Nutimadugu,ATP_C_64_NUTIMADUGU-MB,Maddalacheruvu,Maddalacheruvu
 ATP_C_67_Nallacheruvu ,ATP_C_67_NALLACHERUVU-MB,Maddimadugu,Maddimadugu
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Maddinayanipalem,Maddinayanipalem
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Maddivarigondi,Maddivarigondi
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Madhudi,Madhudi
ATP_C_66_Kurugunta,ATP_C_66_KURUGUNTA-MB,Madigubba,Madigubba
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Madugupalli,Madugupalle
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Maduguvanigondi,Maduguvanigondi
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Magecheruvu,Magecheruvu
ATP_C_64_M.C. Palli,ATP_C_64_M.C. PALLI-MB,Makkinavaripalli,Makkinavaripalle
ATP_C_67_Nallamada,ATP_C_67_NALLAMADA-MB,Malakavemula,Malakavemula-1
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Malameedapalli,Malameedapalle
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,Malapanagudi,Malapanagudi
ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,Malapuram,Malapuram-1
 ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,Malareddipalli,Malreddipalle
ATP_D_46_Kunduripi ,ATP_D_46_KUNDURPI-MB,Malayanur ,Malayanur
ATP_C_67_Yellanur,ATP_C_67_YELLANUR (PART)-MB,Mallagundla,Mallagundla
ATP_C_67_Kunuthuru,ATP_C_67_KUNUTHURU-MB,Mallakalva ,Mallakalva
ATP_C_63_Madakasira,ATP_C_63_MADAKASIRA-MB,Mallanayakanahalli,Mallinayakanahalli
ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,Mallapuram,Mallapuram-1
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,Mallapuram,Mallapuram-1
ATP_C_65_Kristipadu,ATP_C_65_KRISTIPADU (PART)-MB,Mallenipalli,Mallenipalle
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Mallepalli,Mallapalle
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Mallepalli,Mallapalle
 ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,Maluguru,Maluguru
