,,,,CA,NCA,PQA,,,,,,,,,,,,,,,
,,,,Industrial,Industrial,Industrial,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total,,,,,,,,,,,,,,
60,12_D_46_10,ATP_D_46_Kanekal,Brahmasamudram,0,0,,0,,,,,,,,,,,,,,
61,12_D_46_10,ATP_D_46_Kanekal,Bennikal,0,0,,0,,,,,,,,,,,,,,
62,12_D_46_10,ATP_D_46_Kanekal,Udegolam,0,0,,0,,,,,,,,,,,,,,
63,12_D_46_10,ATP_D_46_Kanekal,Kanekal,0,0,,0,,,,,,,,,,,,,,
64,12_D_46_10,ATP_D_46_Kanekal,Hulikera,0,0,,0,,,,,,,,,,,,,,
65,12_D_46_10,ATP_D_46_Kanekal,D. Kondapuram,0,0,,0,,,,,,,,,,,,,,
66,12_D_46_10,ATP_D_46_Kanekal,Vadrahonnur,0,0,,0,,,,,,,,,,,,,,
67,12_D_46_10,ATP_D_46_Kanekal,Gramadatla,0,0,,0,,,,,,,,,,,,,,
68,12_C_65_03,ATP_C_65_Ubicherla,G.Anantapur,,,,0,,,,,,,,,,,,,,
69,12_C_65_03,ATP_C_65_Ubicherla,Virupapuram,,0,,0,,,,,,,,,,,,,,
70,12_C_65_03,ATP_C_65_Ubicherla,G.Venkatampalli,,,,0,,,,,,,,,,,,,,
71,12_C_65_03,ATP_C_65_Ubicherla,Avulampalli,,,,0,,,,,,,,,,,,,,
72,12_C_65_03,ATP_C_65_Ubicherla,Peddavadugur,,,,0,,,,,,,,,,,,,,
73,12_C_65_03,ATP_C_65_Ubicherla,Medimakulapalli,,,,0,,,,,,,,,,,,,,
74,12_C_65_03,ATP_C_65_Ubicherla,Teliki,,,,0,,,,,,,,,,,,,,
75,12_C_65_03,ATP_C_65_Ubicherla,C.Vadugur,,,,0,,,,,,,,,,,,,,
76,12_C_65_03,ATP_C_65_Ubicherla,Nagalapuram,,,,0,,,,,,,,,,,,,,
77,12_C_65_03,ATP_C_65_Ubicherla,Dimmagudi,,,,0,,,,,,,,,,,,,,
78,12_C_65_03,ATP_C_65_Ubicherla,Chittoor,,,,0,,,,,,,,,,,,,,
79,12_C_65_03,ATP_C_65_Ubicherla,Kandla Gudur,,,,0,,,,,,,,,,,,,,
80,12_C_65_03,ATP_C_65_Ubicherla,Chitrachedu,5,,,5,,,,,,,,,,,,,,
81,12_C_65_03,ATP_C_65_Ubicherla,Mulakatalla,,,,0,,,,,,,,,,,,,,
82,12_C_65_03,ATP_C_65_Ubicherla,Ubicherla,,,,0,,,,,,,,,,,,,,
83,12_C_65_03,ATP_C_65_Ubicherla,Karidikonda,,,,0,,,,,,,,,,,,,,
84,12_C_65_03,ATP_C_65_Ubicherla,Dharmapuram,,,,0,,,,,,,,,,,,,,
85,12_C_65_03,ATP_C_65_Ubicherla,Chetnepalli,,,,0,,,,,,,,,,,,,,
86,12_C_65_03,ATP_C_65_Ubicherla,Kojjepalli,,,,0,,,,,,,,,,,,,,
87,12_C_65_03,ATP_C_65_Ubicherla,Turakapalli,,,,0,,,,,,,,,,,,,,
88,12_C_65_03,ATP_C_65_Ubicherla,Gooty(R),,1,,1,,,,,,,,,,,,,,
89,12_C_65_03,ATP_C_65_Ubicherla,Kothapeta,,,,0,,,,,,,,,,,,,,
90,12_C_65_03,ATP_C_65_Ubicherla,Engilibanda,,,,0,,,,,,,,,,,,,,
91,12_C_65_03,ATP_C_65_Ubicherla,Obulapuram,,,,0,,,,,,,,,,,,,,
92,12_C_65_15,ATP_C_65_Budedu,Penakacherla,0,0,,0,,,,,,,,,,,,,,
93,12_C_65_15,ATP_C_65_Budedu,Koppalakonda,0,0,,0,,,,,,,,,,,,,,
94,12_C_65_15,ATP_C_65_Budedu,Kesavapuram,0,0,,0,,,,,,,,,,,,,,
95,12_C_65_15,ATP_C_65_Budedu,Muntimadugu,0,0,,0,,,,,,,,,,,,,,
96,12_C_65_15,ATP_C_65_Budedu,K.Agraharam,0,0,,0,,,,,,,,,,,,,,
97,12_C_65_15,ATP_C_65_Budedu,Ankampeta,0,0,,0,,,,,,,,,,,,,,
98,12_C_65_15,ATP_C_65_Budedu,Sirivaram,0,0,,0,,,,,,,,,,,,,,
99,12_C_65_15,ATP_C_65_Budedu,Krishnapuram,0,0,,0,,,,,,,,,,,,,,
100,12_C_65_15,ATP_C_65_Budedu,Yerraguntla,0,0,,0,,,,,,,,,,,,,,
101,12_C_65_15,ATP_C_65_Budedu,Budedu,0,0,,0,,,,,,,,,,,,,,
102,12_C_65_01,ATP_C_65_Guntakal,Thimmanaacherla,0,,,0,,,,,,,,,,,,,,
103,12_C_65_01,ATP_C_65_Guntakal,Kasapuram,0,,,0,,,,,,,,,,,,,,
104,12_C_65_01,ATP_C_65_Guntakal,Sangala,0,,,0,,,,,,,,,,,,,,
105,12_C_65_01,ATP_C_65_Guntakal,Dosaludiki,0,,,0,,,,,,,,,,,,,,
106,12_C_65_01,ATP_C_65_Guntakal,Gundala,0,,,0,,,,,,,,,,,,,,
107,12_C_65_01,ATP_C_65_Guntakal,Konganapalli,0,,,0,,,,,,,,,,,,,,
108,12_C_65_01,ATP_C_65_Guntakal,Sankarabanda,0,,,0,,,,,,,,,,,,,,
109,12_C_65_01,ATP_C_65_Guntakal,P.K.Cheruvu,0,,,0,,,,,,,,,,,,,,
110,12_C_65_01,ATP_C_65_Guntakal,Ameenpalli,0,,,0,,,,,,,,,,,,,,
111,12_C_65_01,ATP_C_65_Guntakal,Nakkaladoddi,0,,,0,,,,,,,,,,,,,,
112,12_C_65_01,ATP_C_65_Guntakal,Thimmapuram,0,,,0,,,,,,,,,,,,,,
113,12_C_65_01,ATP_C_65_Guntakal,Donimukkala,0,,,0,,,,,,,,,,,,,,
114,12_C_65_01,ATP_C_65_Guntakal,Nelagonda,0,,,0,,,,,,,,,,,,,,
115,12_C_65_01,ATP_C_65_Guntakal,Rajapuram,0,,,0,,,,,,,,,,,,,,
