,,,,,,,,Command,,,,Non command,,,,Poor command,,,
SR.NO,GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
49,ATP_C_66_Hampapuram,Granites,3,11,,,163.81,0,0,0,0,163.65,0.16,0.16,163.81,0,0,0,0
50,ATP_C_66_Kanaganapalli,Granites,3,11,,,276.06,0,0,0,0,255.08,20.98,20.98,276.06,0,0,0,0
51,ATP_C_66_Kurugunta,Granites,3,11,,,186.14,0,0,0,0,155.53,30.61,30.61,186.14,0,0,0,0
52,ATP_C_66_Narpala,Granites,3,11,,,343.18,134.38,2,2,136.38,206.8,0,18.3681,206.8,0,0,0,0
53,ATP_C_66_Rotarypuram,Granites,3,11,,,220.83,177.69,0,1.26,177.69,43.14,0,8.1,43.14,0,0,0,0
54,ATP_C_66_Salakamcheruvu,Granites,3,11,,,116.79,13.57,11.7,11.7,25.27,72.0025,19.5175,19.5175,91.52,0,0,0,0
55,ATP_C_66_Thumucherla,Granites,3,11,,,198.18,0,0,0,0,157.48,40.7,40.7,198.18,0,0,0,0
56,ATP_C_66_Vaddupalli,Granites,3,11,,,394.82,0,0,0,0,324.61,70.21,70.21,394.82,0,0,0,0
57,ATP_C_67_Chigicherla,Granites,3,11,,,212.03,0,0,0,0,210.59,1.44,1.44,212.03,0,0,0,0
58,ATP_C_67_Dorigallu,Granites,3,11,,,298.44,0,0,0,0,260.9,37.54,37.54,298.44,0,0,0,0
59,ATP_C_67_Gonipeta,Granites,3,11,,,234.38,0,0,0,0,173.5836,60.7964,60.7964,234.38,0,0,0,0
60,ATP_C_67_Kadiri,Granites,3,11,,,196.26,0,0,0,0,162.46,33.8,33.8,196.26,0,0,0,0
61,ATP_C_67_Kalasamudram,Granites,3,11,,,94.61,0,0,0,0,94.61,0,0,94.61,0,0,0,0
62,ATP_C_67_Kanumukkala,Granites,3,11,,,295.69,0,0,0,0,246.51,49.18,49.18,295.69,0,0,0,0
63,ATP_C_67_Kondakamarla,Granites,3,11,,,149.62,0,0,0,0,149.62,0,1.01,149.62,0,0,0,0
64,ATP_C_67_Kunuthuru,Granites,3,11,,,311.81,0,0,0,0,283.38,28.43,28.43,311.81,0,0,0,0
65,ATP_C_67_Mudigubba,Granites,3,11,,,258.09,0,0,0,0,232.11,25.98,25.9795,258.09,0,0,0,0
66,ATP_C_67_Munimadugu,Granites,3,11,,,195.13,0,0,0,0,181.67,13.46,13.4568,195.13,0,0,0,0
67,ATP_C_67_Nallamada,Granites,3,11,,,211.35,0,0,0,0,191.5,19.85,19.85,211.35,0,0,0,0
68,ATP_C_67_Pamudurthi,Granites,3,11,,,229.73,0,0,0,0,111.47,118.26,118.26,229.73,0,0,0,0
69,ATP_C_67_Polepalli,Granites,3,11,,,205.69,0,0,0,0,196.06,9.63,9.63,205.69,0,0,0,0
70,ATP_C_67_Puttaparthi,Granites,3,11,,,274.31,0,0,0,0,200.831,73.479,73.479,274.31,0,0,0,0
71,ATP_C_67_Ravulachervu,Granites,3,11,,,150.87,0,0,0,0,142.85,8.02,13.2016,150.87,0,0,0,0
72,Atp_C_67_Sanivaripalli,Granites,3,11,,,38.04,0,0,0,0,38.04,0,0,38.04,0,0,0,0
73,ATP_C_67_Tadimarri,Granites,3,11,,,301.23,0,0,0,0,296.1882,5.0418,5.0418,301.23,0,0,0,0
74,ATP_C_67_Talamarla,Granites,3,11,,,50.01,0,0,0,0,47.01,3,3,50.01,0,0,0,0
75,ATP_C_67_Talupula,Granites,3,11,,,214.62,0,0,0,0,187.83,26.79,26.79,214.62,0,0,0,0
76,ATP_C_67_Thimmampalli,Shales,2,4,,,315.73,0,0,0,0,249.9124,65.8176,67.7476,315.73,0,0,0,0
77,ATP_C_67_Thippepalli,Granites,3,11,,,220.63,0,0,0,0,198.22,22.41,22.41,220.63,0,0,0,0
78,ATP_C_67_Yellanur,Granites,3,11,,,153.78,94.23,3.53,3.53,97.76,37.45,18.57,18.5693,56.02,0,0,0,0
79,ATP_C_69_N.P. Kunta,Granites,3,11,,,303.31,0,0,0,0,245.41,57.9,57.9,303.31,0,0,0,0
80,ATP_C_69_Pedaballi,Granites,3,11,,,69.36,0,0,0,0,69.36,0,0,69.36,0,0,0,0
81,ATP_C_69_Velichalamala,Granites,3,11,,,111.43,0,0,0,0,91.43,20,20,111.43,0,0,0,0
82,ATP_D_46_Agali,z,3,11,,,234.73,0,0,0,0,221.67,13.06,13.1,234.73,0,0,0,0
83,ATP_D_46_Amarapuram,Granites,3,11,,,123.77,0,0,0,0,123.77,0,0,123.77,0,0,0,0
