Sr.no,,,Village name,T.Area (ha),Watershed command area,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
54,12_D_46_01,ATP_D_46_Donekal,Gulyapalem,2000,0,0,0,0,2000,0,0,2000,0,,,
55,12_D_46_01,ATP_D_46_Donekal,Pottipadu,889,0,0,0,0,889,0,0,889,0,,,
56,12_D_46_01,ATP_D_46_Donekal,Gadehothur,1926,0,0,0,0,1926,0,0,1926,0,,,
57,12_D_46_01,ATP_D_46_Donekal,Chinnahothur,1142,0,0,0,0,1142,0,0,1142,0,,,
58,12_D_46_01,ATP_D_46_Donekal,Anchanahal,2271,2271,0,0,2271,0,0,0,0,0,,,
59,12_D_46_01,ATP_D_46_Donekal,Poliki,2671,2671,0,0,2671,0,0,0,0,0,,,
60,12_D_46_10,ATP_D_46_Kanekal,Brahmasamudram,1857,1857,0,0,1857,0,0,0,0,0,,,
61,12_D_46_10,ATP_D_46_Kanekal,Bennikal,1683,1683,0,0,1683,0,0,0,0,0,,,
62,12_D_46_10,ATP_D_46_Kanekal,Udegolam,4307,4307,0,0,4307,0,0,0,0,0,,,
63,12_D_46_10,ATP_D_46_Kanekal,Kanekal,5967,5967,0,0,5967,0,0,0,0,0,,,0
64,12_D_46_10,ATP_D_46_Kanekal,Hulikera,4171,0,0,0,0,4171,0,0,4171,0,,,
65,12_D_46_10,ATP_D_46_Kanekal,D. Kondapuram,1574,0,0,0,0,1574,0,0,1574,0,,,
66,12_D_46_10,ATP_D_46_Kanekal,Vadrahonnur,1962,0,0,0,0,1962,0,0,1962,0,,,
67,12_D_46_10,ATP_D_46_Kanekal,Gramadatla,2642,0,0,0,0,2642,0,0,2642,0,,,
68,12_C_65_03,ATP_C_65_Ubicherla,G.Anantapur,2278,0,0,0,0,2278,0,0,2278,0,0,0,0
69,12_C_65_03,ATP_C_65_Ubicherla,Virupapuram,963,0,0,0,0,750,213,213,963,0,0,0,0
70,12_C_65_03,ATP_C_65_Ubicherla,G.Venkatampalli,1191,0,0,0,0,946,245,245,1191,0,0,0,0
71,12_C_65_03,ATP_C_65_Ubicherla,Avulampalli,516,0,0,0,0,516,0,0,516,0,0,0,0
72,12_C_65_03,ATP_C_65_Ubicherla,Peddavadugur,2649,2649,0,0,2649,0,0,0,0,0,0,0,0
73,12_C_65_03,ATP_C_65_Ubicherla,Medimakulapalli,649,30,0,0,30,619,0,0,619,0,0,0,0
74,12_C_65_03,ATP_C_65_Ubicherla,Teliki,548,0,0,0,0,331,217,217,548,0,0,0,0
75,12_C_65_03,ATP_C_65_Ubicherla,C.Vadugur,1564,1123,441,441,1564,0,0,0,0,0,0,0,0
76,12_C_65_03,ATP_C_65_Ubicherla,Nagalapuram,442,0,0,0,0,52,390,390,442,0,0,0,0
77,12_C_65_03,ATP_C_65_Ubicherla,Dimmagudi,883,883,0,0,883,0,0,642,0,0,0,0,0
78,12_C_65_03,ATP_C_65_Ubicherla,Chittoor,1191,241,950,950,1191,0,0,0,0,0,0,0,0
79,12_C_65_03,ATP_C_65_Ubicherla,Kandla Gudur,1050,430,620,620,1050,0,0,0,0,0,0,0,0
80,12_C_65_03,ATP_C_65_Ubicherla,Chitrachedu,1303,0,0,0,0,692,611,611,1303,0,0,0,0
81,12_C_65_03,ATP_C_65_Ubicherla,Mulakatalla,1038,0,0,0,0,783,255,255,1038,0,0,0,0
82,12_C_65_03,ATP_C_65_Ubicherla,Ubicherla,2211,0,0,0,0,1711,500,500,2211,0,0,0,0
83,12_C_65_03,ATP_C_65_Ubicherla,Karidikonda,1351,0,0,0,0,1351,0,0,1351,0,0,0,0
84,12_C_65_03,ATP_C_65_Ubicherla,Dharmapuram,715,0,0,0,0,715,0,0,715,0,0,0,0
85,12_C_65_03,ATP_C_65_Ubicherla,Chetnepalli,1206,0,0,0,0,1206,0,0,1206,0,0,0,0
86,12_C_65_03,ATP_C_65_Ubicherla,Kojjepalli,1016,0,0,0,0,1016,0,0,1016,0,0,0,0
87,12_C_65_03,ATP_C_65_Ubicherla,Turakapalli,536,536,0,0,536,0,0,0,0,0,0,0,0
88,12_C_65_03,ATP_C_65_Ubicherla,Gooty(R),5762,0,0,0,0,5762,0,0,5762,0,0,0,0
89,12_C_65_03,ATP_C_65_Ubicherla,Kothapeta,2365,0,0,0,0,2365,0,0,2365,0,0,0,0
90,12_C_65_03,ATP_C_65_Ubicherla,Engilibanda,690,0,0,0,0,690,0,0,690,0,0,0,0
91,12_C_65_03,ATP_C_65_Ubicherla,Obulapuram,831,0,0,0,0,831,0,0,831,0,0,0,0
92,12_C_65_15,ATP_C_65_Budedu,Penakacherla,3284,1974,1310,1310,3284,0,0,0,0,0,,,
93,12_C_65_15,ATP_C_65_Budedu,Koppalakonda,1567,1567,0,0,1567,0,0,0,0,0,,,
94,12_C_65_15,ATP_C_65_Budedu,Kesavapuram,1222,1222,0,0,1222,0,0,0,0,0,,,
95,12_C_65_15,ATP_C_65_Budedu,Muntimadugu,1015,1015,0,0,1015,0,0,0,0,0,,,
96,12_C_65_15,ATP_C_65_Budedu,K.Agraharam,871,511,360,360,871,0,0,0,0,0,,,
97,12_C_65_15,ATP_C_65_Budedu,Ankampeta,91,91,0,0,91,0,0,0,0,0,,,
98,12_C_65_15,ATP_C_65_Budedu,Sirivaram,1191,1191,0,0,1191,0,0,0,0,0,,,
99,12_C_65_15,ATP_C_65_Budedu,Krishnapuram,1047,1047,0,0,1047,0,0,0,0,0,,,
100,12_C_65_15,ATP_C_65_Budedu,Yerraguntla,4038,2409,1629,1629,4038,0,0,0,0,0,,,
101,12_C_65_15,ATP_C_65_Budedu,Budedu,996,996,0,0,996,0,0,0,0,0,,,
102,12_C_65_01,ATP_C_65_Guntakal,Thimmanaacherla,5193,0,0,0,0,5193,0,0,5193,0,,0,0
103,12_C_65_01,ATP_C_65_Guntakal,Kasapuram,2672,0,0,0,0,2672,0,0,2672,0,,0,0
104,12_C_65_01,ATP_C_65_Guntakal,Sangala,670,0,0,0,0,670,0,0,670,0,,0,0
105,12_C_65_01,ATP_C_65_Guntakal,Dosaludiki,2070,0,0,0,0,1070,1000,1000,2070,0,,0,0
106,12_C_65_01,ATP_C_65_Guntakal,Gundala,2138,0,0,0,0,1375,763,763,2138,0,,0,0
107,12_C_65_01,ATP_C_65_Guntakal,Konganapalli,2666,0,0,0,0,2666,0,0,2666,0,,0,0
108,12_C_65_01,ATP_C_65_Guntakal,Sankarabanda,755,0,0,0,0,755,0,0,755,0,,0,0
109,12_C_65_01,ATP_C_65_Guntakal,P.K.Cheruvu,2483,2483,0,0,2483,0,0,0,0,0,,0,0
110,12_C_65_01,ATP_C_65_Guntakal,Ameenpalli,431,0,0,0,0,431,0,4,431,0,,0,0
