,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
72,12_C_65_03,ATP_C_65_Ubicherla,Peddavadugur,12,31,0,0,,,43
73,12_C_65_03,ATP_C_65_Ubicherla,Medimakulapalli,0,0,5,9,,,14
74,12_C_65_03,ATP_C_65_Ubicherla,Teliki,0,0,7,1,,,8
75,12_C_65_03,ATP_C_65_Ubicherla,C.Vadugur,2,6,0,0,,,8
76,12_C_65_03,ATP_C_65_Ubicherla,Nagalapuram,0,0,0,11,,,11
77,12_C_65_03,ATP_C_65_Ubicherla,Dimmagudi,2,13,0,0,,,15
78,12_C_65_03,ATP_C_65_Ubicherla,Chittoor,0,8,0,0,,,8
79,12_C_65_03,ATP_C_65_Ubicherla,Kandla Gudur,1,3,5,1,,,10
80,12_C_65_03,ATP_C_65_Ubicherla,Chitrachedu,0,0,7,3,,,10
81,12_C_65_03,ATP_C_65_Ubicherla,Mulakatalla,0,0,3,1,,,4
82,12_C_65_03,ATP_C_65_Ubicherla,Ubicherla,0,0,8,18,,,26
83,12_C_65_03,ATP_C_65_Ubicherla,Karidikonda,0,0,15,20,,,35
84,12_C_65_03,ATP_C_65_Ubicherla,Dharmapuram,0,0,5,7,,,12
85,12_C_65_03,ATP_C_65_Ubicherla,Chetnepalli,0,0,36,35,,,71
86,12_C_65_03,ATP_C_65_Ubicherla,Kojjepalli,0,0,16,10,,,26
87,12_C_65_03,ATP_C_65_Ubicherla,Turakapalli,7,10,0,0,,,17
88,12_C_65_03,ATP_C_65_Ubicherla,Gooty(R),0,0,74,3,,,77
89,12_C_65_03,ATP_C_65_Ubicherla,Kothapeta,0,0,18,21,,,39
90,12_C_65_03,ATP_C_65_Ubicherla,Engilibanda,0,0,5,1,,,6
91,12_C_65_03,ATP_C_65_Ubicherla,Obulapuram,0,0,10,17,,,27
92,12_C_65_15,ATP_C_65_Budedu,Penakacherla,8,18,0,0,,,26
93,12_C_65_15,ATP_C_65_Budedu,Koppalakonda,9,10,0,0,,,19
94,12_C_65_15,ATP_C_65_Budedu,Kesavapuram,7,10,0,0,,,17
95,12_C_65_15,ATP_C_65_Budedu,Muntimadugu,6,2,0,0,,,8
96,12_C_65_15,ATP_C_65_Budedu,K.Agraharam,8,3,0,0,,,11
97,12_C_65_15,ATP_C_65_Budedu,Ankampeta,6,3,0,0,,,9
98,12_C_65_15,ATP_C_65_Budedu,Sirivaram,4,10,0,0,,,14
99,12_C_65_15,ATP_C_65_Budedu,Krishnapuram,8,9,0,0,,,17
100,12_C_65_15,ATP_C_65_Budedu,Yerraguntla,0,0,0,0,,,0
101,12_C_65_15,ATP_C_65_Budedu,Budedu,7,22,0,0,,,29
102,12_C_65_01,ATP_C_65_Guntakal,Thimmanaacherla,0,0,0,1,,,1
103,12_C_65_01,ATP_C_65_Guntakal,Kasapuram,0,0,19,22,,,41
104,12_C_65_01,ATP_C_65_Guntakal,Sangala,0,0,6,1,,,7
105,12_C_65_01,ATP_C_65_Guntakal,Dosaludiki,0,0,6,11,,,17
106,12_C_65_01,ATP_C_65_Guntakal,Gundala,0,0,7,11,,,18
107,12_C_65_01,ATP_C_65_Guntakal,Konganapalli,0,0,16,15,,,31
108,12_C_65_01,ATP_C_65_Guntakal,Sankarabanda,0,0,2,12,,,14
109,12_C_65_01,ATP_C_65_Guntakal,P.K.Cheruvu,16,20,0,20,,,56
110,12_C_65_01,ATP_C_65_Guntakal,Ameenpalli,0,0,3,1,,,4
111,12_C_65_01,ATP_C_65_Guntakal,Nakkaladoddi,0,0,15,22,,,37
112,12_C_65_01,ATP_C_65_Guntakal,Thimmapuram,0,0,11,12,,,23
113,12_C_65_01,ATP_C_65_Guntakal,Donimukkala,0,0,2,1,,,3
114,12_C_65_01,ATP_C_65_Guntakal,Nelagonda,0,0,14,9,,,23
115,12_C_65_01,ATP_C_65_Guntakal,Rajapuram,3,7,0,0,,,10
116,12_C_65_01,ATP_C_65_Guntakal,Marnepalli,5,1,0,1,,,7
117,12_C_65_01,ATP_C_65_Guntakal,Peddoddi,4,11,0,0,,,15
118,12_C_65_01,ATP_C_65_Guntakal,Brahmanahaplli,5,11,0,1,,,17
119,12_C_65_01,ATP_C_65_Guntakal,Yerragudi,3,1,0,1,,,5
120,12_C_65_01,ATP_C_65_Guntakal,Anaganadoddi,0,0,4,0,,,4
121,12_C_65_01,ATP_C_65_Guntakal,Abbedoddi,0,0,2,0,,,2
122,12_C_65_01,ATP_C_65_Guntakal,Guntakal,0,0,109,76,,,185
123,12_C_65_02,ATP_C_65_Kaderpet,Vajrakaruru,0,0,3,26,,,29
124,12_C_65_02,ATP_C_65_Kaderpet,Ganjikunta,0,0,7,8,,,15
125,12_C_65_02,ATP_C_65_Kaderpet,Kadamalakunta,0,0,,17,,,17
126,12_C_65_02,ATP_C_65_Kaderpet,Tatrakal,0,0,,2,,,2
127,12_C_65_02,ATP_C_65_Kaderpet,Pandikunta,0,0,0,15,,,15
128,12_C_65_02,ATP_C_65_Kaderpet,Anumpalli,0,0,17,4,,,21
129,12_C_65_02,ATP_C_65_Kaderpet,Kaderpeta,0,0,6,8,,,14
130,12_C_65_02,ATP_C_65_Kaderpet,Nemallepalli,,11,,8,,,19
131,12_C_65_02,ATP_C_65_Kaderpet,Eddulapalli,,7,,31,,,38
132,12_C_65_02,ATP_C_65_Kaderpet,Ramagiri,0,0,3,14,,,17
133,12_C_65_02,ATP_C_65_Kaderpet,Palyam,0,16,6,0,,,22
134,12_C_65_02,ATP_C_65_Kaderpet,Katrimala,0,6,0,0,,,6
135,12_C_65_02,ATP_C_65_Kaderpet,Apparajupeta,0,1,0,0,,,1
136,12_C_65_02,ATP_C_65_Kaderpet,Kandlapalli,0,10,0,0,,,10
137,12_C_65_02,ATP_C_65_Kaderpet,S.K.Peta,0,2,0,0,,,2
138,12_C_65_02,ATP_C_65_Kaderpet,Vankarajukalva,0,0,0,0,,,0
139,12_C_65_02,ATP_C_65_Kaderpet,Devarapalli,0,10,0,0,,,10
140,12_C_65_02,ATP_C_65_Kaderpet,Akkajampalli,0,13,0,0,,,13
141,12_C_65_02,ATP_C_65_Kaderpet,Yedururu,,,,0,,,0
142,12_C_65_02,ATP_C_65_Kaderpet,Ramarajupalli,,,,11,,,11
143,12_C_65_02,ATP_C_65_Kaderpet,Gajarampalli,,0,,,,,0
144,12_C_65_02,ATP_C_65_Kaderpet,Pogaruru,,4,,,,,4
145,12_C_65_02,ATP_C_65_Kaderpet,Gulimikondla,,1,,,,,1
146,12_C_65_02,ATP_C_65_Kaderpet,Kalapuram,,12,,,,,12
147,12_C_65_02,ATP_C_65_Kaderpet,Pamidi,,1,,,,,1
148,12_C_65_02,ATP_C_65_Kaderpet,Neeluru,,,,7,,,7
149,12_C_65_02,ATP_C_65_Kaderpet,Tamballapalli,,,,1,,,1
150,12_C_65_02,ATP_C_65_Kaderpet,Konduru,,,,3,,,3
151,12_C_65_02,ATP_C_65_Kaderpet,Ayyavaripalli,,9,,,,,9
152,12_C_65_02,ATP_C_65_Kaderpet,Ragulapadu,,,,14,,,14
153,12_C_65_01,ATP_C_65_Midthuru,Dancherla,5,14,0,0,,,19
154,12_C_65_01,ATP_C_65_Midthuru,Y.T.Cheruvu,5,9,0,1,,,15
155,12_C_65_01,ATP_C_65_Midthuru,Nagasamudram,30,9,0,1,,,40
156,12_C_65_01,ATP_C_65_Midthuru,Eswarapalli,5,2,0,0,,,7
157,12_C_65_01,ATP_C_65_Midthuru,Mamadur,0,0,4,11,,,15
158,12_C_65_01,ATP_C_65_Midthuru,Kamalapadu,0,0,6,10,,,16
159,12_C_65_01,ATP_C_65_Midthuru,Miduthur,1,6,0,1,,,8
160,12_C_65_01,ATP_C_65_Midthuru,Penakalapadu,1,0,0,0,,,1
161,12_C_65_02,ATP_C_65_Tarimala,Kanampalli,0,11,,,,,11
162,12_C_65_02,ATP_C_65_Tarimala,Illuru,0,17,,,,,17
163,12_C_65_02,ATP_C_65_Tarimala,Kallur,0,0,,,,,0
164,12_C_65_02,ATP_C_65_Tarimala,Kallumadi,0,15,,,,,15
165,12_C_65_02,ATP_C_65_Tarimala,Tarimela,0,22,,,,,22
166,12_C_65_02,ATP_C_65_Tarimala,Nidhanawada,0,5,,,,,5
167,12_C_65_02,ATP_C_65_Tarimala,Anandaraopeta,0,1,,,,,1
168,12_C_65_02,ATP_C_65_Tarimala,Rachepalli,0,33,,,,,33
169,12_C_65_02,ATP_C_65_Tarimala,Buddepalli,0,2,,,,,2
