,,,,Command Area,,,,,,,,Non-Command Area,,,,,,,,Poor GW quality area,,,,,,,,,,,,,,,,,,,,,,
,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,,,,,,,,,,,,,,,
37,12_D_46_01,ATP_D_46_D.Hirehal,Nagalapuram,0,0,542,0,0,0,0,542,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
38,12_D_46_01,ATP_D_46_D.Hirehal,Somalapuram,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,133,,,,,,,,0,,,,,,,,,,,,,,,
39,12_D_46_01,ATP_D_46_D.Hirehal,Kuruvalli,0,0,146,0,0,0,0,146,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
40,12_D_46_01,ATP_D_46_D.Hirehal,Siddarampuram,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
41,12_D_46_01,ATP_D_46_D.Hirehal,Haresamudram,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
42,12_D_46_01,ATP_D_46_D.Hirehal,Bommanahal,0,0,130,0,0,0,0,130,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
43,12_D_46_01,ATP_D_46_D.Hirehal,Nemakallu,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,145,,,,,,,,0,,,,,,,,,,,,,,,
44,12_D_46_01,ATP_D_46_D.Hirehal,Unthakallu,0,0,332,0,0,0,0,332,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
45,12_D_46_01,ATP_D_46_D.Hirehal,Uddehal,0,0,204,0,0,0,0,204,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
46,12_D_46_01,ATP_D_46_D.Hirehal,Bandur,0,0,179,0,0,0,0,179,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
47,12_D_46_01,ATP_D_46_Donekal,Donekal,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,,,,,,,,0,,,,,,,,,,,,,,,
48,12_D_46_01,ATP_D_46_Donekal,Kadadarabenchi,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,,,,,,,,0,,,,,,,,,,,,,,,
49,12_D_46_01,ATP_D_46_Donekal,Gadekal,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,122,,,,,,,,0,,,,,,,,,,,,,,,
