sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
76,12_C_65_03,ATP_C_65_Ubicherla,Nagalapuram,0,0,0,0,,
77,12_C_65_03,ATP_C_65_Ubicherla,Dimmagudi,1,1,0,0,,
78,12_C_65_03,ATP_C_65_Ubicherla,Chittoor,0,0,0,0,,
79,12_C_65_03,ATP_C_65_Ubicherla,Kandla Gudur,0,0,0,0,,
80,12_C_65_03,ATP_C_65_Ubicherla,Chitrachedu,0,0,0,4,,
81,12_C_65_03,ATP_C_65_Ubicherla,Mulakatalla,0,0,1,0,,
82,12_C_65_03,ATP_C_65_Ubicherla,Ubicherla,0,0,1,18,,
83,12_C_65_03,ATP_C_65_Ubicherla,Karidikonda,0,0,0,0,,
84,12_C_65_03,ATP_C_65_Ubicherla,Dharmapuram,0,0,0,0,,
85,12_C_65_03,ATP_C_65_Ubicherla,Chetnepalli,0,0,0,0,,
86,12_C_65_03,ATP_C_65_Ubicherla,Kojjepalli,0,0,0,0,,
87,12_C_65_03,ATP_C_65_Ubicherla,Turakapalli,0,0,0,0,,
88,12_C_65_03,ATP_C_65_Ubicherla,Gooty(R),0,0,1,193,,
89,12_C_65_03,ATP_C_65_Ubicherla,Kothapeta,0,0,1,18,,
90,12_C_65_03,ATP_C_65_Ubicherla,Engilibanda,0,0,1,9,,
91,12_C_65_03,ATP_C_65_Ubicherla,Obulapuram,0,0,3,5,,
92,12_C_65_15,ATP_C_65_Budedu,Penakacherla,2,15,0,0,,
93,12_C_65_15,ATP_C_65_Budedu,Koppalakonda,1,5,0,0,,
94,12_C_65_15,ATP_C_65_Budedu,Kesavapuram,0,0,0,0,,
95,12_C_65_15,ATP_C_65_Budedu,Muntimadugu,0,0,0,0,,
96,12_C_65_15,ATP_C_65_Budedu,K.Agraharam,0,0,0,0,,
97,12_C_65_15,ATP_C_65_Budedu,Ankampeta,0,0,0,0,,
98,12_C_65_15,ATP_C_65_Budedu,Sirivaram,0,0,0,0,,
99,12_C_65_15,ATP_C_65_Budedu,Krishnapuram,0,0,0,0,,
100,12_C_65_15,ATP_C_65_Budedu,Yerraguntla,1,34,0,0,,
101,12_C_65_15,ATP_C_65_Budedu,Budedu,0,0,0,0,,
102,12_C_65_01,ATP_C_65_Guntakal,Thimmanaacherla,4,0,0,0,,
103,12_C_65_01,ATP_C_65_Guntakal,Kasapuram,0,1,0,0,,
104,12_C_65_01,ATP_C_65_Guntakal,Sangala,0,0,0,0,,
105,12_C_65_01,ATP_C_65_Guntakal,Dosaludiki,0,0,0,0,0,0
