,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
18,VSP_F_14_C_SARADA-7_ELAMANCHILI,STW,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
19,VSP_F_14_C_SARADA-7_ELAMANCHILI,MTW,0,0,40,90,0,,120,240,2071.4285714286,,120,240,0,0,40,90,0,,120,240,2071.4285714286,,120,240,13050,0,40,90,,,,,2071.4285714286,0,120,240
20,VSP_F_14_C_SARADA-7_ELAMANCHILI,Deep TW,0,0,40,90,0,,120,240,4142.8571428572,,120,240,0,0,40,90,0,,120,240,4142.8571428572,,120,240,18642.8571428571,0,40,90,,,,,4142.8571428572,0,120,240
21,VSP_F_14_C_SARADA-7_ELAMANCHILI,Filter Points,2071.4285714286,65,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,66,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
22,VSP_F_14_C_SARADA-11_V.MADUGULA,DW,828.5714285714,63,40,90,82.8571428571,208,120,240,1035.7142857143,,120,240,828.5714285714,317,40,90,82.8571428571,669,120,240,1035.7142857143,,120,240,1118.5714285714,0,40,90,,,,,1035.7142857143,0,120,240
23,VSP_F_14_C_SARADA-11_V.MADUGULA,DW+PS/DCB,828.5714285714,76,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,266,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,0,40,90,,,,,828.5714285714,0,120,240
24,VSP_F_14_C_SARADA-11_V.MADUGULA,BWs,1035.7142857143,0,40,90,1035.7142857143,15,120,240,2071.4285714286,,120,240,1035.7142857143,108,40,90,1035.7142857143,71,120,240,2071.4285714286,,120,240,4142.8571428572,0,40,90,,,,,2071.4285714286,0,120,240
25,VSP_F_14_C_SARADA-11_V.MADUGULA,STW,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,1657.1428571429,15,40,90,0,,120,240,2071.4285714286,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
26,VSP_F_14_C_SARADA-11_V.MADUGULA,MTW,0,0,40,90,0,,120,240,2071.4285714286,,120,240,0,0,40,90,0,,120,240,2071.4285714286,,120,240,13050,0,40,90,,,,,2071.4285714286,0,120,240
27,VSP_F_14_C_SARADA-11_V.MADUGULA,Deep TW,0,0,40,90,0,,120,240,4142.8571428572,,120,240,0,0,40,90,0,,120,240,4142.8571428572,,120,240,18642.8571428571,0,40,90,,,,,4142.8571428572,0,120,240
28,VSP_F_14_C_SARADA-11_V.MADUGULA,Filter Points,2071.4285714286,336,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,338,40,90,0,252,120,240,2071.4285714286,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
29,VSP_F_14_C_SARADA-12_GADIRAI,DW,828.5714285714,6,40,90,82.8571428571,41,120,240,1035.7142857143,,120,240,828.5714285714,38,40,90,82.8571428571,,120,240,1035.7142857143,,120,240,1118.5714285714,0,40,90,,,,,1035.7142857143,0,120,240
30,VSP_F_14_C_SARADA-12_GADIRAI,DW+PS/DCB,828.5714285714,4,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,19,40,90,0,20,120,240,828.5714285714,,120,240,828.5714285714,0,40,90,,,,,828.5714285714,0,120,240
31,VSP_F_14_C_SARADA-12_GADIRAI,BWs,1035.7142857143,0,40,90,1035.7142857143,3,120,240,2071.4285714286,,120,240,1035.7142857143,13,40,90,1035.7142857143,,120,240,2071.4285714286,,120,240,4142.8571428572,0,40,90,,,,,2071.4285714286,0,120,240
32,VSP_F_14_C_SARADA-12_GADIRAI,STW,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
