S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,,CA pre monsoon depth to water level ,CA post monsoon depth to water level,,Dependancy factor,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
1,VSP_F_14_C_SARADA-5_KOTAPADU,VSP_F_14_SARADA-5_KOTAPADU-MB,6.97,1.51,5.43,6.97,1.51,5.43,1,1197.9,992.2,205.7,1538,1430,108
2,VSP_F_14_C_SARADA-6_ATCHUTAPURAM,VSP_F_SARADA-6_ATCHUTAPURAM-MB,10.22,1.6,8.98,9.1,1.82,7.28,1,1077,922,155,1235,1192,43
3,VSP_F_14_C_SARADA-7_ELAMANCHILI,VSP_F_14_SARADA-7_ELAMANCHILI-MB,6.12,1.71,4.84,6.12,1.71,4.84,1,1113,951,162,1304,1239,65
4,VSP_F_14_C_SARADA-11_V.MADUGULA,VSP_F_14_SARADA-11_VMADUGULA-MB,5.58,2.3,4.88,5.58,2.3,4.88,1,1359.4,1118,241.4,1262.6,1159.6,103
5,VSP_F_14_C_SARADA-12_GADIRAI,VSP_F_14_ SARADA-12_GADIRAI-MB,9.4,3.53,7.7,9.4,3.53,7.7,1,1395,1193,202,1408.3,1305.3,103
6,VSP_F_15_C_VARAHA-2_NARSIPATNAM,VSP_F_15_VARAHA-2_NARSIPATNAM-MB,3.91,1,3.92,3.91,1,3.92,1,1247,980,267,1317,1224,93
7,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,VSP_F_15_VARAHA-3_S.R.VARAM-MB,2.8,0.8,0,2.8,0.8,0,1,1112,954,158,1230,1154,76
8,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,VSP_F_15_VARAHA-SARPA_RAVIKAMATAM-MB,5.55,1.57,4.86,5.55,1.57,4.86,1,1175,997,178,1277,1193,84
9,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,VSP_F_16_TANDAVA-1_NAKKAPALLI-MB,6.78,1.27,5.57,6.78,1.27,5.57,1,1349,1179,170,1202,1149,53
10,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,VSP_F_16_TANDAVA-2_PAYAKARAOPETA-MB,6.38,1.35,5.89,6.38,1.35,5.89,1,1309,1134,175,1348,1276,72
11,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,VSP_E_27_SABARI-1_ GKVEEDHI_AGENCY-MB,13.57,6.83,13.2,,,,0.98,1376,1135,241,1549.8,1462,87.8
