,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
29,VSP_F_16_NC_TANDAVA-5_GOLUGONDAPETA,Weathered granite(Weathered granite),2.300,8.20,,,42.50,0.00,0.00,0.00,0.00,33.25,9.25,0.00,42.50,0.00,0.00,0.00,0.00
30,VSP_F_14_C_SARADA-11_V.MADUGULA,Weathered granite(Weathered granite),2.800,10.10,,,359.72,45.99,0.50,0.00,46.49,219.55,93.68,0.00,313.23,0.00,0.00,0.00,0.00
31,VSP_E_27_NC_SABARI-8_ARAKU VALLEY,Weathered gneiss(Weathered gneiss),3.000,10.90,,,303.32,0.00,0.00,0.00,0.00,140.10,163.22,0.00,303.32,0.00,0.00,0.00,0.00
32,VSP_F_15_C_VARAHA-2_NARSIPATNAM,Weathered granite(Weathered granite),3.000,10.50,,,308.15,87.26,1.10,0.00,88.36,189.84,29.95,0.00,219.79,0.00,0.00,0.00,0.00
33,VSP_F_09_NC_CMPVT_GARUGUBILLI_PART-VZM,Weathered granite(Weathered granite),2.800,9.90,,,208.65,0.00,0.00,0.00,0.00,73.09,135.56,0.00,208.65,0.00,0.00,0.00,0.00
34,VSP_F_14_C_SARADA-7_ELAMANCHILI,Weathered granite(Weathered granite),4.100,11.90,,,149.32,42.38,0.50,0.00,42.88,106.44,0.00,0.00,106.44,0.00,0.00,0.00,0.00
35,VSP_F_14_NC_SARADA-3_GANGAVARAM,Weathered granite(Weathered granite),2.900,10.50,,,36.71,0.00,0.00,0.00,0.00,13.10,23.61,0.00,36.71,0.00,0.00,0.00,0.00
36,VSP_F_15_NC_VARAHA-1_ROLUGUNTA,Weathered granite(Weathered granite),2.700,9.70,,,200.93,0.00,0.00,0.00,0.00,88.93,112.00,0.00,200.93,0.00,0.00,0.00,0.00
37,VSP_E_27_NC_SABARI-9_DUMBRIGUDA,Weathered gneiss(Weathered gneiss),2.300,8.20,,,224.11,0.00,0.00,0.00,0.00,103.15,120.96,0.00,224.11,0.00,0.00,0.00,0.00
38,VSP_E_27_NC_SABARI-3_G.MADUGULA,Weathered granite(Weathered granite),2.200,7.70,,,506.18,0.00,0.00,0.00,0.00,182.87,323.31,0.00,506.18,0.00,0.00,0.00,0.00
39,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,Weathered granite(Weathered granite),4.700,12.30,,,260.82,39.32,0.00,0.00,39.32,206.29,15.21,0.00,221.50,0.00,0.00,0.00,0.00
40,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,Weathered granite(Weathered granite),10.800,17.50,,,53.13,51.31,0.00,0.00,51.31,0.00,1.82,0.00,1.82,0.00,0.00,0.00,0.00
41,VSP_E_27_NC_SABARI-10_THOTAVALASA,Weathered gneiss(Weathered gneiss),3.000,11.00,,,62.79,0.00,0.00,0.00,0.00,11.72,51.07,0.00,62.79,0.00,0.00,0.00,0.00
42,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,Weathered granite(Weathered granite),7.000,14.40,,,269.51,76.30,4.00,0.00,80.30,111.94,77.27,0.00,189.21,0.00,0.00,0.00,0.00
43,VSP_F_16_NC_TANDAVA-9_M.BHEEMAVARAM,Weathered granite(Weathered granite),2.717,9.80,,,365.14,0.00,0.00,0.00,0.00,20.67,344.47,0.00,365.14,0.00,0.00,0.00,0.00
