Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,,,,,,,,,,,,
22,11_C_65_03,KDP_C_65_03_J.Madugu,17,Purvapu Sugamanchupalle,563,,563,30965,,,PENNA,65_PENNA,PENNA,11_C_65_03,KDP_C_65_03_J.Madugu,11,YSR Kadapa,16,Jammalamadugu,11158160170114,17,Purvapu Sugamanchupalle
23,11_C_65_04,KDP_C_65_04_Gandikota,26,Gandluru,,850,850,46750,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,1,Kondapuram,11158010260120,26,Gandluru
24,11_C_65_04,KDP_C_65_04_Gandikota,5,Gudemcheruvu,,4641,4641,255255,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160050105,5,Gudemcheruvu
25,11_C_65_04,KDP_C_65_04_Gandikota,6,Ponnathota,1608,,1608,88440,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160060106,6,Ponnathota
26,11_C_65_04,KDP_C_65_04_Gandikota,7,Diguvapatnam,,0,0,0,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160070107,7,Diguvapatnam
27,11_C_65_04,KDP_C_65_04_Gandikota,8,Gandikota,,1118,1118,61490,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160080108,8,Gandikota
28,11_C_65_04,KDP_C_65_04_Gandikota,9,Sanjeevapalle,,0,0,0,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160090107,9,Sanjeevapalle
29,11_C_65_04,KDP_C_65_04_Gandikota,10,Purvabommepalle,,1690,1690,92950,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160100107,10,Purvabommepalle
30,11_C_65_04,KDP_C_65_04_Gandikota,11,Vemaguntapalle,,235,235,12925,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160110109,11,Vemaguntapalle
31,11_C_65_04,KDP_C_65_04_Gandikota,12,Ambavaram,,1086,1086,59730,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160120109,12,Ambavaram
32,11_C_65_04,KDP_C_65_04_Gandikota,18,Sirigepalle,929,,929,51095,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160180115,18,Sirigepalle
33,11_C_65_04,KDP_C_65_04_Gandikota,19,Peddadandluru,1189,,1189,65395,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160190115,19,Peddadandluru
34,11_C_65_04,KDP_C_65_04_Gandikota,20,Sunnapurallapalle,2267,,2267,124685,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160200116,20,Sunnapurallapalle
