Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,,,,,,,,,,,,
263,11_C_65_25,KDP_C_68_25_MYDUKURU,11,T.Sallabhasayapalli,714,,714,39270,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,5,Duvvur,11156050110115,11,T.Sallabhasayapalli
264,11_C_65_25,KDP_C_68_25_MYDUKURU,12,Gollapalli,865,,865,47575,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,5,Duvvur,11156050120114,12,Gollapalli
265,11_C_65_25,KDP_C_68_25_MYDUKURU,15,Gudipadu,5406,,5406,297330,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,5,Duvvur,11156050150116,15,Gudipadu
266,11_C_65_25,KDP_C_68_25_MYDUKURU,20,Chintakunta,6394,,6394,351670,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,5,Duvvur,11156050200122,20,Chintakunta
267,11_C_65_25,KDP_C_68_25_MYDUKURU,1,Yakarlapalem,,0,0,0,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060010101,1,Yakarlapalem
268,11_C_65_25,KDP_C_68_25_MYDUKURU,2,Tippireddypalli,,1296,1296,71280,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060020102,2,Tippireddypalli
269,11_C_65_25,KDP_C_68_25_MYDUKURU,3,Mudireddypalli,,1260,1260,69300,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060030103,3,Mudireddypalli
270,11_C_65_25,KDP_C_68_25_MYDUKURU,5,Adireddypalli,754,,754,41470,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060050103,5,Adireddypalli
271,11_C_65_25,KDP_C_68_25_MYDUKURU,6,Ganjikunta,4206,,4206,231330,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060060101,6,Ganjikunta
272,11_C_65_25,KDP_C_68_25_MYDUKURU,7,Gaddamayapalli,401,,401,22055,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060070101,7,Gaddamayapalli
273,11_C_65_25,KDP_C_68_25_MYDUKURU,8,Lingaladinne,927,,927,50985,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060080106,8,Lingaladinne
274,11_C_65_25,KDP_C_68_25_MYDUKURU,9,Vanipenta,7666,,7666,421630,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060090107,9,Vanipenta
275,11_C_65_25,KDP_C_68_25_MYDUKURU,16,N.Mydukur,12957,,12957,712635,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,6,Mydukur,11156060160117,16,N.Mydukur
276,11_C_65_25,KDP_C_68_25_MYDUKURU,9,Miduthuru,2654,,2654,145970,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,13,Khajipet,11156130090110,9,Miduthuru
277,11_C_65_25,KDP_C_68_25_MYDUKURU,10,Eturu,1056,,1056,58080,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,13,Khajipet,11156130100112,10,Eturu
278,11_C_65_25,KDP_C_68_25_MYDUKURU,11,Thripuravaram,1260,,1260,69300,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,13,Khajipet,11156130110113,11,Thripuravaram
279,11_C_65_25,KDP_C_68_25_MYDUKURU,3,Chiyyapadu,4657,,4657,256135,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140030104,3,Chiyyapadu
280,11_C_65_25,KDP_C_68_25_MYDUKURU,4,Morrayapalli,1268,,1268,69740,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140040105,4,Morrayapalli
281,11_C_65_25,KDP_C_68_25_MYDUKURU,5,Pitchapadu,1047,,1047,57585,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11156140050106,5,Pitchapadu
282,11_C_65_25,KDP_C_68_25_MYDUKURU,6,Somapuram,1103,,1103,60665,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140060105,6,Somapuram
283,11_C_65_25,KDP_C_68_25_MYDUKURU,7,Bhadripalli,2486,,2486,136730,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140070107,7,Bhadripalli
284,11_C_65_25,KDP_C_68_25_MYDUKURU,8,Nerrawada,675,,675,37125,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140080107,8,Nerrawada
285,11_C_65_25,KDP_C_68_25_MYDUKURU,9,Kethavaram,0,,0,0,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140090109,9,Kethavaram
286,11_C_65_25,KDP_C_68_25_MYDUKURU,13,Alladupalli,4168,,4168,229240,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140130115,13,Alladupalli
287,11_C_65_25,KDP_C_68_25_MYDUKURU,14,Peddaguruvaluru,1931,,1931,106205,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140140116,14,Peddaguruvaluru
288,11_C_65_25,KDP_C_68_25_MYDUKURU,15,Chinnaguruvaluru,1668,,1668,91740,,,PENNA,68_Kundu,Goteru,11_C_65_25,KDP_C_68_25_MYDUKURU,11,YSR Kadapa,14,Chapadu,11157140150117,15,Chinnaguruvaluru
289,11_C_65_31,KDP_C_69_31_VEMPALLI,15,Tangedupalli,,1294,1294,71170,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,23,VNPalli,11159230150114,15,Tangedupalli
290,11_C_65_31,KDP_C_69_31_VEMPALLI,19,U.Rajupalem,,1537,1537,84535,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,23,VNPalli,11159230190119,19,U.Rajupalem
291,11_C_65_31,KDP_C_69_31_VEMPALLI,7,Vemaplli,36031,,36031,1981705,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,34,Vempalli,11160340070108,7,Vemaplli
292,11_C_65_31,KDP_C_69_31_VEMPALLI,10,T.Velamavaripalli,4822,,4822,265210,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,34,Vempalli,11160340100112,10,T.Velamavaripalli
293,11_C_65_31,KDP_C_69_31_VEMPALLI,2,Addalamarri,,351,351,19305,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,35,Chakrayapeta,11153350020101,2,Addalamarri
294,11_C_65_31,KDP_C_69_31_VEMPALLI,4,Komarakalva,,621,621,34155,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,35,Chakrayapeta,11153350040103,4,Komarakalva
295,11_C_65_31,KDP_C_69_31_VEMPALLI,6,ErraBommanapalli,,1471,1471,80905,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,35,Chakrayapeta,11153350060105,6,ErraBommanapalli
296,11_C_65_31,KDP_C_69_31_VEMPALLI,Z,RF,,,0,0,,,PENNA,69_Papaghni,Local Strm,11_C_65_31,KDP_C_69_31_VEMPALLI,11,YSR Kadapa,Z,RF,,Z,RF
297,11_C_65_32,KDP_C_69_32_TALLAPALLI,8,V.Kothapalli,2229,,2229,122595,,,PENNA,69_Papaghni,Mogameru,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,YSR Kadapa,21,Vemula,11160210080108,8,V.Kothapalli
298,11_C_65_32,KDP_C_69_32_TALLAPALLI,14,South palagiri,,1208,1208,66440,,,PENNA,69_Papaghni,Mogameru,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,YSR Kadapa,23,VNPalli,11159230140113,14,South palagiri
299,11_C_65_32,KDP_C_69_32_TALLAPALLI,16,Gonamakulapalli,,1178,1178,64790,,,PENNA,69_Papaghni,Mogameru,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,YSR Kadapa,23,VNPalli,11159230160116,16,Gonamakulapalli
300,11_C_65_32,KDP_C_69_32_TALLAPALLI,5,Kathaluru,1957,,1957,107635,,,PENNA,69_Papaghni,Mogameru,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,YSR Kadapa,34,Vempalli,11160340050105,5,Kathaluru
301,11_C_65_32,KDP_C_69_32_TALLAPALLI,6,Pamuluru,,1371,1371,75405,,,PENNA,69_Papaghni,Mogameru,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,YSR Kadapa,34,Vempalli,11160340060106,6,Pamuluru
302,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,Tallapalli,2083,,2083,114565,,,PENNA,69_Papaghni,Mogameru,11_C_65_32,KDP_C_69_32_TALLAPALLI,11,YSR Kadapa,34,Vempalli,11160340110115,11,Tallapalli
303,11_C_65_33,KDP_C_69_33_VEMULA,16,Polepalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,20,Pulivendula,11160200160111,16,Polepalli
304,11_C_65_33,KDP_C_69_33_VEMULA,17,Boggudapalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,20,Pulivendula,11160200170111,17,Boggudapalli
305,11_C_65_33,KDP_C_69_33_VEMULA,18,Bakarapuram,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,20,Pulivendula,11160200180109,18,Bakarapuram
306,11_C_65_33,KDP_C_69_33_VEMULA,19,K.Velamavaripalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,20,Pulivendula,11160200190112,19,K.Velamavaripalli
307,11_C_65_33,KDP_C_69_33_VEMULA,1,Peddajuturu,2330,,2330,128150,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210010101,1,Peddajuturu
308,11_C_65_33,KDP_C_69_33_VEMULA,2,Chinnajuturu,1499,,1499,82445,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210020102,2,Chinnajuturu
309,11_C_65_33,KDP_C_69_33_VEMULA,3,Gollalaguduru,1314,,1314,72270,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210030103,3,Gollalaguduru
310,11_C_65_33,KDP_C_69_33_VEMULA,5,Pendluru,749,,749,41195,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210050106,5,Pendluru
311,11_C_65_33,KDP_C_69_33_VEMULA,6,Pernapadu,433,,433,23815,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210060103,6,Pernapadu
312,11_C_65_33,KDP_C_69_33_VEMULA,7,Chagaleru,3280,,3280,180400,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210070107,7,Chagaleru
313,11_C_65_33,KDP_C_69_33_VEMULA,9,Gondapalli,1723,,1723,94765,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210090109,9,Gondapalli
314,11_C_65_33,KDP_C_69_33_VEMULA,10,Vemula,4437,,4437,244035,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210100110,10,Vemula
315,11_C_65_33,KDP_C_69_33_VEMULA,11,Velpula,4704,,4704,258720,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210110111,11,Velpula
316,11_C_65_33,KDP_C_69_33_VEMULA,12,Meedipenta,3176,,3176,174680,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,21,Vemula,11160210120114,12,Meedipenta
317,11_C_65_33,KDP_C_69_33_VEMULA,1,Muthukuru,1957,,1957,107635,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,34,Vempalli,11160340010101,1,Muthukuru
318,11_C_65_33,KDP_C_69_33_VEMULA,3,Naguru,824,,824,45320,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,34,Vempalli,11160340030103,3,Naguru
319,11_C_65_33,KDP_C_69_33_VEMULA,4,Alavalapadu,1679,,1679,92345,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,34,Vempalli,11160340040104,4,Alavalapadu
320,11_C_65_33,KDP_C_69_33_VEMULA,Z,RF,,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_33,KDP_C_69_33_VEMULA,11,YSR Kadapa,Z,RF,,Z,RF
321,11_C_65_35,KDP_C_69_35_PULIVENDULA,6,Atchavelli,1362,,1362,74910,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,20,Pulivendula,11160200060104,6,Atchavelli
322,11_C_65_35,KDP_C_69_35_PULIVENDULA,7,Ulimela,683,,683,37565,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,20,Pulivendula,11160200070105,7,Ulimela
323,11_C_65_35,KDP_C_69_35_PULIVENDULA,8,Ahobilapuram,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,20,Pulivendula,11160200080105,8,Ahobilapuram
324,11_C_65_35,KDP_C_69_35_PULIVENDULA,14,Pulivendula,65706,,65706,3613830,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,20,Pulivendula,11160200140110,14,Pulivendula
325,11_C_65_35,KDP_C_69_35_PULIVENDULA,15,Kachivaripalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,20,Pulivendula,11160200150105,15,Kachivaripalli
326,11_C_65_35,KDP_C_69_35_PULIVENDULA,4,Nallacheruvupalli,3286,,3286,180730,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,21,Vemula,11160210040104,4,Nallacheruvupalli
327,11_C_65_35,KDP_C_69_35_PULIVENDULA,10,Gundlamadugu,972,,972,53460,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220100111,10,Gundlamadugu
328,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,Sydapuram,930,,930,51150,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220110112,11,Sydapuram
329,11_C_65_35,KDP_C_69_35_PULIVENDULA,12,Jalapartha,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220120112,12,Jalapartha
330,11_C_65_35,KDP_C_69_35_PULIVENDULA,13,Paluru,1395,,1395,76725,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220130113,13,Paluru
331,11_C_65_35,KDP_C_69_35_PULIVENDULA,15,Yadavakunta,331,,331,18205,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220150115,15,Yadavakunta
332,11_C_65_35,KDP_C_69_35_PULIVENDULA,16,Goturu,918,,918,50490,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220160115,16,Goturu
333,11_C_65_35,KDP_C_69_35_PULIVENDULA,17,Thimmapurampet,364,,364,20020,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,22,Thondur,11160220170115,17,Thimmapurampet
334,11_C_65_35,KDP_C_69_35_PULIVENDULA,Z,RF,,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_35,KDP_C_69_35_PULIVENDULA,11,YSR Kadapa,Z,RF,,Z,RF
335,11_C_65_36,KDP_C_69_36_LINGALA,6,Peddakudala,2320,,2320,127600,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190060106,6,Peddakudala
336,11_C_65_36,KDP_C_69_36_LINGALA,7,Lingala,2509,,2509,137995,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190070108,7,Lingala
337,11_C_65_36,KDP_C_69_36_LINGALA,9,Murarichintala,2041,,2041,112255,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190090110,9,Murarichintala
338,11_C_65_36,KDP_C_69_36_LINGALA,10,Gunakanapalli,1273,,1273,70015,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190100111,10,Gunakanapalli
339,11_C_65_36,KDP_C_69_36_LINGALA,11,Ramatnutalapalli,871,,871,47905,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190110112,11,Ramatnutalapalli
340,11_C_65_36,KDP_C_69_36_LINGALA,12,Chinnakudala,788,,788,43340,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190120112,12,Chinnakudala
341,11_C_65_36,KDP_C_69_36_LINGALA,13,Narasimharaopalli,10,,10,550,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190130111,13,Narasimharaopalli
342,11_C_65_36,KDP_C_69_36_LINGALA,14,Vadlavaripalli,220,,220,12100,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190140113,14,Vadlavaripalli
343,11_C_65_36,KDP_C_69_36_LINGALA,15,Ippatla,1496,,1496,82280,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190150113,15,Ippatla
344,11_C_65_36,KDP_C_69_36_LINGALA,16,Herojipuram,49,,49,2695,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,19,Lingala,11160190160113,16,Herojipuram
345,11_C_65_36,KDP_C_69_36_LINGALA,1,Korrapadu,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200010101,1,Korrapadu
346,11_C_65_36,KDP_C_69_36_LINGALA,2,Venkatampalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200020102,2,Venkatampalli
347,11_C_65_36,KDP_C_69_36_LINGALA,4,Ragimanupalli,1220,,1220,67100,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200040103,4,Ragimanupalli
348,11_C_65_36,KDP_C_69_36_LINGALA,5,Rachamarripalli,285,,285,15675,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200050103,5,Rachamarripalli
349,11_C_65_36,KDP_C_69_36_LINGALA,9,Peddarangapuram,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200090102,9,Peddarangapuram
350,11_C_65_36,KDP_C_69_36_LINGALA,10,Chinnarangapuram,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200100101,10,Chinnarangapuram
351,11_C_65_36,KDP_C_69_36_LINGALA,11,Brahmanapalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,20,Pulivendula,11160200110106,11,Brahmanapalli
352,11_C_65_36,KDP_C_69_36_LINGALA,7,Inagalur,1997,,1997,109835,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,22,Thondur,11160220070108,7,Inagalur
353,11_C_65_36,KDP_C_69_36_LINGALA,Z,RF,,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_36,KDP_C_69_36_LINGALA,11,YSR Kadapa,Z,RF,,Z,RF
354,11_C_65_37,KDP_C_69_37_KONAMPALLI,17,Ambakapalli,1445,,1445,79475,,,PENNA,69_Papaghni,Mogameru,11_C_65_37,KDP_C_69_37_KONAMPALLI,11,YSR Kadapa,19,Lingala,11160190170114,17,Ambakapalli
355,11_C_65_37,KDP_C_69_37_KONAMPALLI,12,Errapalli,8821,,8821,485155,,,PENNA,69_Papaghni,Mogameru,11_C_65_37,KDP_C_69_37_KONAMPALLI,11,YSR Kadapa,20,Pulivendula,11160200120107,12,Errapalli
356,11_C_65_37,KDP_C_69_37_KONAMPALLI,13,Yerragudipalli,0,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_37,KDP_C_69_37_KONAMPALLI,11,YSR Kadapa,20,Pulivendula,11160200130109,13,Yerragudipalli
357,11_C_65_37,KDP_C_69_37_KONAMPALLI,20,Konampalli,642,,642,35310,,,PENNA,69_Papaghni,Mogameru,11_C_65_37,KDP_C_69_37_KONAMPALLI,11,YSR Kadapa,20,Pulivendula,11160200200113,20,Konampalli
358,11_C_65_37,KDP_C_69_37_KONAMPALLI,Z,RF,,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_37,KDP_C_69_37_KONAMPALLI,11,YSR Kadapa,Z,RF,,Z,RF
359,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,20,Balapanuru,5119,,5119,281545,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,18,Simhadripuram,11160180200119,20,Balapanuru
360,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,3,Bonala,2641,,2641,145255,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,19,Lingala,11160190030103,3,Bonala
361,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,4,Kamasamudram,2265,,2265,124575,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,19,Lingala,11160190040104,4,Kamasamudram
362,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,5,Dondlavagu,1006,,1006,55330,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,19,Lingala,11160190050105,5,Dondlavagu
363,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,8,Lopatlanutala,966,,966,53130,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,19,Lingala,11160190080109,8,Lopatlanutala
364,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,3,Rayalapuram,165,,165,9075,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,20,Pulivendula,11160200030103,3,Rayalapuram
365,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,8,Thelluru,1101,,1101,60555,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,22,Thondur,11160220080109,8,Thelluru
366,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,9,Maduru,1262,,1262,69410,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,22,Thondur,11160220090110,9,Maduru
367,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,Z,RF,,,0,0,,,PENNA,69_Papaghni,Mogameru,11_C_65_38,KDP_C_69_38_KAMASAMUDRAM,11,YSR Kadapa,Z,RF,,Z,RF
368,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,3,Nandyalampalli,,605,605,33275,,,PENNA,69_Papaghni,Mogameru,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,11,YSR Kadapa,18,Simhadripuram,11160180030103,3,Nandyalampalli
369,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,5,Jangamreddypalli,,533,533,29315,,,PENNA,69_Papaghni,Mogameru,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,11,YSR Kadapa,18,Simhadripuram,11160180050104,5,Jangamreddypalli
370,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,6,Theliki,,356,356,19580,,,PENNA,69_Papaghni,Mogameru,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,11,YSR Kadapa,18,Simhadripuram,11160180060104,6,Theliki
371,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,7,Muddulapaya,,330,330,18150,,,PENNA,69_Papaghni,Mogameru,11_C_65_39,KDP_C_69_39_SIMHADRIPURAM,11,YSR Kadapa,18,Simhadripuram,11160180070105,7,Muddulapaya
