,,,,Irrigated with surface water,,,,,,,,,,,,,,,,,,,,,,,
S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,,,,,,,,,,,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,,,,,,,,,,,,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,,,,,,,,,,,,
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,0,0,0,0,,,,,,,,,,,,,,,,,,,,
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,0,0,0,0,,,,,,,,,,,,,,,,,,,,
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,0,0,0,23,,,,,,,,,,,,,,,,,,,,
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,0,0,0,0,,,,,,,,,,,,,,,,,,,,
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,0,0,0,0,,,,,,,,,,,,,,,,,,,,
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,0,0,0,0,,,,,,,,,,,,,,,,,,,,
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,0,0,0,0,,,,,,,,,,,,,,,,,,,,
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,0,0,0,0,,,,,,,,,,,,,,,,,,,,
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,0,0,0,0,,,,,,,,,,,,,,,,,,,,
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,0,0,0,0,,,,,,,,,,,,,,,,,,,,
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,0,0,0,0,,,,,,,,,,,,,,,,,,,,
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,0,0,0,0,,,,,,,,,,,,,,,,,,,,
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,0,0,0,0,,,,,,,,,,,,,,,,,,,,
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,0,0,0,0,,,,,,,,,,,,,,,,,,,,
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,0,0,0,0,,,,,,,,,,,,,,,,,,,,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,0,0,0,0,,,,,,,,,,,,,,,,,,,,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,0,0,0,0,,,,,,,,,,,,,,,,,,,,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,0,0,0,0,,,,,,,,,,,,,,,,,,,,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,0,0,0,0,,,,,,,,,,,,,,,,,,,,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,0,0,0,0,,,,,,,,,,,,,,,,,,,,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,0,0,0,0,,,,,,,,,,,,,,,,,,,,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,0,0,0,0,,,,,,,,,,,,,,,,,,,,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,0,0,0,0,,,,,,,,,,,,,,,,,,,,
