Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
49,11_C_65_05,KDP_C_65_05_Potladurthi,Yerraguntla,1378,0,,,,1378,,0,1378,0,,,
50,11_C_65_05,KDP_C_65_05_Potladurthi,Kokatam,2389,2389,,,2389,0,,0,,0,,,
51,11_C_65_05,KDP_C_65_05_Potladurthi,Sambaturu,821,821,,,821,0,,0,,0,,,
52,11_C_65_08,KDP_C_65_08_Sidhout,Dumpalagattu,803,803,,,803,0,,,,0,0,,
53,11_C_65_08,KDP_C_65_08_Sidhout,Chemullapalli,1471,1471,,,1471,0,,,,0,,,
54,11_C_65_08,KDP_C_65_08_Sidhout,Chennamukkapalli,1159,1159,,,1159,0,,,,0,,,
55,11_C_65_08,KDP_C_65_08_Sidhout,Doulathapuram,330,330,,,330,0,,,,0,,,
56,11_C_65_08,KDP_C_65_08_Sidhout,Bayanapalli,281,281,,,281,0,,,,0,,,
57,11_C_65_08,KDP_C_65_08_Sidhout,Kanuparthi,2853,2853,,,2853,0,,,,0,,,
58,11_C_65_08,KDP_C_65_08_Sidhout,Ponnavolu,572,0,,,,572,,,572,0,,,
59,11_C_65_08,KDP_C_65_08_Sidhout,Jyothi,4564,0,,,,4564,,,4564,0,,,
60,11_C_65_08,KDP_C_65_08_Sidhout,Vonthatipalli,602,0,,,,602,,,602,0,,,
61,11_C_65_08,KDP_C_65_08_Sidhout,S.Rajampet,1170,0,,,,120,1050,,1170,0,,,
62,11_C_65_08,KDP_C_65_08_Sidhout,Sidhout,743,0,,,,743,,,743,0,,,
63,11_C_65_08,KDP_C_65_08_Sidhout,Jangalapalli,3482,0,,,,3482,,,3482,0,,,
64,11_C_65_08,KDP_C_65_08_Sidhout,Velugupalli,720,0,,,,720,,,720,0,,,
65,11_C_65_08,KDP_C_65_08_Sidhout,Rf,7216,0,,,,1828,5388,,7216,0,,,
66,11_C_65_09,KDP_C_65_09_Khajipet,Mittamanipalli,3414,3414,,,3414,0,,,,0,0,,
