,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
66,11_C_65_09,KDP_C_65_09_Khajipet,Mittamanipalli,5,0,452,532,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
67,11_C_65_09,KDP_C_65_09_Khajipet,Settivaripalli,42,0,242,685,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
68,11_C_65_09,KDP_C_65_09_Khajipet,Nandyalampet,80,0,424,460,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
69,11_C_65_09,KDP_C_65_09_Khajipet,Somayajulapalli,6,5,153,77,,,,,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
70,11_C_65_09,KDP_C_65_09_Khajipet,Annaluru,52,0,152,125,,,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,90,,,,,,,,
71,11_C_65_09,KDP_C_65_09_Khajipet,Sivapuram,18,16,248,115,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,142,,,,,,,,
72,11_C_65_09,KDP_C_65_09_Khajipet,S.Mydukur,52,20,177,77,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,496,,,,,,,,
73,11_C_65_09,KDP_C_65_09_Khajipet,Bhumayapalli,60,12,148,366,,,,,,,,,0,0,0,0,,,,,,,,,0,22,0,182,,,,,,,,
74,11_C_65_09,KDP_C_65_09_Khajipet,Buddayapalli,12,16,1,20,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
75,11_C_65_09,KDP_C_65_09_Khajipet,Pulluru,7,26,13,52,,,,,,,,,0,0,0,0,,,,,,,,,0,22,0,8,,,,,,,,
76,11_C_65_09,KDP_C_65_09_Khajipet,Nagasanipalli,8,0,120,91,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
77,11_C_65_09,KDP_C_65_09_Khajipet,Machupalli,4,0,139,2,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
78,11_C_65_09,KDP_C_65_09_Khajipet,Pathuru,24,4,160,140,,,,,,,,,0,0,0,0,,,,,,,,,0,16,0,28,,,,,,,,
79,11_C_65_09,KDP_C_65_09_Khajipet,K.Sunkesula,48,12,52,268,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,60,,,,,,,,
80,11_C_65_09,KDP_C_65_09_Khajipet,Tudumuladinne,10,0,67,248,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
81,11_C_65_09,KDP_C_65_09_Khajipet,Kommaluru,40,0,28,178,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
82,11_C_65_09,KDP_C_65_09_Khajipet,Thavvaripalli,1,0,94,73,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
83,11_C_65_09,KDP_C_65_09_Khajipet,Ravulapalli,2,39,58,14,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
84,11_C_65_09,KDP_C_65_09_Khajipet,Kotlur,120,0,206,160,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,140,,,,,,,,
85,11_C_65_09,KDP_C_65_09_Khajipet,RF,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
86,11_C_65_11,KDP_C_65_11_CHENNURU,Thollaganganapalli,0,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
87,11_C_65_11,KDP_C_65_11_CHENNURU,Yadavapuram,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
88,11_C_65_11,KDP_C_65_11_CHENNURU,Kokkarayapalli,0,0,2,8,,,,,,,,,0,0,0,0,,,,,,,,,7,16,3,18,,,,,,,,
89,11_C_65_11,KDP_C_65_11_CHENNURU,Chennuru,8,0,27,48,,,,,,,0,,0,0,0,0,,,,,,,,,48,7,22,82,,,,,,,,
90,11_C_65_11,KDP_C_65_11_CHENNURU,Nazeerbeigpalli,16,0,18,60,,,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,
91,11_C_65_11,KDP_C_65_11_CHENNURU,Gurrampadu,50,0,24,382,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
92,11_C_65_11,KDP_C_65_11_CHENNURU,Ramanapalli,40,0,17,64,,,,,,,,,0,0,0,0,,,,,,,,,64,0,3,45,,,,,,,,
93,11_C_65_11,KDP_C_65_11_CHENNURU,Upparapalli,2,0,40,79,,,,,,,,,0,0,0,0,,,,,,,,,4,0,0,225,,,,,,,,
94,11_C_65_11,KDP_C_65_11_CHENNURU,Dugganapalli,10,0,20,65,,,,,,,,,0,0,0,0,,,,,,,,,10,0,0,165,,,,,,,,
95,11_C_65_11,KDP_C_65_11_CHENNURU,Chinnamachupalli,6,0,0,333,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,170,,,,,,,,
96,11_C_65_11,KDP_C_65_11_CHENNURU,Rudrabharatipet,0,0,0,1,,,,,,,,,1,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
97,11_C_65_11,KDP_C_65_11_CHENNURU,Rachinayanapalli,0,0,2,168,,,,,,,,,0,0,0,0,,,,,,,,,42,0,0,0,,,,,,,,
98,11_C_65_11,KDP_C_65_11_CHENNURU,Mundlapalli,1,0,3,279,,,,,,,,,0,0,0,0,,,,,,,,,4,0,0,0,,,,,,,,
99,11_C_65_11,KDP_C_65_11_CHENNURU,Kopparthi,6,0,70,70,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
100,11_C_65_11,KDP_C_65_11_CHENNURU,Tadigotla,12,0,10,74,,,,,,,,,0,0,0,0,,,,,,,,,10,0,0,0,,,,,,,,
101,11_C_65_11,KDP_C_65_11_CHENNURU,Royalapanthulapalli,6,0,0,6,,,,,,,,,0,0,0,0,,,,,,,,,2,0,0,0,,,,,,,,
102,11_C_65_11,KDP_C_65_11_CHENNURU,T.Ramachandrapuram,0,0,2,4,,,,,,,,,0,0,0,0,,,,,,,,,12,0,0,0,,,,,,,,
103,11_C_65_11,KDP_C_65_11_CHENNURU,Krishnapuram,6,0,0,12,,,,,,,,,0,0,0,0,,,,,,,,,3,0,0,0,,,,,,,,
104,11_C_65_11,KDP_C_65_11_CHENNURU,Pabbapuram,,,,,2,0,14,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
105,11_C_65_11,KDP_C_65_11_CHENNURU,Papasahebpet,0,0,9,0,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
106,11_C_65_11,KDP_C_65_11_CHENNURU,Cherlopalli,0,0,0,0,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
107,11_C_65_11,KDP_C_65_11_CHENNURU,Balupalli,0,0,40,32,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
108,11_C_65_11,KDP_C_65_11_CHENNURU,K.Ramachandrapuram,,,,,0,0,4,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
109,11_C_65_11,KDP_C_65_11_CHENNURU,Kammavaripalli,,,,,4,0,100,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,11_C_65_11,KDP_C_65_11_CHENNURU,Apparajupalli,0,0,80,52,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
111,11_C_65_11,KDP_C_65_11_CHENNURU,Ganganapalli,,,,,8,0,202,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,11_C_65_11,KDP_C_65_11_CHENNURU,Tippireddypalli,,,,,16,0,233,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,11_C_65_11,KDP_C_65_11_CHENNURU,K.Giriyampalli,,,,,4,0,60,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,11_C_65_12,KDP_C_65_12_KADAPA,Guduru,0,0,4,27,,,,,,,,,0,0,0,0,,,,,,,,,36,11,0,0,,,,,,,,
115,11_C_65_12,KDP_C_65_12_KADAPA,Pathacuddapah,88,0,13,144,,,,,,,,,0,0,0,0,,,,,,,,,120,128,0,0,,,,,,,,
116,11_C_65_12,KDP_C_65_12_KADAPA,Ukkayapalli,80,0,52,201,,,,,,,,,0,0,0,0,,,,,,,,,60,40,0,0,,,,,,,,
117,11_C_65_12,KDP_C_65_12_KADAPA,Chemmumiyapet,0,0,0,20,,,,,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
118,11_C_65_12,KDP_C_65_12_KADAPA,Akkyapalli,0,0,0,0,,,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,
119,11_C_65_12,KDP_C_65_12_KADAPA,Palempalli,0,0,1,72,,,,,,,,,0,0,0,0,,,,,,,,,80,60,0,0,,,,,,,,
120,11_C_65_12,KDP_C_65_12_KADAPA,Chinnachowk,8,0,10,10,,,,,,,,,0,0,0,0,,,,,,,,,0,2,0,0,,,,,,,,
121,11_C_65_12,KDP_C_65_12_KADAPA,Ramarajupalli,0,0,6,1,,,,,,,,,0,0,0,0,,,,,,,,,20,0,0,0,,,,,,,,
122,11_C_65_12,KDP_C_65_12_KADAPA,Nagarajupet,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
123,11_C_65_12,KDP_C_65_12_KADAPA,Cuddapah,0,0,0,40,,,,,,,,,0,0,0,0,,,,,,,,,64,2,0,0,,,,,,,,
124,11_C_65_12,KDP_C_65_12_KADAPA,Putlampalli,12,0,3,10,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
125,11_C_65_12,KDP_C_65_12_KADAPA,Chintakommadinne,22,0,360,177,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
126,11_C_65_12,KDP_C_65_12_KADAPA,Utukuru,4,0,75,49,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
127,11_C_65_12,KDP_C_65_12_KADAPA,Viswanathapuram,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
128,11_C_65_12,KDP_C_65_12_KADAPA,Mamillapalli,4,0,64,43,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
129,11_C_65_12,KDP_C_65_12_KADAPA,Buggalapalli,4,0,162,29,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
130,11_C_65_12,KDP_C_65_12_KADAPA,Rudraiahgaripalli,0,0,109,26,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
131,11_C_65_12,KDP_C_65_12_KADAPA,Buggaletipalli,5,0,17,20,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
132,11_C_65_12,KDP_C_65_12_KADAPA,Kolumulapalli,6,0,243,88,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
133,11_C_65_12,KDP_C_65_12_KADAPA,Jamalpalli,0,0,22,30,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
134,11_C_65_12,KDP_C_65_12_KADAPA,Chinnakampalli,3,0,102,84,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
135,11_C_65_12,KDP_C_65_12_KADAPA,Peddakampalli,0,0,20,18,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
136,11_C_65_12,KDP_C_65_12_KADAPA,Ippenta,33,0,429,382,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
137,11_C_65_12,KDP_C_65_12_KADAPA,RF,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
138,11_C_65_16,KDP_C_67_16_KONDAPURAM,Kondapuram,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
139,11_C_65_16,KDP_C_67_16_KONDAPURAM,Obannapet,0,0,49,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
140,11_C_65_16,KDP_C_67_16_KONDAPURAM,Anantapuram,80,0,36,112,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
141,11_C_65_16,KDP_C_67_16_KONDAPURAM,Penujuvvi,80,0,68,4,,,,,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
142,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pottipadu,28,0,7,0,,,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,
143,11_C_65_16,KDP_C_67_16_KONDAPURAM,Donkupalli,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
144,11_C_65_16,KDP_C_67_16_KONDAPURAM,S.Timmapuram,6,0,72,5,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
145,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lavanur,,,,,10,0,106,56,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
146,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chinnamanenipalli,,,,,0,0,4,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
147,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lingamanenipalli,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
148,11_C_65_16,KDP_C_67_16_KONDAPURAM,Venkaiahkalva,12,0,2,16,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
149,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pydipalem,0,0,15,5,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
