,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
65,11_C_65_08,KDP_C_65_08_Sidhout,Rf,,,,,,,0,,,
66,11_C_65_09,KDP_C_65_09_Khajipet,Mittamanipalli,3,4,,,,,7,,,
67,11_C_65_09,KDP_C_65_09_Khajipet,Settivaripalli,7,3,,,,,10,,,
68,11_C_65_09,KDP_C_65_09_Khajipet,Nandyalampet,16,13,,,,,29,,,
69,11_C_65_09,KDP_C_65_09_Khajipet,Somayajulapalli,25,2,,,,,27,,,
70,11_C_65_09,KDP_C_65_09_Khajipet,Annaluru,0,5,,,,,5,,,
71,11_C_65_09,KDP_C_65_09_Khajipet,Sivapuram,17,0,,,,,17,,,
72,11_C_65_09,KDP_C_65_09_Khajipet,S.Mydukur,6,5,,,,,11,,,
73,11_C_65_09,KDP_C_65_09_Khajipet,Bhumayapalli,8,6,,,,,14,,,
74,11_C_65_09,KDP_C_65_09_Khajipet,Buddayapalli,31,0,,,,,31,,,
75,11_C_65_09,KDP_C_65_09_Khajipet,Pulluru,3,5,,,,,8,,,
76,11_C_65_09,KDP_C_65_09_Khajipet,Nagasanipalli,6,6,,,,,12,,,
77,11_C_65_09,KDP_C_65_09_Khajipet,Machupalli,44,0,,,,,44,,,
78,11_C_65_09,KDP_C_65_09_Khajipet,Pathuru,64,9,,,,,73,,,
79,11_C_65_09,KDP_C_65_09_Khajipet,K.Sunkesula,37,7,,,,,44,,,
80,11_C_65_09,KDP_C_65_09_Khajipet,Tudumuladinne,9,2,,,,,11,,,
81,11_C_65_09,KDP_C_65_09_Khajipet,Kommaluru,6,1,,,,,7,,,
82,11_C_65_09,KDP_C_65_09_Khajipet,Thavvaripalli,44,1,,,,,45,,,
83,11_C_65_09,KDP_C_65_09_Khajipet,Ravulapalli,10,1,,,,,11,,,
84,11_C_65_09,KDP_C_65_09_Khajipet,Kotlur,9,5,,,,,14,,,
85,11_C_65_09,KDP_C_65_09_Khajipet,RF,2,,2,,,,4,,,
86,11_C_65_11,KDP_C_65_11_CHENNURU,Thollaganganapalli,10,1,,,,,11,,,
87,11_C_65_11,KDP_C_65_11_CHENNURU,Yadavapuram,2,0,,,,,2,,,
88,11_C_65_11,KDP_C_65_11_CHENNURU,Kokkarayapalli,64,12,,,,,76,,,
89,11_C_65_11,KDP_C_65_11_CHENNURU,Chennuru,5,1,,,,,6,,,
90,11_C_65_11,KDP_C_65_11_CHENNURU,Nazeerbeigpalli,35,6,,,,,41,,,
91,11_C_65_11,KDP_C_65_11_CHENNURU,Gurrampadu,6,1,,,,,7,,,
92,11_C_65_11,KDP_C_65_11_CHENNURU,Ramanapalli,10,1,,,,,11,,,
93,11_C_65_11,KDP_C_65_11_CHENNURU,Upparapalli,26,1,,,,,27,,,
94,11_C_65_11,KDP_C_65_11_CHENNURU,Dugganapalli,18,1,,,,,19,,,
95,11_C_65_11,KDP_C_65_11_CHENNURU,Chinnamachupalli,7,2,,,,,9,,,
96,11_C_65_11,KDP_C_65_11_CHENNURU,Rudrabharatipet,1,2,,,,,3,,,
97,11_C_65_11,KDP_C_65_11_CHENNURU,Rachinayanapalli,1,0,,,,,1,,,
98,11_C_65_11,KDP_C_65_11_CHENNURU,Mundlapalli,5,2,,,,,7,,,
99,11_C_65_11,KDP_C_65_11_CHENNURU,Kopparthi,48,8,,,,,56,,,
100,11_C_65_11,KDP_C_65_11_CHENNURU,Tadigotla,18,2,,,,,20,,,
101,11_C_65_11,KDP_C_65_11_CHENNURU,Royalapanthulapalli,3,1,,,,,4,,,
102,11_C_65_11,KDP_C_65_11_CHENNURU,T.Ramachandrapuram,1,0,,,,,1,,,
103,11_C_65_11,KDP_C_65_11_CHENNURU,Krishnapuram,5,1,,,,,6,,,
104,11_C_65_11,KDP_C_65_11_CHENNURU,Pabbapuram,,,7,2,,,9,,,
