,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
1,"11_C_65_03","KDP_C_65_03_J.Madugu","Mylavaram",,,,,,,,,0,6,,,,,,,,,,,
2,"11_C_65_03","KDP_C_65_03_J.Madugu","Khadarabad",,,,,,,,,0,11,,,,,,,,,,,
3,"11_C_65_03","KDP_C_65_03_J.Madugu","Lingapuram",,,,,,,,,0,11,,,,,,,,,,,
4,"11_C_65_03","KDP_C_65_03_J.Madugu","Nelanoothala",,,,,,,,,0,10,,,,,,,,,,,
5,"11_C_65_03","KDP_C_65_03_J.Madugu","Rangasayapuram",,,,,,,,,0,0,,,,22,,,,,,,
6,"11_C_65_03","KDP_C_65_03_J.Madugu","Chowduru",,0,0,,,,97,,,,,,,,,,,,,,
7,"11_C_65_03","KDP_C_65_03_J.Madugu","Peddasettipalli",,0,0,,,,108,,,,,,,,,,,,,,
8,"11_C_65_03","KDP_C_65_03_J.Madugu","Dorasanipalli",,,,,,,,,0,0,,,,81,,,,,,,
9,"11_C_65_03","KDP_C_65_03_J.Madugu","Kallur",,0,0,,,,46,,0,0,,,,41,,,,,,,
10,"11_C_65_03","KDP_C_65_03_J.Madugu","Regulapalli",,,,,,,,,0,0,,,,189,,,,,,,
11,"11_C_65_03","KDP_C_65_03_J.Madugu","Nanganurupalli",,,,,,,,,,,,,,,,,,,,,
12,"11_C_65_03","KDP_C_65_03_J.Madugu","Kothapalli",,0,0,,,,123,,,,,,,,,,,,,,
13,"11_C_65_03","KDP_C_65_03_J.Madugu","Modameedipalli",,0,0,,,,28,,,,,,,,,,,,,,
14,"11_C_65_03","KDP_C_65_03_J.Madugu","Rameswaram",,0,0,,,,54,,,,,,,,,,,,,,
15,"11_C_65_03","KDP_C_65_03_J.Madugu","Jammalamadugu",,28,0,,,,84,,,,,,,,,,,,,,
16,"11_C_65_03","KDP_C_65_03_J.Madugu","Kanneluru",,0,0,,,,0,,,,,,,,,,,,,,
17,"11_C_65_03","KDP_C_65_03_J.Madugu","Moragudi",,28,31,,,,,,,,,,,,,,,,,,
18,"11_C_65_03","KDP_C_65_03_J.Madugu","Goriganuru",,0,23,,,,53,,,,,,,,,,,,,,
19,"11_C_65_03","KDP_C_65_03_J.Madugu","Dharmapuram",,12,0,,,,17,,,,,,,,,,,,,,
20,"11_C_65_03","KDP_C_65_03_J.Madugu","Danavulapadu",,4,42,,,,32,,,,,,,,,,,,,,
21,"11_C_65_03","KDP_C_65_03_J.Madugu","Devagudi",,0,53,,,,53,,,,,,,,,,,,,,
22,"11_C_65_03","KDP_C_65_03_J.Madugu","Purvapu Sugamanchupalle",,0,9,,,,6,,,,,,,,,,,,,,
23,"11_C_65_04","KDP_C_65_04_Gandikota","Gandluru",,,,,,,,,,0,0,0,0,77,,,,,,,
24,"11_C_65_04","KDP_C_65_04_Gandikota","Gudemcheruvu",,,,,,,,,,6,0,0,0,25,,,,,,,
25,"11_C_65_04","KDP_C_65_04_Gandikota","Ponnathota",,,0,0,0,0,62,,,,,,,,,,,,,,
26,"11_C_65_04","KDP_C_65_04_Gandikota","Diguvapatnam",,,,,,,,,,31,0,0,0,0,,,,,,,
27,"11_C_65_04","KDP_C_65_04_Gandikota","Gandikota",,,,,,,,,,4,0,0,0,0,,,,,,,
28,"11_C_65_04","KDP_C_65_04_Gandikota","Sanjeevapalle",,,,,,,,,0,56,0,0,0,0,,,,,,,
29,"11_C_65_04","KDP_C_65_04_Gandikota","Purvabommepalle",,,,,,,,,0,17,0,0,0,0,,,,,,,
30,"11_C_65_04","KDP_C_65_04_Gandikota","Vemaguntapalle",,,,,,,,,,11,0,0,0,0,,,,,,,
31,"11_C_65_04","KDP_C_65_04_Gandikota","Ambavaram",,,,,,,,,0,100,0,0,0,0,,,,,,,
32,"11_C_65_04","KDP_C_65_04_Gandikota","Sirigepalle",,,0,0,0,0,28,,,,,,,,,,,,,,
33,"11_C_65_04","KDP_C_65_04_Gandikota","Peddadandluru",,,0,0,0,0,77,,,,,,,,,,,,,,
34,"11_C_65_04","KDP_C_65_04_Gandikota","Sunnapurallapalle",,0,6,0,0,0,38,,,,,,,,,,,,,,
