,,7,"Command area",,,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
,"KDP_C_65_08_Sidhout","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_08_Sidhout","Filter Points",5714.285714,,30,80,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_09_Khajipet","DW",0,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_65_09_Khajipet","DW+PS/DCB",4285.714286,,30,30,4285.714286,,120,240,7142.857143,,120,240,4285.714286,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_09_Khajipet","BWs",7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,10714.28571,,40,80,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_09_Khajipet","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_09_Khajipet","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_09_Khajipet","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_09_Khajipet","Filter Points",7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_11_CHENNURU","DW",0,,40,90,571.4285714,,120,240,0,,120,240,0,,40,90,571.4285714,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_65_11_CHENNURU","DW+PS/DCB",4285.714286,,30,30,4285.714286,,120,240,0,,120,240,0,,40,90,4285.714286,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_11_CHENNURU","BWs",7857.142857,,40,90,4285.714286,,120,240,5714.285714,,120,240,10000,,40,75,4285.714286,,120,240,5714.285714,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_11_CHENNURU","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_11_CHENNURU","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_11_CHENNURU","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_11_CHENNURU","Filter Points",7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_12_KADAPA","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_65_12_KADAPA","DW+PS/DCB",0,,30,30,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_12_KADAPA","BWs",10714.28571,,40,90,5142.857143,,120,240,7142.857143,,120,240,10000,,40,75,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_12_KADAPA","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_12_KADAPA","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_65_12_KADAPA","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_65_12_KADAPA","Filter Points",7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_16_KONDAPURAM","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_67_16_KONDAPURAM","DW+PS/DCB",4285.714286,,30,30,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_16_KONDAPURAM","BWs",10714.28571,,55,80,5142.857143,,120,240,7142.857143,,120,240,12857.14286,,50,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_16_KONDAPURAM","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_16_KONDAPURAM","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_16_KONDAPURAM","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_67_16_KONDAPURAM","Filter Points",7142.857143,,40,75,0,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_17_ETURU","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_67_17_ETURU","DW+PS/DCB",4285.714286,,30,30,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_17_ETURU","BWs",10714.28571,,55,80,5142.857143,,120,240,7142.857143,,120,240,12857.14286,,50,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_17_ETURU","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_17_ETURU","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_17_ETURU","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_67_17_ETURU","Filter Points",5714.285714,,40,75,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_18_PARNAPALLI","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_67_18_PARNAPALLI","DW+PS/DCB",7857.142857,,40,80,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_18_PARNAPALLI","BWs",12142.85714,,55,80,5142.857143,,120,240,7142.857143,,120,240,12857.14286,,50,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_18_PARNAPALLI","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_18_PARNAPALLI","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_67_18_PARNAPALLI","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_67_18_PARNAPALLI","Filter Points",9285.714286,,42,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_19_T.M.PATNAM","DW",0,,40,90,571.4285714,,120,240,0,,120,240,0,,40,90,571.4285714,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_68_19_T.M.PATNAM","DW+PS/DCB",4285.714286,,40,90,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_19_T.M.PATNAM","BWs",8571.428571,,40,90,5142.857143,,120,240,5714.285714,,120,240,8571.428571,,45,75,4000,,120,240,5714.285714,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_19_T.M.PATNAM","STW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_19_T.M.PATNAM","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_19_T.M.PATNAM","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_68_19_T.M.PATNAM","Filter Points",7142.857143,,40,90,5142.857143,,120,240,0,,120,240,6428.571429,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","DW+PS/DCB",0,,30,30,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","BWs",12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_68_20_DIGUVAKALVATALA","Filter Points",0,,40,90,0,,120,240,0,,120,240,0,,40,80,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","DW+PS/DCB",4285.714286,,30,30,4285.714286,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","BWs",12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_68_21_PEDDAMUDIUM","Filter Points",0,,40,90,0,,120,240,0,,120,240,0,,40,80,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_22_RAJUPALEM","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_68_22_RAJUPALEM","DW+PS/DCB",4285.714286,,30,30,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_22_RAJUPALEM","BWs",12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_22_RAJUPALEM","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_22_RAJUPALEM","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_22_RAJUPALEM","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_68_22_RAJUPALEM","Filter Points",7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_23_CHAPADU","DW",0,,40,90,571.4285714,,120,240,0,,120,240,0,,40,90,571.4285714,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_68_23_CHAPADU","DW+PS/DCB",4285.714286,,30,30,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_23_CHAPADU","BWs",9285.714286,,40,70,5142.857143,,120,240,7142.857143,,120,240,12142.85714,,50,80,4285.714286,,120,240,5714.285714,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_23_CHAPADU","STW",0,,40,90,0,,120,240,0,,120,240,0,,80,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_23_CHAPADU","MTW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_23_CHAPADU","Deep TW",0,,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KDP_C_68_23_CHAPADU","Filter Points",5714.285714,,40,70,5142.857143,,120,240,7142.857143,,120,240,6428.571429,,40,80,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_24_DUVVURU","DW",0,,40,90,857.1428571,,120,240,0,,120,240,0,,40,90,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KDP_C_68_24_DUVVURU","DW+PS/DCB",4285.714286,,30,30,0,,120,240,0,,120,240,4285.714286,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KDP_C_68_24_DUVVURU","BWs",9285.714286,,40,70,5142.857143,,120,240,7142.857143,,120,240,12142.85714,,50,80,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
