,,,,CA,NCA,PQA,,
,,,,Industrial,Industrial,Industrial,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,
1,11_C_65_03,KDP_C_65_03_J.Madugu,Mylavaram,,,2,2,
2,11_C_65_03,KDP_C_65_03_J.Madugu,Khadarabad,,,,0,
3,11_C_65_03,KDP_C_65_03_J.Madugu,Lingapuram,,,,0,
4,11_C_65_03,KDP_C_65_03_J.Madugu,Nelanoothala,,,,0,
5,11_C_65_03,KDP_C_65_03_J.Madugu,Rangasayapuram,,,4,4,
6,11_C_65_03,KDP_C_65_03_J.Madugu,Chowduru,,,,0,
7,11_C_65_03,KDP_C_65_03_J.Madugu,Peddasettipalli,,,,0,
8,11_C_65_03,KDP_C_65_03_J.Madugu,Dorasanipalli,,,3,3,
9,11_C_65_03,KDP_C_65_03_J.Madugu,Kallur,,,,0,
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,,,,0,
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,,,,0,
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,4,,,4,
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,6,,,6,
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,,,,0,
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,2,,,2,
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,2,,,2,
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,,,,0,
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,,,,0,
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,,,,0,
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,,,,0,
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,,,,0,
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,,,,0,
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,,,1,1,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,,,,0,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,,,,0,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,,,,0,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,,,,0,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,,,,0,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,,,,0,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,,,,0,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,,,,0,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,,,,0,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,,,,0,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,,,,0,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,,,,0,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,,,,0,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,,,,0,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,,,,0,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,,,,0,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,,,,0,
41,11_C_65_04,KDP_C_65_04_Gandikota,Mangapatnam,,,,0,
42,11_C_65_04,KDP_C_65_04_Gandikota,P.Gopalapuram,,,,0,
43,11_C_65_04,KDP_C_65_04_Gandikota,Chinnadandluru,15,,,15,
44,11_C_65_04,KDP_C_65_04_Gandikota,Illuru,,,,0,
45,11_C_65_04,KDP_C_65_04_Gandikota,RF,,,0,0,
46,11_C_65_05,KDP_C_65_05_Potladurthi,Potladurthi,5,,,5,
47,11_C_65_05,KDP_C_65_05_Potladurthi,Hanumangutti,,,,0,
48,11_C_65_05,KDP_C_65_05_Potladurthi,K.Vengammagaripalli,,,,0,
49,11_C_65_05,KDP_C_65_05_Potladurthi,Yerraguntla,,,12,12,
50,11_C_65_05,KDP_C_65_05_Potladurthi,Kokatam,,,,0,
51,11_C_65_05,KDP_C_65_05_Potladurthi,Sambaturu,,,,0,
52,11_C_65_08,KDP_C_65_08_Sidhout,Dumpalagattu,5,,,5,
53,11_C_65_08,KDP_C_65_08_Sidhout,Chemullapalli,6,,,6,
54,11_C_65_08,KDP_C_65_08_Sidhout,Chennamukkapalli,4,,,4,
55,11_C_65_08,KDP_C_65_08_Sidhout,Doulathapuram,,,,0,
56,11_C_65_08,KDP_C_65_08_Sidhout,Bayanapalli,,,,0,
57,11_C_65_08,KDP_C_65_08_Sidhout,Kanuparthi,,,,0,
58,11_C_65_08,KDP_C_65_08_Sidhout,Ponnavolu,,,,0,
59,11_C_65_08,KDP_C_65_08_Sidhout,Jyothi,,,,0,
60,11_C_65_08,KDP_C_65_08_Sidhout,Vonthatipalli,,,,0,
61,11_C_65_08,KDP_C_65_08_Sidhout,S.Rajampet,,,0,0,
62,11_C_65_08,KDP_C_65_08_Sidhout,Sidhout,,,,0,
63,11_C_65_08,KDP_C_65_08_Sidhout,Jangalapalli,,,,0,
64,11_C_65_08,KDP_C_65_08_Sidhout,Velugupalli,,,,0,
65,11_C_65_08,KDP_C_65_08_Sidhout,Rf,,,,0,
66,11_C_65_09,KDP_C_65_09_Khajipet,Mittamanipalli,,,,0,
