IWM_Village_Name,Location_ID
Allangiputtu,22544
Allapalle,15139
Allaparru,21876
Allapuram,21187
Allatam,18204
Allavaram-1,21198
Allena,26315
Alli Palem,18447
Allidoddi,21554
Alligudem,23846
Allimadugu,13374
Allimeraka,24951
Allinagaram,12367
Allipalle,19720
Allipoolagunta,17157
Allipudi,18908
Allipuram (Rural),14208
Allivara,22907
Alliveedu,20530
Allugundu,14978
Allukhola,25018
Allur-1,10842
Allur-2,11739
Allur-3,12529
Allur-4,13600
Allur-5,18579
Allurigedda,23726
Alluru Kotha Patnam,11813
Alluru-1,17635
Alluru-2,21392
Allurupadu,17548
Allurupeta,13468
Alluwada,24699
Althi,25051
Althurthi,14258
Althurupadu,15080
Alugolu,27706
Alugubilli,28137
Alugumallipadu,17820
Alugumanipalle,17407
Aluguru,23246
Alukurupalle,17136
Alur-1,11873
Alur-2,12955
Aluru,26801
Alurupadu,13986
Alvakonda,12487
Alwala,11018
Amadaguntla,11229
Amadagur-1,15516
Amadala,12253
Amadalavalasa-1,26298
Amadalavalasa-2,26869
Amadalavalasapeta,26895
Amadelu,22658
Amagondapalem,14857
Amakam,28268
Amakathadu,11641
Amalaguda,22236
Amalaguda-1,27663
Amalakudia,25255
Amalapadu,25224
Amalapuram (M),21060
Amalapuram (Rural),21025
Amalapuram-1,18735
Amallabandakota,16159
Amalladinne,13082
Amanam,28426
Amancherla,14341
Amani Jammala Madaka,17883
Amanichiruvella,13791
Amaniviswanathapuram,14380
Amaram,26528
Amarapuram-1,14779
Amaravalli,19887
Amaravaram,18751
Amaravathi-1,17801
Amaravathi-2,21291
Amaravati,24623
Amarayavalasa,27132
Amatam Ravivalasa,28349
Ambada,26322
Ambadipudi,17751
Ambakam,16755
Ambakapalle,14286
Ambakhandi,26560
Ambalapudi,15003
Ambalavalasa,27144
Ambapada,22196
Ambapada-1,22348
Ambapuram,10824
Ambapuram-1,11269
Ambapuram-2,11966
Ambapuram-3,14345
Ambapuram-4,17838
Ambarupeta,17658
Ambativalasa,27808
Ambavalli,25897
Ambavaram,11861
Ambavaram-1,12539
Ambavaram-2,13301
Ambavaram-3,14025
Ambeeru padu,22581
Ambeerupeta,26918
Amberpeta,20392
Amberupuram,28674
Ambikapalle Agraharam,20374
Ambili Mamidi,23288
Ambili Mamidi-1,23520
Ambodharapalle,17082
Ambugam,24850
Ambugambit,24877
Ambur,16189
AMBUSOLI,25202
Ameenapuram,21631
Ameenpalle,12372
Ameensahebpeta,21913
Amidala-1,13138
Amidalagondi,15098
Amilepalle,15999
Aminabada,18106
Aminabada-1,19027
Aminabada-2,19927
AMINSAHABPETA,24383
Amiti,24561
Amity,26523
Amjuru,20605
Ammacheruvu,15680
AmmagariDarakonda,23324
Ammagaripalle,16373
Ammagaripalle-1,16756
Ammana Brolu,11532
Ammani Gudi Padu,28829
Ammapalem,15285
Ammapalem-1,16046
Ammapalem-2,19688
Ammapalem-3,20002
Ammapeta,18740
Ammapeta-1,29010
Ammavari Palem,12792
Ammavaripatteda,16400
Ammavaripeta,15436
Ammavaripeta-1,17316
Ammavariputtuga,24655
Ammepalle,20168
Ammirekala,18798
Ammirekhala,19459
Ampalam,26821
Ampalam-1,27034
Ampapuram,21007
Ampavilli,26316
Ampili,26177
Ampolu,27180
Ampuram,24513
Ampuram-1,25608
Ampuru,22797
Amrutalinga Nagaram,26323
Amrutalingampeta,20967
Amrutapuram,28682
Amruthalur-1,18317
Amruthapuram,11923
Amudala,17048
Amudala Palle,11517
Amudalabanda,19272
Amudalachalaka,19978
Amudalapadu,14480
Amudalapalle,20611
Amudalapalle-1,21257
Amudalapalle-2,21572
Amudalapalli,28842
Amudalaputhur,17075
Amulur (South),14266
Amuru,22529
Anagallu,17065
Anagarlapalle,17394
Anagunta,16258
ANAKAPALLI (M),28786
ANAKAPALLI NARTH (M),28785
ANAKAPALLI SOUTH (M),28795
Anakarlapudi,11872
Anakavolu,15705
Anakoderu,21275
Anamanamur,11203
Anamanapudi,21283
Anandapuram-1,12452
Anandapuram-2,21964
Anandapuram-3,25551
Anandapuram-4,26491
Anandapuram-5,26722
Anandapuram-6,27041
Anandapuram-7,27611
Anandapuram-8,28513
Anandaraopeta,13098
Anantaiahgaripalle,14796
Anantapur (M),13596
Anantapur (Rural),13522
Anantapuram,13385
ANANTHA PADMANABHAPURAM,18854
Anantha Palle,11671
Anantha Sagaram,12310
Ananthagiri-1,18778
Ananthagiri-2,25845
Ananthagiri-3,27171
Ananthamadugu,14827
Ananthapadmanabha Puram,15849
Ananthapalle,20090
Ananthapuram,13420
Ananthapuram-1,13572
Ananthapuram-2,14435
Ananthapuram-3,14748
Ananthapuram-4,16136
Ananthapuram-5,17078
Ananthapuram-6,24813
ANANTHAPURAM-7,25106
Anantharajupeta,15209
Anantharajupuram,13357
Anantharajupuram-1,14812
Anantharam,19310
Ananthasagaram-1,13853
Ananthasagaram-2,20759
Ananthasamudram,14994
Ananthavaram-1,11090
Ananthavaram-2,12094
Ananthavaram-3,13541
Ananthavaram-4,17846
Ananthavaram-5,17894
Ananthavaram-6,18438
Ananthavaram-7,20975
Ananthavaram-8,21719
Ananthavaram-9,28402
Ananthavarappadu,18185
Anaparthy,20178
Anarbha,22890
Anasabhadra,25419
Anathabotlavari Khandrika,13804
Anavaram,26374
Anchinayanikuppam,17333
Andagundala,16273
Andalamala,15191
Andalapalli,21907
Andaluru,20979
Andanapalli,23344
Andargisingi,23304
Andhavaram,26556
Andiba,22860
andlamputtu,22180
Andra,27136
Andrangi,20525
Andravara,22666
Andugulapadu,18429
Andukuru,17868
Anegottam,15807
Anemadugu,12998
Anepudi (Nadimi Khandrika),15798
Angalakuduru,18172
Angallu,16240
Angalur,18240
Angaluru,21541
Anganamalakothuru,17337
Angara-1,20497
Angarasingi,25245
Angaskal,11733
Angeri Cheruvu,16208
Anguluru,19552
Anguru,25210
Anguru-1,26275
Anigandlapadu,17567
Aniganidoddi,12606
