 VSP_F_13_AKP-2_P GANTYADA-MB                 , 7ccbf8d9-9c6b-4c37-a0ec-a9bda3845302 
 VSP_F_14_SARADA-2_PEDAKOTA_AGENCY-MB         , 2dc86bc4-53eb-4941-801a-de578763e6f4 
 VSP_F_14_ SARADA-3_GANGAVARAM-MB             , bec9c17d-2ee3-4172-bc6e-9e2c143e2802 
 VSP_F_14_ SARADA-4_DEVARAPALLI-MB            , 8b76b169-d8b7-4d92-a500-18649673ebd0 
 VSP_F_14_SARADA-10_ CHEEDIKADA-MB            , d397e1bd-de78-4355-ad27-845d9c1d14b9 
 VSP_F_14_SARADA-11_VMADUGULA-MB              , 48f06b74-2b22-4223-91a6-03fbcaf199a7 
 VSP_F_14_ SARADA-12_GADIRAI-MB               , b93f301d-997d-472a-a619-c044b44acc57 
 VSP_F_14_SARADA-5_KOTAPADU-MB                , 2d1f81e3-96a9-454e-8b4d-0a3029119594 
 VSP_F_14_SARADA-9_BUTCHAYYAPETA-MB           , e6b81a92-a9ed-4f03-b898-73bc5a08c039 
 VSP_F_14_SARADA-8_KASIMKOTA-MB               , 47f2862a-47fa-4199-88f8-9f9a0ae5f8d1 
 VSP_F_SARADA-6_ATCHUTAPURAM-MB               , b298f337-ebf1-421c-b030-a76d274effb4 
 VSP_F_14_SARADA-7_ELAMANCHILI-MB             , 63d3710b-9348-4987-b119-fb2efa3eaff1 
 VSP_F_15_VARAHA-1_ROLUGUNTA-MB               , 75511ae1-d238-4cf0-8742-7258f9e79f57 
 VSP_F_15_VARAHA-2_NARSIPATNAM-MB             , 7f2f439f-a241-459b-b9b0-6b093a9bc09f 
 VSP_F_15_VARAHA-SARPA_RAVIKAMATAM-MB         , a9d7ff60-8731-4231-9889-2ad4bfc89709 
 VSP_F_15_VARAHA-3_S.R.VARAM-MB               , 1412d2d7-e13f-4f12-ae76-c2956db567a8 
 VSP_F_16_TANDAVA-7_RAMARAJUPALEM_ AGENCY-MB  , e1dce136-6568-4595-8515-d192f77a07c4 
 VSP_F_16_TANDAVA-6_GOLUGONDA-MB              , 09e7b6c7-5f3f-49f0-a650-f0345d0beb21 
 VSP_F_16_TANDAVA-4_K.AGRAHARAM-MB            , 0703d6bf-b785-4cfa-9bef-a05ad16318bc 
 VSP_F_16_ TANDAVA-3_NATAVARAM-MB             , 05def6ce-bf37-45a2-a062-e624caf44306 
 VSP_F_16_TANDAVA-5_GOLUGONDAPETA-MB          , 373cde99-b817-4e7a-9e3e-58b9453a8aa0 
