,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
45,KU_D_TB_Devanakonda(a),Granite,3,11,,,224.89,0,0,0,0,213.06,11.83,0,224.89,0,0,0,0
46,KU_D_TB_Devanakonda(b),Granites,3,5,,,291.82,81.48,0,0,81.48,193.34,17,27,210.34,0,0,0,0
47,KU_D_TB_Dhone (b),granites,3,11,,,318.61,0,0,0,0,304.52,14.09,35.58,318.61,0,0,0,0
48,KU_D_TB_Dhone(a),granites,3,11,,,170.87,0,0,0,0,166.38,4.49,3.44,170.87,0,0,0,0
49,KU_D_TB_GUDURU_C,Granite gneiss ,4,11,,,143.4556,77.74,0,0,77.74,64.22,1.5,0,65.72,0,0,0,0
50,KU_D_TB_HOLAGUNDA_C,Granite-gneiss,2,12,,,234.36,84.64,0,0,84.64,147.17,2.55,0,149.72,0,0,0.5,0.5
51,Ku_D_TB_Kalluru(a),Schist,3,8,,,219.98,0,0,0,0,224.7,16.47,0.62,220.31,0,0,0,0
52,KU_D_TB_KALLURU(B),Granite-gneiss,3,11,,,114.6,4.85,0,0,4.85,108.25,1.5,0,109.75,0,0,0,0
53,Ku_D_Tb_Kodumuru(a),Granites,3,11,,,160.42,43.8,0.2,0,44,113.32,3.1,2.5,116.42,0,0,0,0
54,KU_D_TB_KOWTHALAM,Granite-gneiss,3,11,,,181.25,131.16,0,0,131.16,47.09,3,2,50.09,0,0,0,0
55,KU_D_TB_KOWTHALAM(A)_C,Granite-gneiss,3,10,,,248.86,197.69,0.5,0.3,198.19,49.92,0.75,0,50.67,0,0,0,0
56,KU_D_TB_Krishnagiri(a),granite,3,11,,,236.85,0,0,0,0,217.09,19.76,12.93,236.85,0,0,0,0
57,Ku_D_Tb_Krishnagiri(b),granite,3,11,,,292.62,0,0,0,0,261.74,30.88,11.25,292.62,0,0,0,0
58,KU_D_TB_KURNOOL,Quartzite& Limestone,2,12,,,185.19,1.17,0,0,1.17,182.52,1.5,0,184.02,0,0,0,0
59,Ku_D_TB_Kurnool (A)_NC,Limestone,2,7,,,206.51,0,0,0,0,170.89,35.62,0,206.51,0,0,0,0
60,Ku_D_TB_Kurnool (c)_NC,Limestone,2,7,,,65.21,0,0,0,0,50.21,15,0,65.21,0,0,0,0
61,KU_D_TB_NANDAVARAM_C,Granite-gneiss,2,11,,,149.05,136.73,1.25,0,137.98,11.07,0,0,11.07,0,0,0,0
62,Ku_D_TB_Nandikotkuru_C,Shales& Limestone,2,11,,,254.04,115.49,11.56,0,127.05,119.85,7.14,2.49,126.99,0,0,0,0
63,Ku_D_Tb_Pathikonda(b),Granite,3,11,,,128.19,0,0,0,0,118.48,9.71,12.8,128.19,0,0,0,0
64,KU_D_TB_PEDDAKADABUR_C,Granite-gneiss,3,11,,,300,232.51,3.13,8.75,235.64,60.36,4,0,64.36,0,0,0,0
65,Ku_d_tb_Veldurthi,Granite,3,11,,,334.62,0,0,0,0,325.52,9.1,0.5,334.62,0,0,0,0
66,KU_D_TB_YEMMIGANUR_C,Granite-gneiss,3,11,,,199.72,188.87,0,11,188.87,10.85,0,0,10.85,0,0,0,0
67,KU_D_TB_YEMMIGANUR-B_C,Granite-gneiss,3,11,,,141.49,128.21,3.5,11,131.71,9.78,0,0,9.78,0,0,0,0
68,KU_D_V V _Chippagiri -c-(b),Granites,3,12,,,170.33,89.05,1.5,0,90.55,79.03,0.75,0,79.78,0,0,0,0
69,KU_D_V V_ halaharvi(a),Granites,3,11,,,322.27,50.03,0,0,50.03,264.24,8,6.25,272.24,0,0,0,0
70,KU_D_VV_CHIPPAGIRI-B_C,Granite-gneiss,3,12,,,237.39,101.63,0,11,101.63,134.51,1.25,0,135.76,0,0,0,0
71,KU_D_VV_HOLAGONDA_C,Granite-gneiss,3,11,,,182.04,115.59,0,0,115.59,64.95,1.5,0,66.45,0,0,0,0
72,Ku_D-Lk_Kothapalli(d),Phyllite/dolamite/ Quartzite,2,5,,,126.63,0,0,0,0,117.09,9.54,37.49,126.63,0,0,0,0
73,Ku_D-TB_Aspari(a),Granite,3,11,,,131.54,0,0,0,0,130.49,1.05,0,131.54,0,0,0,0
74,KU_D-TB_GONEGANDLA,Granite,3,11,,,272.36,0,0,0,0,256.53,15.83,0,272.36,0,0,0,0
75,KU_P_KD_Owk,Shaly Limestone,2,8,,,481.01,296.37,34.7,20.96,331.07,77.01,72.93,0,149.94,0,0,0,0
76,KU-C_KD_Banaganapalli-(C)-C,Limestone,2,8,,,295.26,262.37,0,0,262.37,30,2.89,0,32.89,0,0,0,0
77,KU-D_TB_KOSIGI_C,Granites,2,6,,,199.02,61.5,0,2.74,61.5,130.02,7.5,3.12,137.52,0,0,0,0
78,Ku-d-tb_Pathikonda(a),Granite,2.5,11,,,172.69,0,0,0,0,169.79,2.91,0,172.69,0,0,0,0
79,KU-D-TB-C.BELAGAL_C,Granite-gneiss,4,11,,,209.15,111.07,0.75,11,111.82,96.58,0.75,0,97.33,0,0,0,0
80,KU-D-TB-KALLURU(A),SCHIST,3,11,,,190.39,66.18,0,0,66.18,122.71,1.5,0,124.21,0,0,0,0
