"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"KU_D-TB_GONEGANDLA","KU_D-TB_GONEGANDLA-MB","Banavanuru","Banavanur"
"KU_D_TB_PEDDAKADABUR_C","KU_D_TB_PEDDAKADABUR_C-MB","Banavasi","Banavasi-1"
"Ku_D_LK_Midthuru_C","KU_D_LK_MIDTHURU_C-MB","Bannuru","Bannur"
"KU_D_TB_KOWTHALAM(A)_C","KU_D_TB_KOWTHALAM(A)_C-MB","Bantakunta","Bantakunta"
"KU_D_TB_KOWTHALAM","KU_D_TB_KOWTHALAM-MB","Bapanadoddi","Bapaladoddi"
"KU_D_V V_ halaharvi(a)","KU_D_V V_ HALAHARVI(A)-MB","Bapuram","Bapuram-1"
"KU_D_TB_KOWTHALAM(A)_C","KU_D_TB_KOWTHALAM(A)_C-MB","Bapuram","Bapuram"
"KU_D_TB_ADONI_C","KU_D_TB_ADONI_C-MB","Basaladoddi","Basaladoddi"
"KU_C-KD_SIRIVELLA_C","KU_C-KD_SIRIVELLA_C-MB","Basapuram","Basavapuram-1"
"KU_D_TB_ADONI_C","KU_D_TB_ADONI_C-MB","Basapuram","Basavapuram-1"
"KU-D_TB_KOSIGI_C","KU-D_TB_KOSIGI_C-MB","Basapuram","Basavapuram-1"
"KU_D-TB_GONEGANDLA","KU_D-TB_GONEGANDLA-MB","Basarakodu","Basarakodu"
"KU_D_TB_KURNOOL","KU_D_TB_KURNOOL-MB","Basavapuram","Basavapuram"
"Ku_D_TB_Kalluru(a)","KU-D-TB-KALLURU(A)-MB","Bastipadu","Bastipadu"
"Ku_D_TB_Kalluru(a)","KU-D-TB-KALLURU(A)-MB","Bastipadu","Bastipadu"
"Ku_C_KD_Allagadda (A)","KU_C_KD_ALLAGADDA (A)-MB","Bathaluru","Bathalur"
"KU_C_KD_BANAGANAPALLI(a)","KU_C_KD_BANAGANAPALLI(A)-MB","Battalurupadu","Bathulurupadu"
"Ku_D-Lk_Kothapalli(d)","KU_D-LK_KOTHAPALLI(D)-MB","Battuvaripalli","Battuvaripalle-2"
"KU-C_KD_Banaganapalli-(C)-C","KU-C_KD_BANAGANAPALLI(C)-MB","Beeravolu","Beeravolu"
"KU_C-KD_SIRIVELLA_C","KU_C-KD_SIRIVELLA_C-MB","beeravolu","Beeravolu"
"Ku_D_LK_Pagidyala-C","KU_D_LK_PAGIDYALA_C-MB","Beeravolu","Beeravolu"
"KU_D_TB_ADONI_C","KU_D_TB_ADONI_C-MB","Belagallu","Belagallu-1"
"KU-D-TB-C.BELAGAL_C","KU-D-TB-C.BELAGAL_C-MB","Belagallu","Belagallu-1"
"KU_D_V V _Chippagiri -c-(b)","KU_D_V V _CHIPPAGIRI -C-(B)-MB","Beldona","Beldona"
"KU_D_V V_ halaharvi(a)","KU_D_V V_ HALAHARVI(A)-MB","Bella Hallu","Bilehal"
"KU_D_TB_ASPARI","KU_D_TB_ASPARI-MB","Bellekallu","Billekallu"
"KU_D_TB_ADONI_C","KU_D_TB_ADONI_C-MB","Bellikallu","Ballekallu"
"KU_C_KD_Sanjamala(b)","KU_C_KD_SANJAMALA(B)-MB","Belum","Belum"
"KU_D_TB_ALUR_C","KU_D_TB_ALUR_C-MB","Benigere","Benigeri"
"KU_D_VV_CHIPPAGIRI-B_C","KU_D_VV_CIPPAGIRI-B_C-MB","Benthana-Hal","Bantanahal"
"Ku_c_kd_Panyam(a)","KU_C_KD_PANYAM(A)-MB","Bethamcherla","Bethamcherla-1"
"KU_D_VV_CHIPPAGIRI-B_C","KU_D_VV_CIPPAGIRI-B_C-MB","Bevihal","Bevinhal"
"KU_C_KD_BANAGANAPALLI(a)","KU_C_KD_BANAGANAPALLI(A)-MB","Bhanumukkala","Banumukkala"
"Ku_C_KD_B.Atmakuru(b)","KU_C_KD_B.ATMAKURU(B)-MB","Bhanumukkala","Bhanumukkala"
"KU-D_TB_KOSIGI_C","KU-D_TB_KOSIGI_C-MB","Bhatrabomulapuram","Batra Bommalapuram"
"Ku_C_KD_B.Atmakuru(b)","KU_C_KD_B.ATMAKURU(B)-MB","Bheemavaram","Bheemavaram-1"
"KU_C_KD_Gospadu_c","KU_C_KD_GOSPADU_C-MB","Bheemunipadu","Bheemunipadu"
