,,,,Irrigated with surface water,,,,,,,,,,,,,,,
S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,,,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,,,,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,,,,
45,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Anupuru,60,0,15,141,,,,,,,,,,,,
46,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Tangaturu,28,3,,444,,,,,,,,,,,,
47,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Mittapalle,69,0,,195,,,,,,,,,,,,
48,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Kaipa,90,0,,534,,,,,,,,,,,,
49,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Sankalapuram,62,0,,276,,,,,,,,,,,,
50,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Appalapuram,32,0,,398,,,,,,,,,,,,
51,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Vittalapuram,32,0,,227,,,,,,,,,,,,
52,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Nandavaram,20,0,0,32,,,,,,,,,,,,
53,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Jillela,6,0,0,709,,,,,,,,,,,,
54,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Tiimmapuram,4,0,0,36,,,,,,,,,,,,
55,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Nandivargam,60,0,0,32,,,,,,,,,,,,
56,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Ramateertham,30,0,0,40,,,,,,,,,,,,
57,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Beeravolu,40,0,0,280,,,,,,,,,,,,
58,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Cheruvupalli,96,0,,40,,,,,,,,,,,,
59,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Palkur,0,0,0,0,,,,,,,,,,,,
60,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Venkatapuram,0,0,0,0,,,,,,,,,,,,
61,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Kapulapalli,98,0,,290,,,,,,,,,,,,
62,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Pandlapuram,,0,,144,,,,,,,,,,,,
63,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,Reserve Forest,,,,,,,,,,,,,,,,
64,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Mothukuru,76,70,15,11,,,,,,,,,,,,
65,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Pedda Devalapuram,268,84,0,13,,,,,,,,,,,,
66,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Narayanapuram,840,245,0,39,,,,,,,,,,,,
67,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,S.Juturu,546,105,42,17,,,,,,,,,,,,
68,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Galichennayapalem,990,245,0,39,,,,,,,,,,,,
69,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Ramapuram,664,350,0,55,,,,,,,,,,,,
70,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,B.Atmakuru,1140,350,32,55,,,,,,,,,,,,
71,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Kakunuru,261,105,66,17,,,,,,,,,,,,
72,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Parnapalli,877,700,1,110,,,,,,,,,,,,
73,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Eernapadu,1230,420,0,66,,,,,,,,,,,,
74,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Kadamalakalva,788,490,34,77,,,,,,,,,,,,
75,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,Ayyavarikoduru,733,560,13,88,,,,,,,,,,,,
