,,,,"CA","NCA","PQA",
,,,,"Industrial","Industrial","Industrial",
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total "
57,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Beeravolu",,,,0
58,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Cheruvupalli",,,,0
59,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Palkur",,,,0
60,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Venkatapuram",,,,0
61,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kapulapalli",,,,0
62,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Pandlapuram",,,,0
63,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Reserve Forest",,,,0
64,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Mothukuru",,,,0
65,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Pedda Devalapuram",,,,0
66,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Narayanapuram",,,,0
67,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","S.Juturu",,,,0
68,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Galichennayapalem",,,,0
69,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ramapuram",,,,0
70,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Atmakuru",,,,0
71,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kakunuru",,,,0
72,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Parnapalli",,,,0
73,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Eernapadu",,,,0
74,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kadamalakalva",,,,0
75,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyavarikoduru",,,,0
