"S.No","Watershed code","Watershed Name"," Village Name","Length ","Design depth of flow","Bed width","Side Slopes","WettedPerimeter","Wetted area","Canal seepage factor"," No.of operating days of canal",," Recharge from canal (ha.m)",,"Annual Recharge"
,,,,"mts","mts","mts","( degrees )","mts","( m.sq mts.)","( ha.m/d/m.sq.m )","Monsoon ","N-Monsoon","Monsoon ","Non-Monsoon","( ha.m )"
47,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Mittapalle",,,,,,,,,,,,
48,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kaipa",,,,,,,,,,,,
49,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Sankalapuram",,,,,,,,,,,,
50,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Appalapuram",,,,,,,,,,,,
51,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vittalapuram",,,,,,,,,,,,
52,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandavaram",,,,,,,,,,,,
53,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Jillela",,,,,,,,,,,,
54,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tiimmapuram",,,,,,,,,,,,
55,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandivargam",,,,,,,,,,,,
56,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Ramateertham",,,,,,,,,,,,
57,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Beeravolu",,,,,,,,,,,,
58,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Cheruvupalli",,,,,,,,,,,,
59,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Palkur",,,,,,,,,,,,
60,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Venkatapuram",,,,,,,,,,,,
61,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kapulapalli",,,,,,,,,,,,
62,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Pandlapuram",,,,,,,,,,,,
63,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Reserve Forest",,,,,0,0,,,,0,0,0
64,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Mothukuru",55000,4,19,45,25.4,1.4,4,60,90,335.92,503.89,839.81
65,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Pedda Devalapuram",22500,2,16,45,20.1,0.452,4,60,90,108.39,162.59,270.98
66,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Narayanapuram",43000,1,2,45,3.7,0.158,4,60,90,37.9,56.85,94.76
67,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","S.Juturu",22000,1,2,45,3.7,0.081,4,60,90,19.39,29.09,48.48
68,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Galichennayapalem",50000,0,2,45,2.3,0.115,4,60,90,27.71,41.56,69.27
