"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
39,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Peddakopperla",,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
40,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Chinakopperla",,,,,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,
41,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vallampadu",,,,,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,
42,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Rayapadu",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
43,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kotturu",,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
44,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Gaggaturu",,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
45,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Anupuru",,,,,2,0.25,3,,,,,,,,,,,,,,,,,,,,,,,
46,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tangaturu",,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,
47,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Mittapalle",,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,
48,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kaipa",,,,,8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
49,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Sankalapuram",,,,,10,1.5,,,,,,,,,,,,,,,,,,,,,,,,
50,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Appalapuram",,,,,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,
51,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Vittalapuram",,,,,2,0.4,,,,,,,,,,,,,,,,,,,,,,,,
52,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandavaram",,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,
53,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Jillela",,,,,8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
54,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Tiimmapuram",,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,
55,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Nandivargam",,,,,8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
56,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Ramateertham",,,,,15,3,,,,,,,,,,,,,,,,,,,,,,,,
57,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Beeravolu",,,,,8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
58,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Cheruvupalli",,,,,2,0.4,,,,,,,,,,,,,,,,,,,,,,,,
59,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Palkur",,,,,0,0,,,,,,,,,20,4,,,,,,,,,,,,,,
60,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Venkatapuram",,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,
61,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Kapulapalli",,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,
62,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Pandlapuram",,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,
63,"13_c_68_44-C-©","KU-C_KD_Banaganapalli-(C)-C","Reserve Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Mothukuru",,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
65,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Pedda Devalapuram",,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
66,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Narayanapuram",,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
67,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","S.Juturu",,,,,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
68,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Galichennayapalem",,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
69,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ramapuram",,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
70,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Atmakuru",,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
71,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kakunuru",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
72,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Parnapalli",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
73,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Eernapadu",,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
74,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kadamalakalva",,,,,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,
75,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyavarikoduru",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
76,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Koduru",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
77,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Nandyal",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
78,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kothapalli",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
79,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Mulasagaram",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
80,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Billalapuram",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
81,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kottala",,,,,8,0.8,,,,,,,,,,,,,,,,,,,,,,,,
82,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyaluru",,,,,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
83,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Bollavaram",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
84,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Bukkapuram",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
85,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Thimmapuram",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
86,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Thammadapalli",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
87,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Gopavaram",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
88,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Nandipalli",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
89,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","RF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Mittakandala",,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,
91,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bhanumukkala",,,,,5,1,,,,,,,,,,,3,,,,,,,,,,,,,
92,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Madduru",,,,,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,
93,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Vempenta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Abdullapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Guntakandanala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Regadaguduru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Velpanuru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Tudicherla",,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,
99,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bheemavaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Pulimaddi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Yerraguntla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Paramaturu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bhojanam",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
104,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Pesaravai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Karimaddela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"13_c_68_39","ku_c_kd_chagalamarri_C","Dadlavanipenta",,,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
107,"13_c_68_39","ku_c_kd_chagalamarri_C","Godigenuru",,,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
108,"13_c_68_39","ku_c_kd_chagalamarri_C","Madduru",,,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
109,"13_c_68_39","ku_c_kd_chagalamarri_C","Chagalamarri",,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,
110,"13_c_68_39","ku_c_kd_chagalamarri_C","Chintalacheruvu",,,,,5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
111,"13_c_68_39","ku_c_kd_chagalamarri_C","Peddavangali",,,,,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,
112,"13_c_68_39","ku_c_kd_chagalamarri_C","Chinavangali",,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,
113,"13_c_68_39","ku_c_kd_chagalamarri_C","Settiveedu",,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,
114,"13_c_68_39","ku_c_kd_chagalamarri_C","Peddabodanam",,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,
115,"13_c_68_39","ku_c_kd_chagalamarri_C","Chinnabodanam",,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,
116,"13_c_68_39","ku_c_kd_chagalamarri_C","Thodendlapalli",,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,
117,"13_c_68_39","ku_c_kd_chagalamarri_C","RF(Rudravaram)",,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
118,"13_c_68_39","ku_c_kd_chagalamarri_C","Mutyalapadu",,,,,3,0.75,,,,,,,,,,,,,,,,,,,,,,,,
119,"13_c_68_39","ku_c_kd_chagalamarri_C","Ahobilum",,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,
120,"13_c_68_39","ku_c_kd_chagalamarri_C","Bachepalli",,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,
121,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Errabadu",2,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
122,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Thippanuru",,,,,,,,,,,,,,,1,0.75,3,,,,,,,,,,,,,
123,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Kurnoor",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
124,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Lingamdinne",,,,,2,,6,,,,,,,,2,1.5,,,,,,,,,,,,,,
125,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Agaveli",,,,,,,,,,,,,10,,1,,,,,,,,,,,,,,,
126,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Pothugallu",,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,
127,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Mannekunta",,,,,,,,,,,,,3,,1,,6,,,,,,,,,,,,,
128,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","S.Erragudi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Matchapuram",,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
130,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Kapatralla",,,,,,,,,,,,,,,5,,8,,,,,,,,,,,,,
131,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Thimmapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","P.Kotakonda",,,,,,,,,,,,,3,,8,,15,,,,,,,,,,,,,
133,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","RF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Burrareddy palle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Ramachandrapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Dornipadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Chakrarajuvemula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Kristipadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Harivaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
