Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
61,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,35,Kapulapalli,566,,566,31130
62,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,24,Pandlapuram,423,,423,23265
63,13_c_68_44-C-©,KU-C_KD_Banaganapalli-(C)-C,,Reserve Forest,0,,0,0
64,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,8,Mothukuru,4174,,4174,229570
65,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,4,Pedda Devalapuram,2243,,2243,123365
66,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,5,Narayanapuram,4825,,4825,265375
67,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,3,S.Juturu,2415,,2415,132825
68,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,6,Galichennayapalem,4265,,4265,234575
69,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,7,Ramapuram,2517,,2517,138435
70,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,8,B.Atmakuru,7242,,7242,398310
71,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,10,Kakunuru,1536,,1536,84480
72,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,11,Parnapalli,3456,,3456,190080
73,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,12,Eernapadu,4845,,4845,266475
74,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,13,Kadamalakalva,3587,,3587,197285
75,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,14,Ayyavarikoduru,3656,,3656,201080
76,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,15,B.Koduru,2517,,2517,138435
77,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,6,Nandyal,211424,,211424,11628320
78,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,20,Kothapalli,,,0,0
79,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,8,Mulasagaram,587,,587,32285
80,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,7,Billalapuram,2148,,2148,118140
81,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,12,Kottala,5120,,5120,281600
82,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,13,Ayyaluru,9340,,9340,513700
83,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,1,Bollavaram,5442,,5442,299310
84,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,2,Bukkapuram,4129,,4129,227095
85,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,3,Thimmapuram,7508,,7508,412940
86,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,4,Thammadapalli,2206,,2206,121330
87,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,7,Gopavaram,4862,,4862,267410
88,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,31,Nandipalli,2852,,2852,156860
89,13_c_68_33(a)_c,Ku_C_Kd_Bandi Atmakuru (a)_c,,RF,0,,0,0
90,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),8,Mittakandala,,3442,3442,189310
91,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),6,Bhanumukkala,,4288,4288,235840
92,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),10,Madduru,4708,,4708,258940
93,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),9,Vempenta,,4692,4692,258060
94,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),3,Abdullapuram,2836,,2836,155980
95,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),4,Guntakandanala,,2830,2830,155650
96,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),1,Regadaguduru,5396,,5396,296780
97,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),2,Velpanuru,6526,,6526,358930
98,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),11,Tudicherla,3609,,3609,198495
99,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),5,Bheemavaram,2191,,2191,120505
100,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),4,Pulimaddi,1753,,1753,96415
101,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),9,Yerraguntla,2747,,2747,151085
102,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),2,Paramaturu,1578,,1578,86790
103,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),1,Bhojanam,1163,,1163,63965
104,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),6,Pesaravai,3589,,3589,197395
105,13_C_68_33(b)--c,Ku_C_KD_B.Atmakuru(b),10,Karimaddela,3881,,3881,213455
106,13_c_68_39,ku_c_kd_chagalamarri_C,6,Dadlavanipenta,2491,0,2491,137005
107,13_c_68_39,ku_c_kd_chagalamarri_C,7,Godigenuru,2323,0,2323,127765
108,13_c_68_39,ku_c_kd_chagalamarri_C,8,Madduru,1814,0,1814,99770
109,13_c_68_39,ku_c_kd_chagalamarri_C,15,Chagalamarri,21289,0,21289,1170895
110,13_c_68_39,ku_c_kd_chagalamarri_C,17,Chintalacheruvu,2289,0,2289,125895
111,13_c_68_39,ku_c_kd_chagalamarri_C,18,Peddavangali,2024,0,2024,111320
112,13_c_68_39,ku_c_kd_chagalamarri_C,19,Chinavangali,2082,0,2082,114510
113,13_c_68_39,ku_c_kd_chagalamarri_C,16,Settiveedu,2294,0,2294,126170
114,13_c_68_39,ku_c_kd_chagalamarri_C,2,Peddabodanam,1379,0,1379,75845
115,13_c_68_39,ku_c_kd_chagalamarri_C,3,Chinnabodanam,1314,0,1314,72270
116,13_c_68_39,ku_c_kd_chagalamarri_C,4,Thodendlapalli,1312,0,1312,72160
117,13_c_68_39,ku_c_kd_chagalamarri_C,,RF(Rudravaram),0,0,0,0
118,13_c_68_39,ku_c_kd_chagalamarri_C,5,Mutyalapadu,4818,0,4818,264990
119,13_c_68_39,ku_c_kd_chagalamarri_C,15,Ahobilum,3732,0,3732,205260
120,13_c_68_39,ku_c_kd_chagalamarri_C,16,Bachepalli,3718,0,3718,204490
121,13_D_45_27(B),KU_D_TB_Devanakonda(b),11,Errabadu,3592,,3592,197560
122,13_D_45_27(B),KU_D_TB_Devanakonda(b),8,Thippanuru,,3566,3566,196130
123,13_D_45_27(B),KU_D_TB_Devanakonda(b),10,Kurnoor,,2217,2217,121935
124,13_D_45_27(B),KU_D_TB_Devanakonda(b),9,Lingamdinne,1230,,1230,67650
125,13_D_45_27(B),KU_D_TB_Devanakonda(b),3,Agaveli,,1380,1380,75900
126,13_D_45_27(B),KU_D_TB_Devanakonda(b),2,Pothugallu,2910,,2910,160050
127,13_D_45_27(B),KU_D_TB_Devanakonda(b),1,Mannekunta,1290,,1290,70950
128,13_D_45_27(B),KU_D_TB_Devanakonda(b),6,S.Erragudi,,2060,2060,113300
129,13_D_45_27(B),KU_D_TB_Devanakonda(b),5,Matchapuram,,3574,3574,196570
130,13_D_45_27(B),KU_D_TB_Devanakonda(b),4,Kapatralla,,4601,4601,253055
131,13_D_45_27(B),KU_D_TB_Devanakonda(b),7,Thimmapuram,,,0,0
132,13_D_45_27(B),KU_D_TB_Devanakonda(b),6,P.Kotakonda,,7063,7063,388465
133,13_D_45_27(B),KU_D_TB_Devanakonda(b),146,RF,,,0,0
134,13_C_68_41-c,KU_C_KD_Dornipadu-c,1,Burrareddy palle,1745,,1745,95975
