,,,"Command area",,,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,3.401360544,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
,"Ku_C_Kd_Bandi Atmakuru (a)_c","DW+PS/DCB",4285.714286,,40,60,4285.714286,,120,240,7142.857143,,120,240,4285.714286,,40,90,4285.714286,,120,240,7142.857143,,120,240,4285.714286,,40,90,,,,,7142.857143,,120,240
,"Ku_C_Kd_Bandi Atmakuru (a)_c","BWs",9285.714286,,40,60,5142.857143,,120,240,14285.71429,,120,240,8571.428571,,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,40,90,,,,,7142.857143,,120,240
,"Ku_C_Kd_Bandi Atmakuru (a)_c","STW",22000,,40,90,5142.857143,,120,240,3571.428571,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"Ku_C_Kd_Bandi Atmakuru (a)_c","MTW",45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"Ku_C_Kd_Bandi Atmakuru (a)_c","Deep TW",64285.71429,,40,90,10285.71429,,120,240,7142.857143,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"Ku_C_Kd_Bandi Atmakuru (a)_c","Filter Points",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_B.Atmakuru(b)","DW",1428.571429,,40,90,857.1428571,,120,240,7142.857143,,120,240,1428.571429,,40,90,857.1428571,,120,240,3571.428571,,120,240,1428.571429,,40,90,,,,,3571.428571,,120,240
,"Ku_C_KD_B.Atmakuru(b)","DW+PS/DCB",4285.714286,,40,90,4285.714286,,120,240,14285.71429,,120,240,4285.714286,,40,90,4285.714286,,120,240,7142.857143,,120,240,4285.714286,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_B.Atmakuru(b)","BWs",8571.428571,,40,90,5142.857143,,120,240,3571.428571,,120,240,8571.428571,,40,90,5142.857143,,120,240,7142.857143,,120,240,8571.428571,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_B.Atmakuru(b)","STW",22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_B.Atmakuru(b)","MTW",45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"Ku_C_KD_B.Atmakuru(b)","Deep TW",64285.71429,,40,90,10285.71429,,120,240,7142.857143,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"Ku_C_KD_B.Atmakuru(b)","Filter Points",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"ku_c_kd_chagalamarri_C","DW",1428.571429,,40,90,857.1428571,,120,240,14285.71429,,120,240,1428.571429,,40,90,857.1428571,,120,240,3571.428571,,120,240,1428.571429,,40,90,,,,,3571.428571,,120,240
,"ku_c_kd_chagalamarri_C","DW+PS/DCB",5000,,40,90,4285.714286,,120,240,3571.428571,,120,240,5000,,40,90,4285.714286,,120,240,7142.857143,,120,240,5000,,40,90,,,,,7142.857143,,120,240
,"ku_c_kd_chagalamarri_C","BWs",9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,9285.714286,,40,90,,,,,7142.857143,,120,240
,"ku_c_kd_chagalamarri_C","STW",22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"ku_c_kd_chagalamarri_C","MTW",45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"ku_c_kd_chagalamarri_C","Deep TW",64285.71429,,40,90,10285.71429,,120,240,7142.857143,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"ku_c_kd_chagalamarri_C","Filter Points",7142.857143,,40,90,5142.857143,,120,240,14285.71429,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KU_D_TB_Devanakonda(b)","DW",3857.142857,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KU_D_TB_Devanakonda(b)","DW+PS/DCB",7142.857143,,40,90,4285.714286,,120,240,7142.857143,,120,240,5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KU_D_TB_Devanakonda(b)","BWs",14285.71429,,40,90,5142.857143,,120,240,7142.857143,,120,240,9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KU_D_TB_Devanakonda(b)","STW",22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KU_D_TB_Devanakonda(b)","MTW",45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KU_D_TB_Devanakonda(b)","Deep TW",64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KU_D_TB_Devanakonda(b)","Filter Points",7142.857143,,40,90,5142.857143,,120,240,3571.428571,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Dornipadu-c","DW",3857.142857,,40,90,857.1428571,,120,240,7142.857143,,120,240,3857.142857,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KU_C_KD_Dornipadu-c","DW+PS/DCB",7142.857143,,40,90,4285.714286,,120,240,7142.857143,,120,240,5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Dornipadu-c","BWs",14285.71429,,40,90,5142.857143,,120,240,7142.857143,,120,240,9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Dornipadu-c","STW",22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Dornipadu-c","MTW",45000,,40,90,10285.71429,,120,240,14285.71429,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Dornipadu-c","Deep TW",64285.71429,,40,90,10285.71429,,120,240,3571.428571,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
,"KU_C_KD_Dornipadu-c","Filter Points",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Gospadu_c","DW",3857.142857,,40,90,857.1428571,,120,240,7142.857143,,120,240,3857.142857,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
,"KU_C_KD_Gospadu_c","DW+PS/DCB",5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Gospadu_c","BWs",7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Gospadu_c","STW",22000,,40,90,5142.857143,,120,240,14285.71429,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Gospadu_c","MTW",45000,,40,90,10285.71429,,120,240,3571.428571,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
,"KU_C_KD_Gospadu_c","Deep TW",64285.71429,,40,90,10285.71429,,120,240,7142.857143,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
