S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
31,KU_D_TB_GUDURU_C,KU_D_TB_GUDURU_C-MB,6.44,6.23,8.34,,6.44,3.23,8.34,,0.9,0.9,651,429,222,745.1,608.7,136.4
32,KU_D_TB_HOLAGUNDA_C,KU_D_TB_HOLAGUNDA_C-MB,8.47,7.74,9.58,,4.21,2.66,4.32,,0.9,0.9,607.9,385.6,222.3,712.46,565.33,147.13
33,KU-D-TB-KALLURU(A),KU_D_TB_KALLURU(A)-MB,6.51,5.03,7.21,,6.51,5.03,7.21,,0.9,0.9,670.7,444.7,226,781.13,631.33,149.8
34,KU_D_TB_KALLURU(B),KU_D_TB_KALLURU(B)-MB,4.82,2.12,3.1,,4.82,2.12,3.1,,0.9,0.9,662,441.5,220.5,732.1,571.4,160.7
35,KU_D_TB_KOWTHALAM(A)_C,KU_D_TB_KOWTHALAM(A)_C-MB,5.96,3.91,5.69,,4.25,2.83,4.23,,0.9,0.9,651,434,217,664.8,545.4,119.4
36,KU_D_TB_KOWTHALAM,KU_D_TB_KOWTHALAM-MB,7.1,5.85,7.61,,7.44,2.66,4.32,,0.9,0.9,656,445,211,736.67,645,91.67
37,KU_D_TB_KURNOOL,KU_D_TB_KURNOOL-MB,4.82,2.12,3.1,,4.8,2.12,3.1,,0.1,0.1,704,479,225,924.3,742,182.3
38,KU_D_TB_NANDAVARAM_C,KU_D_TB_NANDAVARAM_C-MB,6.77,3.01,7.78,,6.77,3.01,7.78,,0.9,0.9,632,406,226,688.9,613.6,75.3
39,Ku_D_TB_Nandikotkuru_C,KU_D_TB_NANDIKOTKURU_C-MB,20.17,10.47,18.16,,17.14,10.47,16.97,,0.45,0.9,668.2,473.6,194.6,823.06,711.13,111.93
40,KU_D_TB_PEDDAKADABUR_C,KU_D_TB_PEDDAKADABUR_C-MB,9.69,8.39,10.94,,12.33,13.12,14.14,,0.9,0.9,636.75,409,227.75,618.85,541.05,77.8
