,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
38,"05_I_37_09","WG_I_Yerrakalva 2_Devulapalli","Gundagolanukunta",0,0,0,0,0,0,0,0,0,0,15,50,0,0,0,0,0,0,0,0,0
39,"05_I_37_10","WG_I_Yerrakalva 2_Devulapalli","Malleswaram",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
40,"05_I_37_11","WG_I_Yerrakalva 2_Devulapalli","Kommara (N)",0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0
41,"05_I_37_12","WG_I_Yerrakalva 2_Devulapalli","Kommara [S]",0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0
42,"05_I_37_13","WG_I_Yerrakalva 2_Devulapalli","Ammapalem",0,0,0,0,0,0,0,0,0,0,80,25,0,0,0,0,0,0,0,0,0
43,"05_I_37_14","WG_I_Yerrakalva 2_Devulapalli","Devulapalli",0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,0,0,0,0
44,"05_I_37_15","WG_I_Yerrakalva 2_Devulapalli","Lakkavaram ",0,0,0,0,0,0,0,0,0,0,30,80,0,0,0,0,0,0,0,0,0
45,"05_I_37_16","WG_I_Yerrakalva 2_Devulapalli","Nimmalagudem",0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
46,"05_I_37_17","WG_I_Yerrakalva 2_Devulapalli","KamavarapuKota  ",0,0,0,0,0,0,0,0,0,0,175,473,0,0,0,0,0,0,0,0,0
47,"05_I_37_18","WG_I_Yerrakalva 2_Devulapalli","Kondagudem",0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0
48,"05_I_37_19","WG_I_Yerrakalva 2_Devulapalli","Ramannapalem",0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
49,"05_I_37_20","WG_I_Yerrakalva 2_Devulapalli","Ravikampadu",0,0,0,0,0,0,0,0,0,0,50,120,0,0,0,0,0,0,0,0,0
50,"05_I_37_21","WG_I_Yerrakalva 2_Devulapalli","Uppalapadu",0,0,0,0,0,0,0,0,0,75,160,0,0,0,0,0,0,0,0,0,0
51,"05_I_37_22","WG_I_Yerrakalva 2_Devulapalli","Yadavalli ",0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0
52,"05_I_37_23","WG_I_Yerrakalva 2_Devulapalli","Veerampalem",0,0,0,16,0,6,0,0,0,0,105,0,0,82,0,0,0,0,0,0,0
