S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
686,05_I_36_39,WG_I_36_PODURU,Penumadam,1475,,,,2.62,0.0038645,15,120,200,6.9561,11.5935,18.5496
687,05_I_36_39,WG_I_36_PODURU,Mattaparu,1085,,,,2.93,0.00317905,15,120,200,5.72229,9.53715,15.25944
688,05_I_36_39,WG_I_36_PODURU,Vedangi,785,,,,3.08,0.0024178,15,120,200,4.35204,7.2534,11.60544
689,05_I_36_39,WG_I_36_PODURU,P.Polavaram,583,,,,2.6,0.0015158,15,120,200,2.72844,4.5474,7.27584
690,05_I_36_39,WG_I_36_PODURU,Kommuchikkala,1690,,,,2.76,0.0046644,15,120,200,8.39592,13.9932,22.38912
691,05_I_36_39,WG_I_36_PODURU,Jinnuru,1790,,,,13.47,0.0241113,15,120,200,43.40034,72.3339,115.73424
692,05_I_36_45,WG_I_ODJS_Palakollu,Aratlakatla,2788,,,,2.724,0.007594512,15,180,145,20.5051824,16.5180636,37.023246
693,05_I_36_45,WG_I_ODJS_Palakollu,Palamooru,9700,,,,5.047,0.0489559,15,180,145,132.18093,106.4790825,238.6600125
694,05_I_36_45,WG_I_ODJS_Palakollu,S. Chikkala,6813,,,,5.207,0.035475291,15,180,145,95.7832857,77.158757925,172.942043625
695,05_I_36_45,WG_I_ODJS_Palakollu,Ballipadu,2011,,,,3.031,0.006095341,15,180,145,16.4574207,13.257366675,29.714787375
696,05_I_36_45,WG_I_ODJS_Palakollu,Daggulooru,5354,,,,4.218,0.022583172,15,180,145,60.9745644,49.1183991,110.0929635
697,05_I_36_45,WG_I_ODJS_Palakollu,Chintaparru,5502,,,,3.86,0.02123772,15,180,145,57.341844,46.192041,103.533885
698,05_I_36_45,WG_I_ODJS_Palakollu,Kapavaram,3025,,,,4.998,0.01511895,15,180,145,40.821165,32.88371625,73.70488125
699,05_I_36_45,WG_I_ODJS_Palakollu,Ullamparru,2689,,,,3.694,0.009933166,15,180,145,26.8195482,21.60463605,48.42418425
700,05_I_36_45,WG_I_ODJS_Palakollu,Palakollu ,3903,,,,19.37,0.07560111,15,180,145,204.122997,164.43241425,368.55541125
701,05_I_36_45,WG_I_ODJS_Palakollu,Poolapalli,2340,,,,3.315,0.0077571,15,180,145,20.94417,16.8716925,37.8158625
702,05_I_36_45,WG_I_ODJS_Palakollu,Lankalakoderu,2120,,,,3.643,0.00772316,15,180,145,20.852532,16.797873,37.650405
703,05_I_36_45,WG_I_ODJS_Palakollu,Tillapudi,2497,,,,19.37,0.04836689,15,180,145,130.590603,105.19798575,235.78858875
704,05_I_36_45,WG_I_ODJS_Palakollu,Velevela,6412,,,,3.533,0.022653596,15,180,145,61.1647092,49.2715713,110.4362805
705,05_I_36_45,WG_I_ODJS_Palakollu,Agarrru,1778,,,,2.235,0.00397383,15,180,145,10.729341,8.64308025,19.37242125
706,05_I_36_45,WG_I_ODJS_Palakollu,Chandaparru,1089,,,,2.325,0.002531925,15,180,145,6.8361975,5.506936875,12.343134375
707,05_I_36_45,WG_I_ODJS_Palakollu,Gorintada,1505,,,,3.17,0.00477085,15,180,145,12.881295,10.37659875,23.25789375
708,05_I_36_45,WG_I_ODJS_Palakollu,Digamarru,828,,,,3.99,0.00330372,15,180,145,8.920044,7.185591,16.105635
709,05_I_36_45,WG_I_ODJS_Palakollu,Varidhanam,1386,,,,2.33,0.00322938,15,180,145,8.719326,7.0239015,15.7432275
710,05_I_36_45,WG_I_ODJS_Palakollu,Pedamamidipalli,1798,,,,2.635,0.00473773,15,180,145,12.791871,10.30456275,23.09643375
711,05_I_36_46,WG_I_ODJS_Yelamanchili,Burugupalli,1463,,,,2.861,0.004185643,15,180,145,11.3012361,9.103773525,20.405009625
712,05_I_36_46,WG_I_ODJS_Yelamanchili,Doddipatla,3383,,,,2.513,0.008501479,15,180,145,22.9539933,18.490716825,41.444710125
713,05_I_36_46,WG_I_ODJS_Yelamanchili,Ilapakurru,2788,,,,5.14,0.01433032,15,180,145,38.691864,31.168446,69.86031
714,05_I_36_46,WG_I_ODJS_Yelamanchili,Siragalapalli,751,,,,2.395,0.001798645,15,180,145,4.8563415,3.912052875,8.768394375
715,05_I_36_46,WG_I_ODJS_Yelamanchili,Neredumilli,4230,,,,4.015,0.01698345,15,180,145,45.855315,36.93900375,82.79431875
716,05_I_36_46,WG_I_ODJS_Yelamanchili,Medapadu,13520,,,,9.842,0.13306384,15,180,145,359.272368,289.413852,648.68622
717,05_I_36_46,WG_I_ODJS_Yelamanchili,Kontheru,3450,,,,3.314,0.0114333,15,180,145,30.86991,24.8674275,55.7373375
718,05_I_36_46,WG_I_ODJS_Yelamanchili,Kaza,4000,,,,3.294,0.013176,15,180,145,35.5752,28.6578,64.233
719,05_I_36_46,WG_I_ODJS_Yelamanchili,Utada,3520,,,,2.914,0.01025728,15,180,145,27.694656,22.309584,50.00424
720,05_I_36_46,WG_I_ODJS_Yelamanchili,Yalamanchili ,10380,,,,6.08,0.0631104,15,180,145,170.39808,137.26512,307.6632
721,05_I_36_46,WG_I_ODJS_Yelamanchili,Chinchinada,840,,,,2.33,0.0019572,15,180,145,5.28444,4.25691,9.54135
722,05_I_36_46,WG_I_ODJS_Yelamanchili,Kalagampudi,3440,,,,4.607,0.01584808,15,180,145,42.789816,34.469574,77.25939
723,05_I_36_46,WG_I_ODJS_Yelamanchili,Y.V.Lanka,1120,,,,2.25,0.00252,15,180,145,6.804,5.481,12.285
724,05_I_36_46,WG_I_ODJS_Yelamanchili,Gumparru,,,,,,,,,,,,
725,05_I_36_46,WG_I_ODJS_Yelamanchili,Penumarru,,,,,,,,,,,,
726,05_I_36_44,WG_I_ODJS_Narasapuram,Navarasapuram,3500,,,,4.025,0.0140875,15,120,200,25.3575,42.2625,67.62
727,05_I_36_44,WG_I_ODJS_Narasapuram,Gondi,4100,,,,3.71,0.015211,15,120,200,27.3798,45.633,73.0128
728,05_I_36_44,WG_I_ODJS_Narasapuram,Chittavaram,2900,,,,3.957,0.0114753,15,120,200,20.65554,34.4259,55.08144
729,05_I_36_44,WG_I_ODJS_Narasapuram,Chinamamidipalli,6576,,,,3.943,0.025929168,15,120,200,46.6725024,77.787504,124.4600064
730,05_I_36_44,WG_I_ODJS_Narasapuram,Saripalli,6576,,,,3.943,0.025929168,15,120,200,46.6725024,77.787504,124.4600064
731,05_I_36_44,WG_I_ODJS_Narasapuram,Likhitapudi,4450,,,,3.734,0.0166163,15,120,200,29.90934,49.8489,79.75824
732,05_I_36_44,WG_I_ODJS_Narasapuram,Mallavaram,12067,,,,7.909,0.095437903,15,120,200,171.7882254,286.313709,458.1019344
733,05_I_36_44,WG_I_ODJS_Narasapuram,K.Bethapudi,6700,,,,6.653,0.0445751,15,120,200,80.23518,133.7253,213.96048
734,05_I_36_44,WG_I_ODJS_Narasapuram,Kopparru,2998,,,,2.653,0.007953694,15,120,200,14.3166492,23.861082,38.1777312
735,05_I_36_44,WG_I_ODJS_Narasapuram,Rustumbada,1870,,,,2.618,0.00489566,15,120,200,8.812188,14.68698,23.499168
736,05_I_36_44,WG_I_ODJS_Narasapuram,Narsapuram ,4506,,,,3.398,0.015311388,15,120,200,27.5604984,45.934164,73.4946624
737,05_I_36_44,WG_I_ODJS_Narasapuram,Madhavaipalem,3655,,,,3.585,0.013103175,15,120,200,23.585715,39.309525,62.89524
738,05_I_36_44,WG_I_ODJS_Narasapuram,Sitarampuram,5600,,,,4.037,0.0226072,15,120,200,40.69296,67.8216,108.51456
739,05_I_36_44,WG_I_ODJS_Narasapuram,L.B.Charla,2747,,,,3.946,0.010839662,15,120,200,19.5113916,32.518986,52.0303776
740,05_I_36_44,WG_I_ODJS_Narasapuram,Lakshmaneshwaram,6800,,,,8.37,0.056916,15,120,200,102.4488,170.748,273.1968
741,05_I_36_44,WG_I_ODJS_Narasapuram,Vemuladevi,5200,,,,4.243,0.0220636,15,120,200,39.71448,66.1908,105.90528
742,05_I_36_44,WG_I_ODJS_Narasapuram,Turputallu,3000,,,,3.377,0.010131,15,120,200,18.2358,30.393,48.6288
743,05_I_36_43,WG_I_ODJS_Mogalturu,Mogalturu,7600,,,,10.36,0.078736,15,120,200,141.7248,236.208,377.9328
744,05_I_36_43,WG_I_ODJS_Mogalturu,Seripalem,2691,,,,4.397,0.011832327,15,120,200,21.2981886,35.496981,56.7951696
745,05_I_36_43,WG_I_ODJS_Mogalturu,Kalipatnam,3600,,,,4.384,0.0157824,15,120,200,28.40832,47.3472,75.75552
746,05_I_36_43,WG_I_ODJS_Mogalturu,Mutyalapalli,2152,,,,2.98,0.00641296,15,120,200,11.543328,19.23888,30.782208
747,05_I_36_43,WG_I_ODJS_Mogalturu,K.P.Palem,2200,,,,3.467,0.0076274,15,120,200,13.72932,22.8822,36.61152
748,05_I_36_43,WG_I_ODJS_Mogalturu,Perupalem,2522,,,,3.639,0.009177558,15,120,200,16.5196044,27.532674,44.0522784
