,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
22,WG_I_Chityala_Tallapudi,DW,3571.4285714286,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,3571.4285714286,,90,60,714.2857142857,,120,240,714.2857142857,,120,240,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
23,WG_I_Chityala_Tallapudi,DW+PS/DCB,3571.4285714286,,90,50,714.2857142857,,180,185,714.2857142857,,120,120,3571.4285714286,,90,50,714.2857142857,,120,240,714.2857142857,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
24,WG_I_Chityala_Tallapudi,BWs,5000,,40,60,1428.5714285714,,180,185,1428.5714285714,,120,120,5000,,40,60,1428.5714285714,,120,240,1428.5714285714,,120,240,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
25,WG_I_Chityala_Tallapudi,STW,10000,,40,70,3571.4285714286,,180,185,3571.4285714286,,120,120,10000,,40,70,3571.4285714286,,120,240,3571.4285714286,,120,240,22000,,40,90,,,,,7142.8571428572,,120,240
26,WG_I_Chityala_Tallapudi,MTW,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,15000,,40,90,3571.4285714286,,120,240,3571.4285714286,,120,240,45000,,40,90,,,,,7142.8571428572,,120,240
27,WG_I_Chityala_Tallapudi,Deep TW,20000,,40,70,7142.8571428572,,180,185,7142.8571428572,,120,120,20000,,40,70,7142.8571428572,,120,240,7142.8571428572,,120,240,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
28,WG_I_Chityala_Tallapudi,Filter Points,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,6000,,40,90,1428.5714285714,,120,240,1428.5714285714,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
29,WG_I_Kovvuru_Dommeru,DW,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,2142.8571428572,,40,90,857.1428571429,,120,240,714.2857142857,,120,240,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
30,WG_I_Kovvuru_Dommeru,DW+PS/DCB,7142.8571428572,,40,90,4285.7142857143,,120,240,7142.8571428572,,120,240,3571.4285714286,,40,90,4285.7142857143,,120,240,2142.8571428572,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
31,WG_I_Kovvuru_Dommeru,BWs,14285.7142857143,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,6857.1428571429,,40,120,5142.8571428572,,120,240,3571.4285714286,,120,240,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
32,WG_I_Kovvuru_Dommeru,STW,22000,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,20000,,30,110,5142.8571428572,,120,240,3571.4285714286,,120,240,22000,,40,90,,,,,7142.8571428572,,120,240
33,WG_I_Kovvuru_Dommeru,MTW,45000,,40,90,10285.7142857143,,120,240,7142.8571428572,,120,240,30000,,40,120,10285.7142857143,,120,240,4285.7142857143,,120,240,45000,,40,90,,,,,7142.8571428572,,120,240
34,WG_I_Kovvuru_Dommeru,Deep TW,64285.7142857143,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,35714.2857142857,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
35,WG_I_Kovvuru_Dommeru,Filter Points,7142.8571428572,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,7857.1428571429,,20,30,5142.8571428572,,120,240,7142.8571428572,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
36,WG_I_Nidadavolu_Arugolanu,DW,1428.5714285714,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,1428.5714285714,,40,90,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
37,WG_I_Nidadavolu_Arugolanu,DW+PS/DCB,3571.4285714286,,90,50,714.2857142857,,180,185,714.2857142857,,120,120,3571.4285714286,,40,90,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
38,WG_I_Nidadavolu_Arugolanu,BWs,5000,,40,60,1428.5714285714,,180,185,1428.5714285714,,120,120,5000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
39,WG_I_Nidadavolu_Arugolanu,STW,10000,,40,70,3571.4285714286,,180,185,3571.4285714286,,120,120,10000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
40,WG_I_Nidadavolu_Arugolanu,MTW,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
41,WG_I_Nidadavolu_Arugolanu,Deep TW,20000,,40,70,7142.8571428572,,180,185,7142.8571428572,,120,120,20000,,40,90,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
42,WG_I_Nidadavolu_Arugolanu,Filter Points,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
43,WG_I_Jagannapeta,DW,3571.4285714286,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,3571.4285714286,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
44,WG_I_Jagannapeta,DW+PS/DCB,3571.4285714286,,90,50,714.2857142857,,180,185,714.2857142857,,120,120,3571.4285714286,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
45,WG_I_Jagannapeta,BWs,5000,,40,60,1428.5714285714,,180,185,1428.5714285714,,120,120,5000,,40,60,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
46,WG_I_Jagannapeta,STW,10000,,40,70,3571.4285714286,,180,185,3571.4285714286,,120,120,10000,,40,60,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
47,WG_I_Jagannapeta,MTW,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,15000,,30,60,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
