 ,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
26,05_I_40_26,WG_I_Tammileru_Chintalapudi,T.Ch.R.Palem,0,0,0,0,7,6,181,136,0,0,0,0,60,0,0,,70,0,0,0,0,0,0,0,103,0,0,0,,,,,0,0,0,0
27,05_I_40_27,WG_I_Tammileru_Chintalapudi,Mulagapalampadu,0,0,0,0,31,0,325,173,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,29,0,0,0,,,,,0,0,0,0
28,05_I_40_28,WG_I_Tammileru_Chintalapudi,Yadavalli,0,0,0,0,29,8,72,101,0,0,0,0,47,0,0,0,45,0,0,0,0,0,0,0,27,0,0,0,,,,,0,0,0,0
29,05_I_40_29,WG_I_Tammileru_Chintalapudi,Bapirajugudem,0,0,0,0,68,12,680,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,30,1701,1608,,,,,0,0,0,0
30,05_I_40_30,WG_I_Tammileru_Chintalapudi,Nadipalli,0,0,0,0,40,12,58,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,146,824,,,,,0,0,0,0
31,05_I_40_31,WG_I_Tammileru_Chintalapudi,Rajampalem,0,0,0,0,8,8,0,226,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,20,20,0,564,,,,,,,,
32,05_I_37_03,WG_I_Yerrakalva 2_Devulapalli,Ch.potepalli,0,0,0,0,8,15,9,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
33,05_I_37_04,WG_I_Yerrakalva 2_Devulapalli,Dorasanipadu,0,0,0,0,12,8,15,193,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
34,05_I_37_05,WG_I_Yerrakalva 2_Devulapalli,G.Kothapali,0,0,0,0,10,18,0,225,0,0,0,8,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
35,05_I_37_06,WG_I_Yerrakalva 2_Devulapalli,IS Jagannadhaprm,0,0,0,0,12,19,1,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
36,05_I_37_07,WG_I_Yerrakalva 2_Devulapalli,IS Raghavaprm ,0,0,0,0,91,20,13,260,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
37,05_I_37_08,WG_I_Yerrakalva 2_Devulapalli,Kodigudem,0,0,0,0,40,15,17,204,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
38,05_I_37_09,WG_I_Yerrakalva 2_Devulapalli,Gundagolanukunta,0,0,0,0,16,9,28,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
39,05_I_37_10,WG_I_Yerrakalva 2_Devulapalli,Malleswaram,0,0,0,0,0,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
40,05_I_37_11,WG_I_Yerrakalva 2_Devulapalli,Kommara (N),0,0,0,0,8,7,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
41,05_I_37_12,WG_I_Yerrakalva 2_Devulapalli,Kommara [S],0,0,0,0,2,5,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
42,05_I_37_13,WG_I_Yerrakalva 2_Devulapalli,Ammapalem,0,0,0,0,40,29,131,95,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
43,05_I_37_14,WG_I_Yerrakalva 2_Devulapalli,Devulapalli,0,0,0,0,30,299,485,263,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
44,05_I_37_15,WG_I_Yerrakalva 2_Devulapalli,Lakkavaram ,0,0,0,0,81,293,301,159,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
