ecrop_village_code,iwm_location_id,iwm_location_uuid
5597,23133,4599b901-99d5-4209-b1ff-9de0725338e5
5664,23326,10f75c9f-4a69-42f5-86f6-9add776231d4
5665,23258,a7ff9697-ace4-4257-98df-2871850405b8
5592,23184,4ee77a80-1d7a-44b3-885b-9e310d7c82a6
5623,23486,19bf1dcf-8c00-4dad-a7c2-206eef0d31e3
5716,23399,ee2bcd2f-d5d8-48af-8ee8-bbe90adcf36c
5708,23464,cea4ae3e-3d1d-49b1-b233-0f36d680e444
5706,23485,7b778c1e-80bd-4f87-9243-14faca9ab79d
5624,23487,68290dda-8e79-4601-9b91-340b897bf9b2
5678,23494,3dc49981-d2fb-444a-bfdc-713b03f7df20
5702,23507,cdfd6da6-b454-4446-a6d1-aecc76cbef76
5589,23283,203e8b5e-d935-414b-8948-37acab20e117
5656,23429,d559d337-8793-49be-803b-a654dcc97967
5630,23480,7dcf3611-f908-4adb-a284-f3d006f498c7
5625,23603,b776cf0e-4a2e-4fda-ae79-aad6a8dd8017
5669,23610,73dada75-77e9-4a47-b339-4a44755095e7
5647,23636,ca73d0fa-8f5c-45c7-80f4-b03438ea7d80
5710,23640,8236a3d4-a388-4e48-ad08-9be391cc7287
5694,23201,5ae51725-6ea8-488c-aa86-0453a8c6e3be
5720,23667,5a78f76d-a774-4b3d-a370-1e8ad34f7df3
5585,23675,8b4696d5-a76f-40a2-a2a8-8bf98b11c4b1
5594,22227,4a052f21-29e7-493c-88d9-92eb76e7695f
5614,23693,f750d480-d686-40ec-bd56-f566ef0f558e
5632,23706,4443870a-51d0-4baa-bac4-43a06cf61cc1
5648,23619,ec51f236-8f4e-474a-b5ca-c108cca2cc24
5652,23629,fd0d17b9-01e6-4c8b-8f94-abc1795815dc
5699,23643,251226b5-a7b2-4e63-b724-ff6f357cb763
5661,19086,4b543d5a-f4e2-43d2-b2c4-c7a92ede4047
5683,22610,c7395f3c-dd89-4e27-9d82-d85f193bb0ee
5688,23701,232f350d-31aa-470f-9e9c-ba7b881bfa0d
5605,23682,61c29ef7-2a6c-4b89-873c-710dcbcdbc85
6529,23800,e2de3fce-1d24-469f-847e-9f854e12f8fd
5680,23769,1d2dac8a-8be8-4a59-896c-773d16654b73
5715,23826,0f6d0c9c-54c3-4cad-934e-72a6b39d2ec8
5636,23733,ed99b5d1-d6db-4b1a-95ff-5454694432c4
5606,23764,62362910-900f-418e-917d-391b66458ba7
