,,7,"Command area",,0.3,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
29,"Ctr_Kalangi_Nirpakota","DW",1215,,40,80,270,,120,240,900,,120,240,1215,,40,90,180,,120,240,900,,120,240,1215,,40,90,,,,,900,,120,240
30,"Ctr_Kalangi_Nirpakota","DW+PS/DCB",1350,,40,80,900,,120,240,1575,,120,240,1575,,40,90,675,,120,240,1350,,120,240,2250,,40,90,,,,,1350,,120,240
31,"Ctr_Kalangi_Nirpakota","BWs",3150,,40,80,1350,,120,240,2025,,120,240,2475,,40,90,1125,,120,240,1800,,120,240,4500,,40,90,,,,,1800,,120,240
32,"Ctr_Kalangi_Nirpakota","STW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
33,"Ctr_Kalangi_Nirpakota","MTW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
34,"Ctr_Kalangi_Nirpakota","Deep TW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
35,"Ctr_Kalangi_Nirpakota","Filter Points",4950,,40,80,1620,,120,240,2250,,120,240,4500,,40,90,1620,,120,240,2250,,120,240,2250,,40,90,,,,,2250,,120,240
36,"Ctr-Arani-Nagalapuram-Nagalapuram","DW",1350,,40,80,270,,120,240,900,,120,240,1215,,40,90,180,,120,240,900,,120,240,1215,,40,90,,,,,900,,120,240
37,"Ctr-Arani-Nagalapuram-Nagalapuram","DW+PS/DCB",1800,,40,80,900,,120,240,1575,,120,240,1575,,40,90,675,,120,240,1350,,120,240,2250,,40,90,,,,,1350,,120,240
38,"Ctr-Arani-Nagalapuram-Nagalapuram","BWs",3150,,40,80,1350,,120,240,2025,,120,240,2700,,40,90,1125,,120,240,1800,,120,240,4500,,40,90,,,,,1800,,120,240
39,"Ctr-Arani-Nagalapuram-Nagalapuram","STW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
40,"Ctr-Arani-Nagalapuram-Nagalapuram","MTW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
41,"Ctr-Arani-Nagalapuram-Nagalapuram","Deep TW",0,,40,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,0,,40,90,,,,,0,,120,240
42,"Ctr-Arani-Nagalapuram-Nagalapuram","Filter Points",4950,,40,80,1620,,120,240,2250,,120,240,4500,,40,90,1620,,120,240,2250,,120,240,2250,,40,90,,,,,2250,,120,240
43,"CTR_C_69_PAPAGHNI_KANDUKURU","DW",,,,,,,,,,,,,180,,50,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
44,"CTR_C_69_PAPAGHNI_KANDUKURU","DW+PS/DCB",,,,,,,,,,,,,1350,,50,90,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
45,"CTR_C_69_PAPAGHNI_KANDUKURU","BWs",,,,,,,,,,,,,2475,,50,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
46,"CTR_C_69_PAPAGHNI_KANDUKURU","STW",,,,,,,,,,,,,1620,,50,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
47,"CTR_C_69_PAPAGHNI_KANDUKURU","MTW",,,,,,,,,,,,,3240,,50,90,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
48,"CTR_C_69_PAPAGHNI_KANDUKURU","Deep TW",,,,,,,,,,,,,3240,,50,90,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
49,"CTR_C_69_PAPAGHNI_KANDUKURU","Filter Points",,,,,,,,,,,,,1620,,50,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
50,"Ctr_Papa_K Kota","DW",,,,,,,,,,,,,1215,,50,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
51,"Ctr_Papa_K Kota","DW+PS/DCB",,,,,,,,,,,,,1125,,50,90,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
52,"Ctr_Papa_K Kota","BWs",,,,,,,,,,,,,2025,,50,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
53,"Ctr_Papa_K Kota","STW",,,,,,,,,,,,,6930,,50,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
54,"Ctr_Papa_K Kota","MTW",,,,,,,,,,,,,14175,,50,90,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
