Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
62,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,23,KVB puram,,1653,1653,90915
63,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,14,Perindesam,,2061,2061,113355
64,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,20,MA Rajulakandriga,,2131,2131,117205
65,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,25,Subramanyapuram,,51,51,2805
66,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,8,Adaram,,1780,1780,97900
67,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,13,Ragigunta,,1004,1004,55220
68,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,19,Rangaiah gunta,,329,329,18095
69,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,26,Kanchera chenganna kandriga,,121,121,6655
70,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,29,Pathapalem,,947,947,52085
71,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,2,Kovanur,1721,0,1721,94655
72,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,,Gnanamamba puram @Pavanivarikandriga,1679,0,1679,92345
73,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,11,Bramhanacheruvu,,254,254,13970
74,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,,Venkatapuram,,486,486,26730
75,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,4,Angericheruvu,,273,273,15015
76,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,12,Bramhanapalli,,637,637,35035
77,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,16,Bakkapotukunta,,195,195,10725
78,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,15,Timmanaidugunta,,282,282,15510
79,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,18,Pudi (a) Chennakesava-puram,,1347,1347,74085
