,,,,,,,, Command,,,,Non command,,,,Poor command,,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,
43,ctr-pa-Godduvanka-Thavanampalli,Grantite,3,10,,,312.01,0,0,0,0,271.16,40.85,56.04,312.01,0,0,0,0,
44,ctr-pa-Gudipala-Gudipala,Grantite,3,10,,,255.29,0,0,0,0,255.29,0,45.67,255.29,0,0,0,0,
45,Ctr-pa-Kaigaleru,Grantite,3,10,,,176.93,0,0,0,0,176.93,0,52.04,176.93,0,0,0,0,
46,ctr-pa-kaundinya -Gangavaram,Grantite,3,10,,,242.77,0,0,0,0,237.65,5.12,102.85,242.77,0,0,0,0,
47,Ctr-pa-Kaundinya p1,Grantite,3,10,,,248.37,0,0,0,0,248.37,0,130.71,248.37,0,0,0,0,
48,Ctr-pa-kuppam vanka,Grantite,3,10,,,160.71,0,0,0,0,128.75,32.03,16.04,160.71,0,0,0,0,
49,ctr-pa-Laddigamvanka-Chowdepalli,Grantite,3,10,,,516.37,0,0,0,0,482.16,34.21,79.79,516.37,0,0,0,0,
50,ctr-pa-Mangalampetavanka-puthalapattu,Grantite,3,10,,,391.58,0,0,0,0,305.07,86.51,105.56,391.58,0,0,0,0,
51,ctr-pa-Niva-Chittoor,Grantite,3,10,,,414.58,0,0,0,0,414.58,0,0,414.58,0,0,0,0,
52,Ctr-pa-Palar east,Grantite,3,10,,,284.85,0,0,0,0,284.85,0,95.49,284.85,0,0,0,0,
53,Ctr-pa-palar west,Grantite,3,10,,,124.73,0,0,0,0,124.73,0,0,124.73,0,0,0,0,
54,Ctr-Papa-Molakalacheruvu,Grantite,3,10,,,46.79,0,0,0,0,32.48,14.31,0.52,46.79,0,0,0,0,
55,Ctr-Papa-Mudivedu,Grantite,3,10,,,265.73,0,0,0,0,165.97,99.76,50.82,265.73,0,0,0,0,
56,Ctr-Papa-Peddaeru east- Bandrevu,Grantite,3,10,,,116.93,0,0,0,0,64.02,52.91,19,116.93,0,0,0,0,
57,Ctr-Papa-PTM,Grantite,3,10,,,87.17,0,0,0,0,81.53,5.64,0.45,87.17,0,0,0,0,
