,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
49,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Alathuru,,0,,,,,,,,,,
50,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Taripedu,,0,,,,,,,,,,
51,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Chinnagunta,,,,,,,,,,,,
52,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Putteri,,,,,,,,,,,,
53,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Peddapalavedu,,,,,,,,,,,,
54,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Vijayagopalapuram,,,,,,,,,,,,
55,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Kananambedu,,,,,,,,,,,,
56,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adavaram,0,0,0,0,,,,,,,,
57,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Katrapalli,,0,,,,,,,,,,
58,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Thimmasamudram,,0,,,,,,,,,,
59,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Suramala,,0,,,,,,,,,,
60,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chellamambapuram,,0,,,,,,,,,,
61,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kalathuru,,0,,,,,,,,,,
62,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,KVB puram,,0,,,,,,,,,,
63,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kandluru,,0,,,,,,,,,,
64,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,MA Rajulakandriga,,,,,,,,,,,,
65,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Guntipedu,,,,,,,,,,,,
66,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adaram,,,,,,,,,,,,
67,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bonupalle,,,,,,,,,,,,
68,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Rangaiah gunta,,,,,,,,,,,,
69,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchanapalli,,,,,,,,,,,,
70,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pathapalem,,,,,,,,,,,,
71,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Dongalamadugu,,,,,,,,,,,,
72,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Gnanamamba puram @Pavanivarikandriga,,,,,,,,,,,,
73,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,,,,,,,,,
