S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
47,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Katuru,3044,4,10,45,16.8,0.051,3.5,30,90,5.37,16.1,21.46
48,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Bhavani sankarapuram,,,,45,0,0,3.5,30,90,0,0,0
49,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Alathuru,,,,45,0,0,3.5,30,90,0,0,0
50,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Taripedu,,,,45,0,0,3.5,30,90,0,0,0
51,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Chinnagunta,,,,45,0,0,3.5,30,90,0,0,0
52,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Putteri,,,,45,0,0,3.5,30,90,0,0,0
53,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Peddapalavedu,,,,45,0,0,3.5,30,90,0,0,0
54,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Vijayagopalapuram,,,,45,0,0,3.5,30,90,0,0,0
55,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Kananambedu,983,4,10,45,16.8,0.017,3.5,30,90,1.73,5.2,6.93
56,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adavaram,,,,45,0,0,3.5,90,90,0,0,0
57,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Katrapalli,,,,45,0,0,3.5,30,90,0,0,0
58,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Thimmasamudram,,,,45,0,0,3.5,30,90,0,0,0
59,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Suramala,,,,45,0,0,3.5,30,90,0,0,0
60,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chellamambapuram,2419,4,10,45,16.8,0.041,3.5,30,90,4.26,12.79,17.06
61,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kalathuru,,,,45,0,0,3.5,30,90,0,0,0
