GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Ctr-pa-Chinnaeru,CTR_PALAR__CHINNAERU_NADIMURU-MB,Alugumanipalli,Alugumanipalle
Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,AM Puram,Alimelu Manga Puram
Ctr-Papa-PTM,CTR_PAPA_PTM VANKA_PTM-MB,Amalla Banda Kota,Amallabandakota
Ctr-Arani-Nagalapuram-Nagalapuram,CTR_ARANI__ARANI_NARAYANAVANAM-MB,Ambakam,Ambakam
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,Ambodarapalli,Ambodharapalle
Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,Amburu,Ambur
Ctr-Ch-Marripadu-Tarikonda,CTR_CH_MARRIPADUVANKA_TARIKONDA-MB,Amilepalli,Amilepalle
Ctr-Swarna-Valagalamanda-Muchuvolu,CTR_SWARNA__VALAGALAMANDA_MUCHUVOLU-MB,Ammacheruvu,Ammacheruvu
Ctr-Ch-Peddavagu West-Somala,CTR_CH__PEDDAVAGUWEST_SOMALA-MB,Ammagaripalli,Ammagaripalle
ctr-pa-Mangalampetavanka-puthalapattu,CTR_PALAR__M.C.VANKA_PUTHALAPATTU-MB,Ammagaripalli,Ammagaripalle
Ctr-Swarna-Thondamanadu-Yerpedu,CTR_SWARNA__THONDAMANADU_YERPEDU-MB,Ammapalem,Ammapalem-1
Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,Ammavaripatteda,Ammavaripatteda
Ctr-pa-Palar east,CTR_PALAR__PALAREAST_RAJUPETA-MB,Ammavaripeta,Ammavaripeta-1
Ctr-Kor-S R Puram,CTR_KORATLIAR__S.R.PURAM_S.R.PURAM-MB,Amudala,Amudala
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,Amudala Putturu,Amudalaputhur
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Anagallu,Anagallu
Ctr-Swarna-Avvachari Kona-Mamanduru,CTR_SWARNA__AVVACHARIKONA_MAMANDURU-MB,Anagunta,Anagunta
Ctr-Swarna-Poli-Poli,CTR_SWARNA__POLI_POLI-MB,Anantapadmanabhapuram,Ananthapadmanabha Puram
CTR_C_69_PAPAGHNI_KANDUKURU,CTR_PAPA_PAPAGHNI_KANDUKURU-MB,Anantapuram,Ananthapuram-4
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Ananthapuram,Ananthapuram-5
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Anchinayanikuppam,Anchinayanikuppam
Ctr-Ch-Thettuvanka-Vayalpadu,CTR_CH_TETTUVANKA_VOYALPADU-MB,Angallu,Angallu
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Anganamalakothur,Anganamalakothuru
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Angericheruvu,Angeri Cheruvu
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Anikera,Anikera
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Anjuru,Anjuru
Ctr-pa-Kaundinya p1,CTR_PALAR__KOUNDINYA P1_BAIPAGARIPALLE-MB,Ankemvaripalli,Ankamvaripalle
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Ankireddipipalle,Ankireddipalle-1
Ctr-Ch-Regadakalva-Madanapalle,CTR_CH_REGADAKALVA_MADANAPALLE-MB,Ankisettipalli,Ankisettipalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Annagarlapalli,Anagarlapalle
Ctr-Swarna-Kalyani_Tiruchanuru,CTR_SWARNA__KALYANI_TIRUCHANURU-MB,Annasanipalli,Annasamipalle
Ctr-Kor-Annuru,CTR_KORATLIAR__ANNURU_ANNURU-MB,Annuru,Annur
Ctr-Kor-Kundetivanka,CTR_KORATLIAR__KUNDETIVANKA_VEDURUKUPPAM-MB,Annuru kasabagayat,Annurkasabagayat
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,Anupalle,Anupalle-1
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,Anupalle Part (U I),Anupalle-1
Ctr-Swarna-Rayalcheruvu-Durgasamudram,CTR_SWARNA__RAYALACHERUVU_DURGASAMUDRAM-MB,Anuppalli,Anupalle
Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,Appaiahpalem,Appaiahpalem
Ctr-Swarna-Poli-Poli,CTR_SWARNA__POLI_POLI-MB,Appalayagunta,Appalayagunta
Ctr-Arani-Nagalapuram-Nagalapuram,CTR_ARANI__ARANI_NARAYANAVANAM-MB,Appambattu,Appambattu
Ctr-pa-Peddapanjani,CTR_PALAR__PEDDAPANJANIVANKA_PEDDAPANJANI-MB,Appinepalli,Appinapalle
ctr-pa-Ramasamudram,CTR_PALAR__RAMASAMUDRAM_RAMASAMUDRAM-MB,Aradigunta,Aradigunta
ctr-pa-Godduvanka-Thavanampalli,CTR_PALAR__GODDUVANKA_THAVANAMPALLE-MB,Aragonda,Aragonda-1
Ctr-Arani-Arani-Narayana vanam,CTR_ARANI__NAGALAPURAM_NAGALAPURAM-MB,Arai,Arai
Ctr-Ch-Thettuvanka-Vayalpadu,CTR_CH_TETTUVANKA_VOYALPADU-MB,Aramadaka,Aramadaka
Ctr-Arani-Arani-Narayana vanam,CTR_ARANI__NAGALAPURAM_NAGALAPURAM-MB,Aranyamkandriga,Aranyam Khandriga
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Arathala,Arathala
Ctr-Swarna-Thondamanadu-Yerpedu,CTR_SWARNA__THONDAMANADU_YERPEDU-MB,Arava kothuru,Aravakothuru
Ctr-Swarna-Bheema-Kotala,CTR_SWARNA__BHEEMA_KOTALA-MB,Arepalli,Arepalle
Ctr-Ch-Marripadu-Tarikonda,CTR_CH_MARRIPADUVANKA_TARIKONDA-MB,Arigalavaripalli,Arigalavaripalle
ctr-pa-Laddigamvanka-Chowdepalli,CTR_PALAR__LADDIGAMVANKA_CHOWDEPALLE-MB,Arikala,Arikela
Ctr-Kor-S R Puram,CTR_KORATLIAR__S.R.PURAM_S.R.PURAM-MB,Arimakulapalli,Arimakulapalle
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Arimuthanapalli,Arimuthanapalle
Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,Aruduru,Arudur
Ctr-Swarna-Thondamanadu-Yerpedu,CTR_SWARNA__THONDAMANADU_YERPEDU-MB,Arugorla kandriga,Arugorla Khandriga
Ctr-Arani-Sivagiri Vanka-Nindra,CTR_ARANI__SIVAGIRIVANKA_NINDRA-MB,Aruru,Arur
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Athikuppam,Attikuppam
