S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
29,Ctr-Ch-Valligatla-Kanduru,CTR_CH__VALLIGATLA_KANDURU-MB,14.07,7.64,15,6.89,,,,,1,,901.2,809.2,92,731.8,675.2,56.6
30,Ctr-Ch-Peddavagu West-Somala,CTR_CH__PEDDAVAGUWEST_SOMALA-MB,14.07,7.64,15,6.89,,,,,1,,901.2,809.2,92,731.8,675.2,56.6
31,Ctr_Ch_Peddaupparapalle_Peddaupparapalle,CTR_CH__PEDDAUPPARAPALLE_PEDDAUPPARAPALLE-MB,14.07,7.64,15,6.89,,,,,1,,901.2,809.2,92,731.8,675.2,56.6
32,Ctr-Ch-Peddavagueast-Sadum,CTR_CH__PEDDAVAGUEAST_SODUM-MB,14.07,7.64,15,6.89,,,,,1,,883.2,794.2,89,733.2,687.4,45.8
33,Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,13.9,14.81,47.19,19.34,,,,,1,,830.3,766.5,64,510.6,477.8,32.8
34,Ctr-ch-GM Vanka-Mellacheruvu,CTR_CH__GUNDLAMALLESWARAVANKA_MELLACHERUV-MB,17.85,13.95,15,9.27,,,,,1,,758.9,687.4,71.5,569.6,536.6,33
35,Ctr-Ch-Jillelamanda-Jillelamanda,CTR_CH__JILLELAMANDA_JILLELAMANDA-MB,17.85,6.78,18.2,6.66,,,,,1,,693.3,630.2,63.1,610.6,574.2,36.4
36,Ctr-Ch-Gajuleru-Y V Palem,CTR_CH__GAJULERU_Y.V.PALEM-MB,28.86,11.66,26.45,13.78,,,,,1,,749.6,680.7,68.9,822.4,718.2,104.2
37,Ctr-Swarna-Nagapatla-Nagapatla,CTR_SWARNA__NAGAPATLA_NAGAPATLA-MB,11.25,8.25,11.8,8.79,,,,,1,,1020.8,904.1,116.7,1065.8,900.8,165
38,Ctr-Swarna-Bheema-Kotala,CTR_SWARNA__BHEEMA_KOTALA-MB,14.49,8.53,14.87,8.33,,,,,1,,1020.8,904.1,116.7,1065.8,900.8,165
