,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
68,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Rangaiah gunta,,,,0
69,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchera chenganna kandriga,,,,0
70,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pathapalem,,,,0
71,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kovanur,,,,0
72,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Gnanamamba puram @Pavanivarikandriga,,,,0
73,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanacheruvu,,,,0
74,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Venkatapuram,,,,0
75,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Angericheruvu,,,,0
76,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanapalli,,,,0
77,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bakkapotukunta,,,,0
78,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmanaidugunta,,,,0
79,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pudi (a) Chennakesava-puram,,,,0
80,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kandluru,,,,0
81,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Anjuru,,,,0
82,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Guntipedu,,,,0
83,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,0
84,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bonupalle,,,,0
85,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sri Krishnapuram,,,,0
86,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchanapalli,,,,0
87,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chittatur,,,,0
88,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Dongalamadugu,,,,0
89,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sivanadhapalem,,,,0
90,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,0
91,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,0
92,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmabhupalapuram,,,,0
