GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
NLR_C_74_DUGGARAJUPATNAM,NLR_C_74_DUGGARAJUPATNA-MB,Gangapalem,Gangupalem
NLR_C_72_NELLORE,NLR_C_72_NELLORE-MB,Gangapatnam,Gangapatnam
NLR_C_72_KOVUR,NLR_C_72_KOVUR-MB,Gangavaram,Gangavaram-6
NLR_C_61_S.R.PURAM,NLR_C_61_SR_PURAM-MB,Gangavaram,Gangavaram-6
NLR_C_72_ALLAMPADU,NLR_C_72_ALLAMPADU-MB,Gangulavaricheruvupalle,Gangulavari Cheruvu Palle
NLR_C_61_S.R.PURAM,NLR_C_61_SR_PURAM-MB,Gannepalle,Gannepalle-1
NLR_C_62_CHINNA ANNALUR,NLR_C_62_CHINNA ANNALUR-MB,Ganugapenta,Ganugapenta-1
NLR_C_73_GONUPALLE,NLR_C_73_GONUPALLI-MB,Garimanapenta,Garimenapenta-1
NLR_C_61_KOTTAPETA,NLR_C_61_KOTTAPETA-MB,Garimenapenta,Garimenapenta
NLR_C_62_JALADANKI,NLR_C_62_JALADANKI-MB,Gattupalli,Gattupalle
NLR_C_73_DEGAPUDI,NLR_C_73_DEGAPUDI-MB,Gilakapadu,Gilakapadu
NLR_C_61_KOTTAPETA,NLR_C_61_KOTTAPETA-MB,Godavalluru,Gudavalluru (Kondapuram)
NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,Gogulapalli,Gogulapalle
NLR_C_74_PERIMIDI,NLR_C_74_PERIMIDI-MB,Gollagunta,Gollagunta-1
NLR_C_72_PRABHUGIRIPATNAM,NLR_C_72_PRABHUGIRIPATN-MB,Gollakandukur,Golla Kandukur
NLR_C_76_TADA,NLR_C_76_TADA-MB,GOLLAMULUVU,Gollalamuluvu
NLR_C_75_REDDYPALEM,NLR_C_75_REDDYPALEM-MB,Gollapalem,Gollapalem
NLR_C_72_PRABHUGIRIPATNAM,NLR_C_72_PRABHUGIRIPATN-MB,Gollapalle,Gollapalle-6
NLR_C_61_VEMPADU,NLR_C_61_VEMPADU-MB,Gollapalli,Gollapalle
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Gollapalli,Gollapalle
NLR_C_73_DAKKILI,NLR_C_73_DAKKILI-MB,Gollavanigunta,Gollavarigunta
NLR_C_73_DEGAPUDI,NLR_C_73_DEGAPUDI-MB,Gonu narasayapalem,Gonu Narasayapalem
NLR_C_73_GONUPALLE,NLR_C_73_GONUPALLI-MB,Gonupalli,Gonupalle-1
NLR_C_76_TADA,NLR_C_76_TADA-MB,Gopala reddy palem,Gopalareddipalem
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Gotlagunta,Gotlagunta
NLR_C_72_KODAVALUR,NLR_C_72_KODAVALUR-MB,Gotlapalem,Gotlapalem
NLR_C_62_GOTTIGUNDALA,NLR_C_62_GOTTIGUNDALA-MB,Gottigundala,Gottigundala-1
NLR_C_73_BALAYAPALLE,NLR_C_73_BALAYAPALLE-MB,Gottikadu,Gottikadu
NLR_C_74_YAKASIRI,NLR_C_74_YAKASIRI-MB,Gottiprolu,Gottiprolu
NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,Gowravaram,Gowravaram
NLR_C_72_ANANTASAGARAM,NLR_C_72_ANANTASAGARAM-MB,Gowravaram,Gowravaram
NLR_C_62_BOGOLE,NLR_C_62_BOGOLE-MB,Graddagunta,Graddagunta
NLR_C_76_TADA,NLR_C_76_TADA-MB,GRADDAGUNTA,Graddagunta
NLR_C_74_OZILI,NLR_C_74_OZILI-MB,Graddagunta,Graddagunta
NLR_C_74_OZILI,NLR_C_74_OZILI-MB,Graddagunta agraharam,Garudagunta Agraharam
NLR_C_73_DEGAPUDI,NLR_C_73_DEGAPUDI-MB,Griddalur,Griddalur
NLR_C_74_KOTA,NLR_C_74_KOTA-MB,Gudali,Gudali
NLR_C_61_S.R.PURAM,NLR_C_61_SR_PURAM-MB,Gudinarava,Gudinarava
NLR_C_72_A.S.PETA,NLR_C_72_A.S.PETA-MB,Gudipadu,Gudipadu-7
NLR_C_72_NELLORE,NLR_C_72_NELLORE-MB,Gudipallipadu,Gudipallipadu
NLR_C_62_BRAHMANAKRAKA,NLR_C_62_BRAHMANAKRAKA-MB,Gudladona,Gudladona
NLR_C_73_DEGAPUDI,NLR_C_73_DEGAPUDI-MB,Gulimcherla,Gulimcherla
NLR_C_72_A.S.PETA,NLR_C_72_A.S.PETA-MB,Gumparlapadu,Gumparlapadu
