Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
70,09_C_76_42,NLR_C_76_TADA,29,Jangalapalli,0,250,250,13750,,
71,09_C_76_42,NLR_C_76_TADA,32,Mannemutturu,0,2342,2342,128810,,
72,09_C_76_42,NLR_C_76_TADA,33,Degapalem,0,875,875,48125,,
73,09_C_76_42,NLR_C_76_TADA,34,K.C.N.gunta,0,384,384,21120,,
74,09_C_76_42,NLR_C_76_TADA,35,Gopala reddy palem,0,1291,1291,71005,,
75,09_C_76_42,NLR_C_76_TADA,36,Kudiri ,0,839,839,46145,,
76,09_C_76_42,NLR_C_76_TADA,37,Kudiritippa kandriga,0,300,300,16500,,
77,09_C_76_42,NLR_C_76_TADA,3,Pulivendra,0,549,549,30195,,
78,09_C_76_42,NLR_C_76_TADA,4,Konduru,0,1792,1792,98560,,
79,09_C_76_42,NLR_C_76_TADA,6,GOLLAMULUVU,0,225,225,12375,,
80,09_C_76_42,NLR_C_76_TADA,7,VELAGALA VAGU,0,0,0,0,,
81,09_C_76_42,NLR_C_76_TADA,17,PALLEPALEM,0,105,105,5775,,
82,09_C_76_42,NLR_C_76_TADA,9,THOPU KHANDRIKA,0,0,0,0,,
83,09_C_76_42,NLR_C_76_TADA,10,KARIJATHA,0,1661,1661,91355,,
84,09_C_76_42,NLR_C_76_TADA,11,VATAMBEDU,0,2507,2507,137885,,
85,09_C_76_42,NLR_C_76_TADA,12,DEVUNI KHANDRIKA,0,0,0,0,,
86,09_C_76_42,NLR_C_76_TADA,13,AKKAMPETA,0,608,608,33440,,
87,09_C_76_42,NLR_C_76_TADA,14,GRADDAGUNTA,0,1937,1937,106535,,
88,09_C_76_42,NLR_C_76_TADA,15,ANDAGUNDALA,0,2560,2560,140800,,
89,09_C_76_42,NLR_C_76_TADA,16,TADA KHANDRIKA,0,6123,6123,336765,,
90,09_C_76_42,NLR_C_76_TADA,17,TADA,0,4220,4220,232100,,
91,09_C_76_42,NLR_C_76_TADA,18,Poodi,0,1351,1351,74305,,
92,09_C_76_42,NLR_C_76_TADA,19,KARUR,0,4410,4410,242550,,
93,09_C_76_42,NLR_C_76_TADA,20,BHEEMULAVARIPALEM,0,2285,2285,125675,,
94,09_C_76_42,NLR_C_76_TADA,21,PERIAVATTU,0,1773,1773,97515,,
95,09_C_76_42,NLR_C_76_TADA,22,RAMAPURAM,0,3849,3849,211695,,
96,09_C_76_42,NLR_C_76_TADA,23,PANNAMGADU,0,528,528,29040,,
97,09_C_76_42,NLR_C_76_TADA,0,Pulicat lake,0,0,0,0,,
99,09_C_72_12,NLR_C_72_A.S.PETA,5,Ravulakollu,,367,367,20185,,
100,09_C_72_12,NLR_C_72_A.S.PETA,6,Kaligiri ,,8068,8068,443740,,
101,09_C_72_12,NLR_C_72_A.S.PETA,7,Veerannakollu,,1533,1533,84315,,
102,09_C_72_12,NLR_C_72_A.S.PETA,8,Nagasamudram,,2969,2969,163295,,
103,09_C_72_12,NLR_C_72_A.S.PETA,9,Venkannapalem,,398,398,21890,,
104,09_C_72_12,NLR_C_72_A.S.PETA,10,Peddaannalur,,586,586,32230,,
105,09_C_72_12,NLR_C_72_A.S.PETA,11,Velagapadu,,1640,1640,90200,,
106,09_C_72_12,NLR_C_72_A.S.PETA,16,Kavalimustapuram,,926,926,50930,,
107,09_C_72_12,NLR_C_72_A.S.PETA,17,Kothapeta,,597,597,32835,,
108,09_C_72_12,NLR_C_72_A.S.PETA,11,Vinjamur ,,20639,20639,1135145,,
109,09_C_72_12,NLR_C_72_A.S.PETA,12,Bukkapuram,,1039,1039,57145,,
110,09_C_72_12,NLR_C_72_A.S.PETA,13,Chandrapadia,,1286,1286,70730,,
111,09_C_72_12,NLR_C_72_A.S.PETA,14,Chintalapalem,,778,778,42790,,
112,09_C_72_12,NLR_C_72_A.S.PETA,7,Nabbinagaram,,272,272,14960,,
113,09_C_72_12,NLR_C_72_A.S.PETA,8,Pamidipadu,,350,350,19250,,
114,09_C_72_12,NLR_C_72_A.S.PETA,9,Nellorepalem,1137,,1137,62535,,
115,09_C_72_12,NLR_C_72_A.S.PETA,20,Atmakur ,,29419,29419,1618045,,
116,09_C_72_12,NLR_C_72_A.S.PETA,21,Vasili,,2050,2050,112750,,
117,09_C_72_12,NLR_C_72_A.S.PETA,1,Dubagunta,,1033,1033,56815,,
118,09_C_72_12,NLR_C_72_A.S.PETA,2,Chowtabheemavaram,,1556,1556,85580,,
119,09_C_72_12,NLR_C_72_A.S.PETA,3,Gudipadu,,2782,2782,153010,,
120,09_C_72_12,NLR_C_72_A.S.PETA,4,Gumparlapadu,,2005,2005,110275,,
121,09_C_72_12,NLR_C_72_A.S.PETA,5,Pandipadu,,726,726,39930,,
122,09_C_72_12,NLR_C_72_A.S.PETA,6,Peddaabbipuram,,1486,1486,81730,,
123,09_C_72_12,NLR_C_72_A.S.PETA,7,Rajavolu,,1626,1626,89430,,
124,09_C_72_12,NLR_C_72_A.S.PETA,8,Ponugodu,,1141,1141,62755,,
125,09_C_72_12,NLR_C_72_A.S.PETA,9,Anumasamudrampeta,4746,,4746,261030,,
126,09_C_72_12,NLR_C_72_A.S.PETA,10,Kakarlapadu,,513,513,28215,,
127,09_C_72_12,NLR_C_72_A.S.PETA,11,Zammavaram,,1267,1267,69685,,
128,09_C_72_12,NLR_C_72_A.S.PETA,12,Kavali yadavalli,2100,,2100,115500,,
129,09_C_72_12,NLR_C_72_A.S.PETA,13,Velpulagunta,,455,455,25025,,
130,09_C_72_12,NLR_C_72_A.S.PETA,15,Akbarabad,,649,649,35695,,
131,09_C_72_12,NLR_C_72_A.S.PETA,16,Chiramana,,2142,2142,117810,,
132,09_C_72_12,NLR_C_72_A.S.PETA,17,Chandalurupadu,,682,682,37510,,
133,09_C_72_12,NLR_C_72_A.S.PETA,18,Anumasamudram,,3240,3240,178200,,
134,09_C_72_12,NLR_C_72_A.S.PETA,19,Kuppurupadu,,532,532,29260,,
135,09_C_72_12,NLR_C_72_A.S.PETA,20,Kondameedikonduru,,736,736,40480,,
136,09_C_72_12,NLR_C_72_A.S.PETA,1,Peramana,,2054,2054,112970,,
137,09_C_72_12,NLR_C_72_A.S.PETA,2,Neelayapalem,,317,317,17435,,
138,09_C_72_12,NLR_C_72_A.S.PETA,3,Kolagatla,1672,,1672,91960,,
140,09_c_72_15,NLR_C_72_ANANTASAGARAM,0,Yerrakonda hills,,,0,0,,
141,09_c_72_15,NLR_C_72_ANANTASAGARAM,0,Velikonda hills,,,0,0,,
142,09_c_72_15,NLR_C_72_ANANTASAGARAM,14,Naginenigunta,,1407,1407,77385,,
143,09_c_72_15,NLR_C_72_ANANTASAGARAM,15,Singannapalle,,1618,1618,88990,,
144,09_c_72_15,NLR_C_72_ANANTASAGARAM,16,Padamatinaidupalle,,3149,3149,173195,,
145,09_c_72_15,NLR_C_72_ANANTASAGARAM,17,Chunchuluru,,2059,2059,113245,,
146,09_c_72_15,NLR_C_72_ANANTASAGARAM,18,Pallavolu,,2017,2017,110935,,
147,09_c_72_15,NLR_C_72_ANANTASAGARAM,19,Ponguru,,3756,3756,206580,,
148,09_c_72_15,NLR_C_72_ANANTASAGARAM,17,Bandarupalli,,2235,2235,122925,,
149,09_c_72_15,NLR_C_72_ANANTASAGARAM,18,Kanupurupalli,,843,843,46365,,
150,09_c_72_15,NLR_C_72_ANANTASAGARAM,0,Velikonda hills,,,0,0,,
151,09_c_72_15,NLR_C_72_ANANTASAGARAM,1,Chapuralllapalle,,450,450,24750,,
152,09_c_72_15,NLR_C_72_ANANTASAGARAM,2,Bommavaram,,2179,2179,119845,,
153,09_c_72_15,NLR_C_72_ANANTASAGARAM,3,Tholijapuram,,0,0,0,,
154,09_c_72_15,NLR_C_72_ANANTASAGARAM,4,Gowravaram,,1137,1137,62535,,
155,09_c_72_15,NLR_C_72_ANANTASAGARAM,5,Amanichiruvella,2088,,2088,114840,,
156,09_c_72_15,NLR_C_72_ANANTASAGARAM,6,Inagalur,1288,,1288,70840,,
157,09_c_72_15,NLR_C_72_ANANTASAGARAM,7,Anantasagaram,8588,,8588,472340,,
158,09_c_72_15,NLR_C_72_ANANTASAGARAM,8,Kamereddipadu,946,,946,52030,,
159,09_c_72_15,NLR_C_72_ANANTASAGARAM,9,Mangupalle,3319,,3319,182545,,
160,09_c_72_15,NLR_C_72_ANANTASAGARAM,10,Patalapalle,1540,,1540,84700,,
161,09_c_72_15,NLR_C_72_ANANTASAGARAM,11,Padamatikambhampadu,3274,,3274,180070,,
162,09_c_72_15,NLR_C_72_ANANTASAGARAM,12,Somasila,4420,,4420,243100,,
163,09_c_72_15,NLR_C_72_ANANTASAGARAM,13,Uppalapadu,1219,,1219,67045,,
164,09_c_72_15,NLR_C_72_ANANTASAGARAM,14,Varikuntapadu,,902,902,49610,,
165,09_c_72_15,NLR_C_72_ANANTASAGARAM,15,Bedusupalli,1301,,1301,71555,,
166,09_c_72_15,NLR_C_72_ANANTASAGARAM,16,Devarayapalli-1,2083,,2083,114565,,
167,09_c_72_15,NLR_C_72_ANANTASAGARAM,17,Devarayapalli-II,2942,,2942,161810,,
168,09_c_72_15,NLR_C_72_ANANTASAGARAM,19,Revuru,,3296,3296,181280,,
170,09_C_72_17,NLR_C_72_CHEJARLA,2,Yanamadala,,808,808,44440,,
171,09_C_72_17,NLR_C_72_CHEJARLA,3,Chejarla,6172,,6172,339460,,
172,09_C_72_17,NLR_C_72_CHEJARLA,4,Timmayapalem,902,,902,49610,,
173,09_C_72_17,NLR_C_72_CHEJARLA,15,Kalayapalem,212,,212,11660,,
174,09_C_72_17,NLR_C_72_CHEJARLA,16,Nagulavellaturu,1746,,1746,96030,,
175,09_C_72_17,NLR_C_72_CHEJARLA,17,Billupadu,545,,545,29975,,
176,09_C_72_17,NLR_C_72_CHEJARLA,18,Kakivoya,1411,,1411,77605,,
177,09_C_72_17,NLR_C_72_CHEJARLA,9,Topugunta,,2635,2635,144925,,
178,09_C_72_17,NLR_C_72_CHEJARLA,15,Cheepinapi,,1715,1715,94325,,
179,09_C_72_17,NLR_C_72_CHEJARLA,16,Chintalatmakur,,1407,1407,77385,,
180,09_C_72_17,NLR_C_72_CHEJARLA,17,Pallakonda,,1107,1107,60885,,
181,09_C_72_17,NLR_C_72_CHEJARLA,18,Kesamanenipalle,,1735,1735,95425,,
182,09_C_72_17,NLR_C_72_CHEJARLA,19,Chinagopavaram,,1575,1575,86625,,
183,09_C_72_17,NLR_C_72_CHEJARLA,20,Kanupurupalle,,3125,3125,171875,,
185,09_C_72_11,NLR_C_72_GANDLAVEEDU,8,Gundemadakala,0,2215,2215,121825,,
186,09_C_72_11,NLR_C_72_GANDLAVEEDU,9,Shankavaram,0,1436,1436,78980,,
187,09_C_72_11,NLR_C_72_GANDLAVEEDU,10,Nallakonda,0,1854,1854,101970,,
188,09_C_72_11,NLR_C_72_GANDLAVEEDU,15,Kistipuram A,0,950,950,52250,,
189,09_C_72_11,NLR_C_72_GANDLAVEEDU,8,Duttalur ,0,6509,6509,357995,,
190,09_C_72_11,NLR_C_72_GANDLAVEEDU,9,Brahmeswaram,0,737,737,40535,,
191,09_C_72_11,NLR_C_72_GANDLAVEEDU,10,Yerukollu,0,1366,1366,75130,,
192,09_C_72_11,NLR_C_72_GANDLAVEEDU,11,Rachavaripalle,0,996,996,54780,,
