"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
42,"09_C_62_9","NLR_C_62_BOGOLE","Gogulapalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"09_C_62_9","NLR_C_62_BOGOLE","Allur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"09_C_62_9","NLR_C_62_BOGOLE","Graddagunta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"09_C_62_9","NLR_C_62_BOGOLE","Batrakagollu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"09_C_62_7","NLR_C_62_JALADANKI","Gattupalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"09_C_62_7","NLR_C_62_JALADANKI","Jaladanki",,,,,,,,,,,1,0.2,1,0.1,6,0.6,3,0.3,10,1,,,,,,,,,,
49,"09_C_62_7","NLR_C_62_JALADANKI","Rajovari Chintalapalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"09_C_62_8","NLR_C_62_KAVALI","Jammalapalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"09_C_62_8","NLR_C_62_KAVALI","Chelamcherla",,,,,,,,,,,4,0.8,,,3,0.3,,,,,,,,,,,,,,
53,"09_C_62_8","NLR_C_62_KAVALI","Kottapalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"09_C_62_8","NLR_C_62_KAVALI","Maddurupadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"09_C_62_8","NLR_C_62_KAVALI","Rudrakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"09_C_62_8","NLR_C_62_KAVALI","Chennayapalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"09_C_62_8","NLR_C_62_KAVALI","Anemadugu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"09_C_62_8","NLR_C_62_KAVALI","Tummalapenta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"09_C_62_8","NLR_C_62_KAVALI","Kavali  II",,,,,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
