,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
44,"09_C_62_9","NLR_C_62_BOGOLE","Graddagunta",,4,0,,,,,,,,,,,,,,,,,,
45,"09_C_62_9","NLR_C_62_BOGOLE","Batrakagollu",,,,,,,,,40,0,,,,,,,,,,,
46,"09_C_62_9","NLR_C_62_BOGOLE","Total",0,371,595,0,0,0,0,0,333,136,0,0,0,0,0,0,0,0,0,0,0
47,"09_C_62_7","NLR_C_62_JALADANKI","Gattupalli",,,,,,,,,14,128,,,,,,,,,,,
48,"09_C_62_7","NLR_C_62_JALADANKI","Jaladanki",,88,173,,,,,,,,,,,,,,,,,,
49,"09_C_62_7","NLR_C_62_JALADANKI","Rajovari Chintalapalem",,,,,,,,,10,40,,,,,,,,,,,
50,"09_C_62_7","NLR_C_62_JALADANKI","Total",0,88,173,0,0,0,0,0,24,168,0,0,0,0,0,0,0,0,0,0,0
51,"09_C_62_8","NLR_C_62_KAVALI","Jammalapalem",,,,,,,,,13,30,,,,,,,,,,,
52,"09_C_62_8","NLR_C_62_KAVALI","Chelamcherla",,,,,,,,,51,13,,,,,,,,,,,
53,"09_C_62_8","NLR_C_62_KAVALI","Kottapalli",,,,,,,,,24,31,,,,,,,,,,,
54,"09_C_62_8","NLR_C_62_KAVALI","Maddurupadu",,,,,,,,,106,0,,,,,,,,,,,
55,"09_C_62_8","NLR_C_62_KAVALI","Rudrakota",,,,,,,,,44,64,,,,,,,,,,,
56,"09_C_62_8","NLR_C_62_KAVALI","Chennayapalem",,,,,,,,,8,9,,,,,,,,,,,
57,"09_C_62_8","NLR_C_62_KAVALI","Anemadugu",,,,,,,,,3,0,,,,,,,,,,,
58,"09_C_62_8","NLR_C_62_KAVALI","Tummalapenta",,,,,,,,,33,98,,,,,,,,,,,
59,"09_C_62_8","NLR_C_62_KAVALI","Kavali  II",,4,0,,,,,,,,,,,,,,,,,,
60,"09_C_62_8","NLR_C_62_KAVALI","Kavali I (U)",,31,2,,,,,,,,,,,,,,,,,,
61,"09_C_62_8","NLR_C_62_KAVALI","Budamgunta",,,,,,,,,11,7,,,,,,,,,,,
62,"09_C_62_8","NLR_C_62_KAVALI","Musanuru",,,,,,,,,74,0,,,,,,,,,,,
63,"09_C_62_8","NLR_C_62_KAVALI","Mannangidinne",,,,,,,,,3,0,,,,,,,,,,,
64,"09_C_62_8","NLR_C_62_KAVALI","Tallapalem",,,,,,,,,66,51,,,,,,,,,,,
65,"09_C_62_8","NLR_C_62_KAVALI","Total",0,35,2,0,0,0,0,0,436,303,0,0,0,0,0,0,0,0,0,0,0
66,"09_C_76_42","NLR_C_76_TADA","Mizuru",0,0,0,0,0,0,0,,0,22,,,,,,,,,,,
67,"09_C_76_42","NLR_C_76_TADA","Krishna reddi tagelu",,,,,,,,,0,0,,,,,,,,,,,
68,"09_C_76_42","NLR_C_76_TADA","Davidagunta",,,,,,,,,0,1,,,,,,,,,,,
69,"09_C_76_42","NLR_C_76_TADA","Pandalagunta",,,,,,,,,0,21,,,,,,,,,,,
70,"09_C_76_42","NLR_C_76_TADA","Jangalapalli",,,,,,,,,0,1,,,,,,,,,,,
71,"09_C_76_42","NLR_C_76_TADA","Mannemutturu",,,,,,,,,5,0,,,,,,,,,,,
72,"09_C_76_42","NLR_C_76_TADA","Degapalem",,,,,,,,,0,10,,,,,,,,,,,
73,"09_C_76_42","NLR_C_76_TADA","K.C.N.gunta",,,,,,,,,0,0,,,,,,,,,,,
74,"09_C_76_42","NLR_C_76_TADA","Gopala reddy palem",,,,,,,,,0,16,,,,,,,,,,,
75,"09_C_76_42","NLR_C_76_TADA","Kudiri",,,,,,,,,0,0,,,,,,,,,,,
76,"09_C_76_42","NLR_C_76_TADA","Kudiritippa kandriga",,,,,,,,,0,0,,,,,,,,,,,
77,"09_C_76_42","NLR_C_76_TADA","Pulivendra",,,,,,,,,5,12,,,,,,,,,,,
78,"09_C_76_42","NLR_C_76_TADA","Konduru",,,,,,,,,18,0,,,,,,,,,,,
79,"09_C_76_42","NLR_C_76_TADA","GOLLAMULUVU",,,,,,,,,0,3,,,,,,,,,,,
80,"09_C_76_42","NLR_C_76_TADA","VELAGALA VAGU",,,,,,,,,0,0,,,,,,,,,,,
81,"09_C_76_42","NLR_C_76_TADA","PALLEPALEM",,,,,,,,,0,9,,,,,,,,,,,
82,"09_C_76_42","NLR_C_76_TADA","THOPU KHANDRIKA",,,,,,,,,0,16,,,,,,,,,,,
83,"09_C_76_42","NLR_C_76_TADA","KARIJATHA",,,,,,,,,0,13,,,,,,,,,,,
84,"09_C_76_42","NLR_C_76_TADA","VATAMBEDU",,,,,,,,,0,0,,,,,,,,,,,
85,"09_C_76_42","NLR_C_76_TADA","DEVUNI KHANDRIKA",,,,,,,,,0,0,,,,,,,,,,,
86,"09_C_76_42","NLR_C_76_TADA","AKKAMPETA",,,,,,,,,20,0,,,,,,,,,,,
87,"09_C_76_42","NLR_C_76_TADA","GRADDAGUNTA",,,,,,,,,9,0,,,,,,,,,,,
88,"09_C_76_42","NLR_C_76_TADA","ANDAGUNDALA",,,,,,,,,6,0,,,,,,,,,,,
89,"09_C_76_42","NLR_C_76_TADA","TADA KHANDRIKA",,,,,,,,,2,3,,,,,,,,,,,
90,"09_C_76_42","NLR_C_76_TADA","TADA",,,,,,,,,1,0,,,,,,,,,,,
91,"09_C_76_42","NLR_C_76_TADA","Poodi",,,,,,,,,33,1,,,,,,,,,,,
92,"09_C_76_42","NLR_C_76_TADA","KARUR",,,,,,,,,13,37,,,,,,,,,,,
93,"09_C_76_42","NLR_C_76_TADA","BHEEMULAVARIPALEM",,,,,,,,,0,0,,,,,,,,,,,
94,"09_C_76_42","NLR_C_76_TADA","PERIAVATTU",,,,,,,,,10,5,,,,,,,,,,,
95,"09_C_76_42","NLR_C_76_TADA","RAMAPURAM",,,,,,,,,41,6,,,,,,,,,,,
96,"09_C_76_42","NLR_C_76_TADA","PANNAMGADU",,,,,,,,,5,0,,,,,,,,,,,
97,"09_C_76_42","NLR_C_76_TADA","Pulicat lake",,,,,,,,,,,,,,,,,,,,,
98,"09_C_76_42","NLR_C_76_TADA","Total",0,0,0,0,0,0,0,0,168,176,0,0,0,0,0,0,0,0,0,0,0
99,"09_C_72_12","NLR_C_72_A.S.PETA","Ravulakollu",,,,,,,,,,125,,,,,,,,,,,
100,"09_C_72_12","NLR_C_72_A.S.PETA","Kaligiri",,,,,,,,,,128,,,,,,,,,,,
101,"09_C_72_12","NLR_C_72_A.S.PETA","Veerannakollu",,,,,,,,,,117,,,,,,,,,,,
102,"09_C_72_12","NLR_C_72_A.S.PETA","Nagasamudram",,,,,,,,,,115,,,,,,,,,,,
103,"09_C_72_12","NLR_C_72_A.S.PETA","Venkannapalem",,,,,,,,,,32,,,,,,,,,,,
104,"09_C_72_12","NLR_C_72_A.S.PETA","Peddaannalur",,,,,,,,,,184,,,,,,,,,,,
105,"09_C_72_12","NLR_C_72_A.S.PETA","Velagapadu",,,,,,,,,,90,,,,,,,,,,,
106,"09_C_72_12","NLR_C_72_A.S.PETA","Kavalimustapuram",,,,,,,,,,94,,,,,,,,,,,
107,"09_C_72_12","NLR_C_72_A.S.PETA","Kothapeta",,,,,,,,,,38,,,,,,,,,,,
108,"09_C_72_12","NLR_C_72_A.S.PETA","Vinjamur",,,,,,,,,,275,,,,,,,,,,,
109,"09_C_72_12","NLR_C_72_A.S.PETA","Bukkapuram",,,,,,,,,,51,,,,,,,,,,,
110,"09_C_72_12","NLR_C_72_A.S.PETA","Chandrapadia",,,,,,,,,61,55,,,,,,,,,,,
111,"09_C_72_12","NLR_C_72_A.S.PETA","Chintalapalem",,,,,,,,,20,30,,,,,,,,,,,
112,"09_C_72_12","NLR_C_72_A.S.PETA","Nabbinagaram",,,,,,,,,2,18,,,,,,,,,,,
113,"09_C_72_12","NLR_C_72_A.S.PETA","Pamidipadu",,,,,,,,,6,22,,,,,,,,,,,
