,,,,Command Area,,Non command Area,,Poor quality area,,
Sr.no,Watershed code,GW watershed name,village name,Residential,,Residential,,Residential,,
72,09_C_76_42,NLR_C_76_TADA,Degapalem,,,2,,,,2
73,09_C_76_42,NLR_C_76_TADA,K.C.N.gunta,,,6,1,,,7
74,09_C_76_42,NLR_C_76_TADA,Gopala reddy palem,,,2,,,,2
75,09_C_76_42,NLR_C_76_TADA,Kudiri,,,1,1,,,2
76,09_C_76_42,NLR_C_76_TADA,Kudiritippa kandriga,,,3,1,,,4
77,09_C_76_42,NLR_C_76_TADA,Pulivendra,,,2,0,,,2
78,09_C_76_42,NLR_C_76_TADA,Konduru,,,9,1,,,10
79,09_C_76_42,NLR_C_76_TADA,GOLLAMULUVU,,,,,,,0
80,09_C_76_42,NLR_C_76_TADA,VELAGALA VAGU,,,3,0,,,3
81,09_C_76_42,NLR_C_76_TADA,PALLEPALEM,,,2,,,,2
82,09_C_76_42,NLR_C_76_TADA,THOPU KHANDRIKA,,,,,,,0
83,09_C_76_42,NLR_C_76_TADA,KARIJATHA,,,4,1,,,5
84,09_C_76_42,NLR_C_76_TADA,VATAMBEDU,,,6,1,,,7
85,09_C_76_42,NLR_C_76_TADA,DEVUNI KHANDRIKA,,,2,,,,2
86,09_C_76_42,NLR_C_76_TADA,AKKAMPETA,,,4,0,,,4
87,09_C_76_42,NLR_C_76_TADA,GRADDAGUNTA,,,20,1,,,21
88,09_C_76_42,NLR_C_76_TADA,ANDAGUNDALA,,,4,1,,,5
89,09_C_76_42,NLR_C_76_TADA,TADA KHANDRIKA,,,5,1,,,6
90,09_C_76_42,NLR_C_76_TADA,TADA,,,2,1,,,3
91,09_C_76_42,NLR_C_76_TADA,Poodi,,,3,1,,,4
92,09_C_76_42,NLR_C_76_TADA,KARUR,,,3,1,,,4
93,09_C_76_42,NLR_C_76_TADA,BHEEMULAVARIPALEM,,,2,,,,2
94,09_C_76_42,NLR_C_76_TADA,PERIAVATTU,,,3,,,,3
95,09_C_76_42,NLR_C_76_TADA,RAMAPURAM,,,1,1,,,2
96,09_C_76_42,NLR_C_76_TADA,PANNAMGADU,,,4,1,,,5
97,09_C_76_42,NLR_C_76_TADA,Pulicat lake,,,,,,,0
98,09_C_76_42,NLR_C_76_TADA,Total,0,0,111,16,0,0,127
99,09_C_72_12,NLR_C_72_A.S.PETA,Ravulakollu,,,10,1,,,11
100,09_C_72_12,NLR_C_72_A.S.PETA,Kaligiri,,,55,4,,,59
101,09_C_72_12,NLR_C_72_A.S.PETA,Veerannakollu,,,23,1,,,24
102,09_C_72_12,NLR_C_72_A.S.PETA,Nagasamudram,,,9,1,,,10
103,09_C_72_12,NLR_C_72_A.S.PETA,Venkannapalem,,,5,1,,,6
104,09_C_72_12,NLR_C_72_A.S.PETA,Peddaannalur,,,4,1,,,5
105,09_C_72_12,NLR_C_72_A.S.PETA,Velagapadu,,,27,3,,,30
106,09_C_72_12,NLR_C_72_A.S.PETA,Kavalimustapuram,,,10,2,,,12
107,09_C_72_12,NLR_C_72_A.S.PETA,Kothapeta,,,9,1,,,10
108,09_C_72_12,NLR_C_72_A.S.PETA,Vinjamur,,,145,4,,,149
109,09_C_72_12,NLR_C_72_A.S.PETA,Bukkapuram,,,16,2,,,18
110,09_C_72_12,NLR_C_72_A.S.PETA,Chandrapadia,,,6,1,,,7
111,09_C_72_12,NLR_C_72_A.S.PETA,Chintalapalem,,,9,1,,,10
112,09_C_72_12,NLR_C_72_A.S.PETA,Nabbinagaram,,,3,1,,,4
113,09_C_72_12,NLR_C_72_A.S.PETA,Pamidipadu,,,1,1,,,2
114,09_C_72_12,NLR_C_72_A.S.PETA,Nellorepalem,6,1,,,,,7
115,09_C_72_12,NLR_C_72_A.S.PETA,Atmakur,,,125,8,,,133
116,09_C_72_12,NLR_C_72_A.S.PETA,Vasili,,,14,2,,,16
117,09_C_72_12,NLR_C_72_A.S.PETA,Dubagunta,,,10,1,,,11
118,09_C_72_12,NLR_C_72_A.S.PETA,Chowtabheemavaram,,,20,2,,,22
119,09_C_72_12,NLR_C_72_A.S.PETA,Gudipadu,,,39,2,,,41
120,09_C_72_12,NLR_C_72_A.S.PETA,Gumparlapadu,,,23,1,,,24
