S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,
41,09_C_62_9,NLR_C_62_BOGOLE,Gogulapalli,6250,2.5,6,45,10.2,0.064,3.5,30,90,6.72,20.17,26.89,,,,,,,,,
42,09_C_62_9,NLR_C_62_BOGOLE,Allur,12500,2.5,6,45,10.2,0.128,3.5,30,90,13.44,40.33,53.77,,,,,,,,,
43,09_C_62_9,NLR_C_62_BOGOLE,Graddagunta,2500,2.5,6,45,10.2,0.026,3.5,30,90,2.69,8.07,10.75,,,,,,,,,
44,09_C_62_9,NLR_C_62_BOGOLE,Batrakagollu,2500,2.5,6,45,10.2,0.026,3.5,30,90,2.69,8.07,10.75,,,,,,,,,
45,09_C_62_7,NLR_C_62_JALADANKI,Gattupalli,3500,2,8,45,11.4,0.04,3.5,90,90,12.56,12.56,25.12,,,,,,,,,
46,09_C_62_7,NLR_C_62_JALADANKI,Jaladanki,22500,2,8,45,11.4,0.256,3.5,30,90,26.92,80.76,107.67,,,,,,,,,
47,09_C_62_7,NLR_C_62_JALADANKI,Rajovari Chintalapalem,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
48,09_C_62_8,NLR_C_62_KAVALI,Jammalapalem,3750,2.5,6,45,10.2,0.038,3.5,90,90,12.1,12.1,24.2,,,,,,,,,
49,09_C_62_8,NLR_C_62_KAVALI,Chelamcherla,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
50,09_C_62_8,NLR_C_62_KAVALI,Kottapalli,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
51,09_C_62_8,NLR_C_62_KAVALI,Maddurupadu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
52,09_C_62_8,NLR_C_62_KAVALI,Rudrakota,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
53,09_C_62_8,NLR_C_62_KAVALI,Chennayapalem,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
54,09_C_62_8,NLR_C_62_KAVALI,Anemadugu,0,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
55,09_C_62_8,NLR_C_62_KAVALI,Tummalapenta,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
56,09_C_62_8,NLR_C_62_KAVALI,Kavali  II,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
57,09_C_62_8,NLR_C_62_KAVALI,Kavali I (U),1250,2,4,45,7.4,0.009,3.5,30,90,0.97,2.91,3.88,,,,,,,,,
58,09_C_62_8,NLR_C_62_KAVALI,Budamgunta,2250,2,4,45,7.4,0.017,3.5,30,90,1.75,5.24,6.99,,,,,,,,,
59,09_C_62_8,NLR_C_62_KAVALI,Musanuru,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
60,09_C_62_8,NLR_C_62_KAVALI,Mannangidinne,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
61,09_C_62_8,NLR_C_62_KAVALI,Tallapalem,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
62,09_C_76_42,NLR_C_76_TADA,Mizuru,,,,45,0,0,3.5,90,90,0,0,0,,,,,,,,,
63,09_C_76_42,NLR_C_76_TADA,Krishna reddi tagelu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
64,09_C_76_42,NLR_C_76_TADA,Davidagunta,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
65,09_C_76_42,NLR_C_76_TADA,Pandalagunta,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
66,09_C_76_42,NLR_C_76_TADA,Jangalapalli,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
67,09_C_76_42,NLR_C_76_TADA,Mannemutturu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
