sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
75,09_C_76_42,NLR_C_76_TADA,Kudiri,,,1,16,,
76,09_C_76_42,NLR_C_76_TADA,Kudiritippa kandriga,,,1,16,,
77,09_C_76_42,NLR_C_76_TADA,Pulivendra,,,,18,,
78,09_C_76_42,NLR_C_76_TADA,Konduru,,,,75,,
79,09_C_76_42,NLR_C_76_TADA,GOLLAMULUVU,,,,,,
80,09_C_76_42,NLR_C_76_TADA,VELAGALA VAGU,,,,,,
81,09_C_76_42,NLR_C_76_TADA,PALLEPALEM,,,1,16,,
82,09_C_76_42,NLR_C_76_TADA,THOPU KHANDRIKA,,,,0,,
83,09_C_76_42,NLR_C_76_TADA,KARIJATHA,,,1,123,,
84,09_C_76_42,NLR_C_76_TADA,VATAMBEDU,,,1,158,,
85,09_C_76_42,NLR_C_76_TADA,DEVUNI KHANDRIKA,,,,0,,
86,09_C_76_42,NLR_C_76_TADA,AKKAMPETA,,,1,15,,
87,09_C_76_42,NLR_C_76_TADA,GRADDAGUNTA,,,1,133,,
88,09_C_76_42,NLR_C_76_TADA,ANDAGUNDALA,,,1,168,,
89,09_C_76_42,NLR_C_76_TADA,TADA KHANDRIKA,,,1,25,,
90,09_C_76_42,NLR_C_76_TADA,TADA,,,1,10,,
91,09_C_76_42,NLR_C_76_TADA,Poodi,,,1,22,,
92,09_C_76_42,NLR_C_76_TADA,KARUR,,,1,61,,
93,09_C_76_42,NLR_C_76_TADA,BHEEMULAVARIPALEM,,,1,2,,
94,09_C_76_42,NLR_C_76_TADA,PERIAVATTU,,,1,15,,
95,09_C_76_42,NLR_C_76_TADA,RAMAPURAM,,,1,71,,
96,09_C_76_42,NLR_C_76_TADA,PANNAMGADU,,,1,15,,
97,09_C_76_42,NLR_C_76_TADA,Pulicat lake,,,,,1,10190
98,09_C_76_42,NLR_C_76_TADA,Total,0,0,21,1248,1,10190
99,09_C_72_12,NLR_C_72_A.S.PETA,Ravulakollu,,,,,,
100,09_C_72_12,NLR_C_72_A.S.PETA,Kaligiri,,,2,320,,
101,09_C_72_12,NLR_C_72_A.S.PETA,Veerannakollu,,,1,60,,
102,09_C_72_12,NLR_C_72_A.S.PETA,Nagasamudram,,,1,60,,
103,09_C_72_12,NLR_C_72_A.S.PETA,Venkannapalem,,,,,,
104,09_C_72_12,NLR_C_72_A.S.PETA,Peddaannalur,,,1,100,,
105,09_C_72_12,NLR_C_72_A.S.PETA,Velagapadu,,,1,120,,
106,09_C_72_12,NLR_C_72_A.S.PETA,Kavalimustapuram,,,1,90,,
107,09_C_72_12,NLR_C_72_A.S.PETA,Kothapeta,,,1,30,,
108,09_C_72_12,NLR_C_72_A.S.PETA,Vinjamur,,,1,210,,
109,09_C_72_12,NLR_C_72_A.S.PETA,Bukkapuram,,,,,,
110,09_C_72_12,NLR_C_72_A.S.PETA,Chandrapadia,,,1,60,,
111,09_C_72_12,NLR_C_72_A.S.PETA,Chintalapalem,,,1,20,,
112,09_C_72_12,NLR_C_72_A.S.PETA,Nabbinagaram,,,1,10,,
113,09_C_72_12,NLR_C_72_A.S.PETA,Pamidipadu,,,,10,,
114,09_C_72_12,NLR_C_72_A.S.PETA,Nellorepalem,1,10,,,,
115,09_C_72_12,NLR_C_72_A.S.PETA,Atmakur,,,1,700,,
116,09_C_72_12,NLR_C_72_A.S.PETA,Vasili,,,,,,
117,09_C_72_12,NLR_C_72_A.S.PETA,Dubagunta,,,1,30,,
118,09_C_72_12,NLR_C_72_A.S.PETA,Chowtabheemavaram,,,1,40,,
119,09_C_72_12,NLR_C_72_A.S.PETA,Gudipadu,,,1,140,,
120,09_C_72_12,NLR_C_72_A.S.PETA,Gumparlapadu,,,1,40,,
121,09_C_72_12,NLR_C_72_A.S.PETA,Pandipadu,,,,,,
122,09_C_72_12,NLR_C_72_A.S.PETA,Peddaabbipuram,,,1,90,,
123,09_C_72_12,NLR_C_72_A.S.PETA,Rajavolu,,,1,100,,
124,09_C_72_12,NLR_C_72_A.S.PETA,Ponugodu,,,1,70,,
125,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudrampeta,,,,,,
126,09_C_72_12,NLR_C_72_A.S.PETA,Kakarlapadu,,,1,90,,
127,09_C_72_12,NLR_C_72_A.S.PETA,Zammavaram,,,2,50,,
128,09_C_72_12,NLR_C_72_A.S.PETA,Kavali yadavalli,,,1,180,,
129,09_C_72_12,NLR_C_72_A.S.PETA,Velpulagunta,,,1,12,,
130,09_C_72_12,NLR_C_72_A.S.PETA,Akbarabad,,,0,0,,
131,09_C_72_12,NLR_C_72_A.S.PETA,Chiramana,,,1,240,,
132,09_C_72_12,NLR_C_72_A.S.PETA,Chandalurupadu,,,,,,
133,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudram,,,1,210,,
134,09_C_72_12,NLR_C_72_A.S.PETA,Kuppurupadu,,,1,110,,
135,09_C_72_12,NLR_C_72_A.S.PETA,Kondameedikonduru,,,1,20,,
136,09_C_72_12,NLR_C_72_A.S.PETA,Peramana,,,1,100,,
137,09_C_72_12,NLR_C_72_A.S.PETA,Neelayapalem,,,1,20,,
138,09_C_72_12,NLR_C_72_A.S.PETA,Kolagatla,,,,,,
139,09_C_72_12,NLR_C_72_A.S.PETA,Total,1,10,31,3332,0,0
140,09_c_72_15,NLR_C_72_ANANTASAGARAM,Yerrakonda hills,,,,,,
141,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,,,
142,09_c_72_15,NLR_C_72_ANANTASAGARAM,Naginenigunta,,,1,40,,
143,09_c_72_15,NLR_C_72_ANANTASAGARAM,Singannapalle,,,1,20,,
144,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatinaidupalle,,,1,90,,
145,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chunchuluru,,,1,30,,
146,09_c_72_15,NLR_C_72_ANANTASAGARAM,Pallavolu,,,1,5,,
147,09_c_72_15,NLR_C_72_ANANTASAGARAM,Ponguru,,,1,150,,
148,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bandarupalli,,,,,,
149,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kanupurupalli,,,1,260,,
150,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,,,
151,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chapuralllapalle,,,1,10,,
152,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bommavaram,,,1,70,,
153,09_c_72_15,NLR_C_72_ANANTASAGARAM,Tholijapuram,,,,,,
154,09_c_72_15,NLR_C_72_ANANTASAGARAM,Gowravaram,,,1,10,,
155,09_c_72_15,NLR_C_72_ANANTASAGARAM,Amanichiruvella,1,80,,,,
156,09_c_72_15,NLR_C_72_ANANTASAGARAM,Inagalur,,,,,,
157,09_c_72_15,NLR_C_72_ANANTASAGARAM,Anantasagaram,1,820,,,,
158,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kamereddipadu,1,130,,,,
159,09_c_72_15,NLR_C_72_ANANTASAGARAM,Mangupalle,1,170,,,,
160,09_c_72_15,NLR_C_72_ANANTASAGARAM,Patalapalle,,,,,,
161,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatikambhampadu,1,120,,,,
162,09_c_72_15,NLR_C_72_ANANTASAGARAM,Somasila,1,20,,,,
163,09_c_72_15,NLR_C_72_ANANTASAGARAM,Uppalapadu,1,60,,,,
164,09_c_72_15,NLR_C_72_ANANTASAGARAM,Varikuntapadu,,,,,,
165,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bedusupalli,1,200,,,,
166,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-1,1,380,,,,
167,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-II,7,8,,,,
168,09_c_72_15,NLR_C_72_ANANTASAGARAM,Revuru,1,250,1,250,,
169,09_c_72_15,NLR_C_72_ANANTASAGARAM,Total,17,2238,11,935,0,0
