,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
81,09_C_76_42,NLR_C_76_TADA,PALLEPALEM,,,,0
82,09_C_76_42,NLR_C_76_TADA,THOPU KHANDRIKA,,,,0
83,09_C_76_42,NLR_C_76_TADA,KARIJATHA,,,,0
84,09_C_76_42,NLR_C_76_TADA,VATAMBEDU,,,,0
85,09_C_76_42,NLR_C_76_TADA,DEVUNI KHANDRIKA,,,,0
86,09_C_76_42,NLR_C_76_TADA,AKKAMPETA,,,,0
87,09_C_76_42,NLR_C_76_TADA,GRADDAGUNTA,,,,0
88,09_C_76_42,NLR_C_76_TADA,ANDAGUNDALA,,,,0
89,09_C_76_42,NLR_C_76_TADA,TADA KHANDRIKA,,,,0
90,09_C_76_42,NLR_C_76_TADA,TADA,,,,0
91,09_C_76_42,NLR_C_76_TADA,Poodi,,,,0
92,09_C_76_42,NLR_C_76_TADA,KARUR,,,,0
93,09_C_76_42,NLR_C_76_TADA,BHEEMULAVARIPALEM,,,,0
94,09_C_76_42,NLR_C_76_TADA,PERIAVATTU,,,,0
95,09_C_76_42,NLR_C_76_TADA,RAMAPURAM,,,,0
96,09_C_76_42,NLR_C_76_TADA,PANNAMGADU,,,,0
97,09_C_76_42,NLR_C_76_TADA,Pulicat lake,,,,0
98,09_C_76_42,NLR_C_76_TADA,Total,0,0,0,0
99,09_C_72_12,NLR_C_72_A.S.PETA,Ravulakollu,,,,0
100,09_C_72_12,NLR_C_72_A.S.PETA,Kaligiri,,,,0
101,09_C_72_12,NLR_C_72_A.S.PETA,Veerannakollu,,,,0
102,09_C_72_12,NLR_C_72_A.S.PETA,Nagasamudram,,,,0
103,09_C_72_12,NLR_C_72_A.S.PETA,Venkannapalem,,,,0
104,09_C_72_12,NLR_C_72_A.S.PETA,Peddaannalur,,,,0
105,09_C_72_12,NLR_C_72_A.S.PETA,Velagapadu,,,,0
106,09_C_72_12,NLR_C_72_A.S.PETA,Kavalimustapuram,,,,0
107,09_C_72_12,NLR_C_72_A.S.PETA,Kothapeta,,,,0
108,09_C_72_12,NLR_C_72_A.S.PETA,Vinjamur,,,,0
109,09_C_72_12,NLR_C_72_A.S.PETA,Bukkapuram,,,,0
110,09_C_72_12,NLR_C_72_A.S.PETA,Chandrapadia,,,,0
111,09_C_72_12,NLR_C_72_A.S.PETA,Chintalapalem,,,,0
112,09_C_72_12,NLR_C_72_A.S.PETA,Nabbinagaram,,,,0
113,09_C_72_12,NLR_C_72_A.S.PETA,Pamidipadu,,,,0
114,09_C_72_12,NLR_C_72_A.S.PETA,Nellorepalem,2,,,2
115,09_C_72_12,NLR_C_72_A.S.PETA,Atmakur,3,,,3
116,09_C_72_12,NLR_C_72_A.S.PETA,Vasili,,,,0
117,09_C_72_12,NLR_C_72_A.S.PETA,Dubagunta,,,,0
118,09_C_72_12,NLR_C_72_A.S.PETA,Chowtabheemavaram,,,,0
119,09_C_72_12,NLR_C_72_A.S.PETA,Gudipadu,,,,0
120,09_C_72_12,NLR_C_72_A.S.PETA,Gumparlapadu,,,,0
121,09_C_72_12,NLR_C_72_A.S.PETA,Pandipadu,,,,0
122,09_C_72_12,NLR_C_72_A.S.PETA,Peddaabbipuram,,,,0
123,09_C_72_12,NLR_C_72_A.S.PETA,Rajavolu,,,,0
124,09_C_72_12,NLR_C_72_A.S.PETA,Ponugodu,,,,0
125,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudrampeta,,,,0
126,09_C_72_12,NLR_C_72_A.S.PETA,Kakarlapadu,,,,0
127,09_C_72_12,NLR_C_72_A.S.PETA,Zammavaram,,,,0
128,09_C_72_12,NLR_C_72_A.S.PETA,Kavali yadavalli,,,,0
129,09_C_72_12,NLR_C_72_A.S.PETA,Velpulagunta,,,,0
130,09_C_72_12,NLR_C_72_A.S.PETA,Akbarabad,,,,0
131,09_C_72_12,NLR_C_72_A.S.PETA,Chiramana,,,,0
132,09_C_72_12,NLR_C_72_A.S.PETA,Chandalurupadu,,,,0
133,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudram,,,,0
134,09_C_72_12,NLR_C_72_A.S.PETA,Kuppurupadu,,,,0
135,09_C_72_12,NLR_C_72_A.S.PETA,Kondameedikonduru,,,,0
136,09_C_72_12,NLR_C_72_A.S.PETA,Peramana,,,,0
137,09_C_72_12,NLR_C_72_A.S.PETA,Neelayapalem,,,,0
138,09_C_72_12,NLR_C_72_A.S.PETA,Kolagatla,,,,0
139,09_C_72_12,NLR_C_72_A.S.PETA,Total,5,0,0,5
140,09_c_72_15,NLR_C_72_ANANTASAGARAM,Yerrakonda hills,,,,0
141,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,0
142,09_c_72_15,NLR_C_72_ANANTASAGARAM,Naginenigunta,,,,0
143,09_c_72_15,NLR_C_72_ANANTASAGARAM,Singannapalle,,,,0
144,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatinaidupalle,,,,0
145,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chunchuluru,,,,0
146,09_c_72_15,NLR_C_72_ANANTASAGARAM,Pallavolu,,,,0
147,09_c_72_15,NLR_C_72_ANANTASAGARAM,Ponguru,,,,0
148,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bandarupalli,,,,0
149,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kanupurupalli,,,,0
150,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,0
151,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chapuralllapalle,,,,0
152,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bommavaram,,,,0
153,09_c_72_15,NLR_C_72_ANANTASAGARAM,Tholijapuram,,,,0
154,09_c_72_15,NLR_C_72_ANANTASAGARAM,Gowravaram,,,,0
155,09_c_72_15,NLR_C_72_ANANTASAGARAM,Amanichiruvella,,,,0
156,09_c_72_15,NLR_C_72_ANANTASAGARAM,Inagalur,,,,0
