Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,,,,,,,,,,,,,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Water shed code,Watershed name,DIS code,district,mandal code,mandal,janmaboomi code,village code,,,,,,
22,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Tatiparti,618,618,0,0,618,0,0,0,0,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150280119,,Tatiparti
23,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gurukulapalem,165,165,0,0,165,0,0,0,0,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150210112,,Gurukulapalem
24,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gummadigaunta,238,0,0,0,0,238,0,0,238,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150290113,,Gummadigaunta
25,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chinnasingamala,38,38,0,0,38,0,0,0,0,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150230114,,Chinnasingamala
26,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pudi,700,0,0,0,0,700,0,0,700,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150170108,,Pudi
27,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,I laganuru,196,196,0,0,196,0,0,0,0,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150190110,,I laganuru
28,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konathaneri,578,0,0,0,0,578,0,0,578,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150200111,,Konathaneri
29,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Pennela Padu,263,0,0,0,0,263,0,0,263,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150180106,,Pennela Padu
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konnali,225,225,0,0,225,0,0,0,0,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150120106,,Konnali
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakannali,746,746,0,0,746,0,0,0,0,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150240115,,Peddakannali
