,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1327,"10-C-81-66","Ctr-pa-Kaundinya p1","Samudrapalli",799,799,1378,275,0,799,,4050,,1,107,,,,6,114,,,,,,,,0
1328,"10-C-81-66","Ctr-pa-Kaundinya p1","Karidimadugu",2168,2168,1967,1507,0,2168,,9978,,7,107,,,,7,121,,,,,,,,0
1329,"10-C-81-66","Ctr-pa-Kaundinya p1","Bayyappagaripalli",5895,5895,4468,4905,0,5895,,27058,,8,256,,,,7,271,,,,,,,,0
1330,"10-C-81-66","Ctr-pa-Kaundinya p1","Chethapenta",687,687,755,524,0,687,,3340,,19,30,,,,3,52,,,,,,,,0
1331,"10-C-81-66","Ctr-pa-Kaundinya p1","Kurmai",1126,1126,3545,434,0,1126,,7357,,8,104,,,,12,124,,,,,,,,0
1332,"10-C-81-66","Ctr-pa-Kaundinya p1","Jallipeta",386,386,1152,0,0,386,,2310,,13,92,,,,4,109,,,,,,,,0
1333,"10-C-81-66","Ctr-pa-Kaundinya p1","Morram",1875,1875,3270,707,0,1875,,9602,,6,208,,,,14,228,,,,,,,,0
1334,"10-C-81-66","Ctr-pa-Kaundinya p1","Ranginayanipalli",46,46,198,0,0,46,,336,,2,4,,,,0,6,,,,,,,,0
1335,"10-C-81-66","Ctr-pa-Kaundinya p1","Kolamasanapalli",2849,2849,6341,966,0,2849,,15854,,8,365,,,,17,390,,,,,,,,0
1336,"10-C-81-66","Ctr-pa-Kaundinya p1","S.R.Puram",326,326,414,0,0,326,,1392,,13,52,,,,2,67,,,,,,,,0
1337,"10-C-81-66","Ctr-pa-Kaundinya p1","Ayyamreddipalli",5,5,229,0,0,5,,244,,3,1,,,,0,4,,,,,,,,0
1338,"10-C-81-66","Ctr-pa-Kaundinya p1","Ankemvaripalli",12,12,0,0,0,12,,36,,1,4,,,,0,5,,,,,,,,0
1339,"10-C-81-66","Ctr-pa-Kaundinya p1","Gundlapalli",48,48,189,0,0,48,,333,,3,2,,,,2,7,,,,,,,,0
1340,"10-C-81-66","Ctr-pa-Kaundinya p1","Belupalli",1209,1209,4095,668,0,1209,,8390,,30,173,,,,17,220,,,,,,,,0
1341,"10-C-81-66","Ctr-pa-Kaundinya p1","Dharmapuri",257,257,1082,0,0,257,,1853,,13,23,,,,3,39,,,,,,,,0
