,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1418,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Peddaganuru",240,240,947,0,38,202,,1667,,3,63,,,,2,68,,,,,,,,0
1419,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Govindapalli",245,245,933,10,0,245,,1678,,3,29,,,,1,33,,,,,,,,0
1420,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Jowkupalli",215,215,488,69,64,151,,1202,,1,30,,,,0,31,,,,,,,,0
1421,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Balla",1200,1200,2608,630,42,1158,,6838,,19,101,,,,3,123,,,,,,,,0
1422,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Krishnapuram dinne",33,33,19,0,0,33,,118,,3,6,,,,1,10,,,,,,,,0
1423,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Bondalagunta",341,341,1240,4,65,276,,2267,,14,46,,,,2,62,,,,,,,,0
1424,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Singasamudram",1038,1038,2378,541,374,664,,6033,,11,48,,,,2,61,,,,,,,,0
1425,"10-C-81-70","Ctr-pa-Palar east","Baippareddla palle",482,482,1001,0,0,482,,2447,,8,68,,,,7,83,,,,,,,,0
1426,"10-C-81-70","Ctr-pa-Palar east","Rajupeta",285,285,789,0,0,285,,1644,,1,23,,,,3,27,,,,,,,,0
1427,"10-C-81-70","Ctr-pa-Palar east","Peddakurabalapalle",221,221,1149,9,0,221,,1821,,3,38,,,,3,44,,,,,,,,0
1428,"10-C-81-70","Ctr-pa-Palar east","Konganapalle",349,349,1200,0,0,349,,2247,,7,21,,,,4,32,,,,,,,,0
1429,"10-C-81-70","Ctr-pa-Palar east","Kollupalle",281,281,1037,0,0,281,,1880,,1,24,,,,1,26,,,,,,,,0
1430,"10-C-81-70","Ctr-pa-Palar east","Cheldiganipalle",210,210,1169,0,0,210,,1799,,1,45,,,,3,49,,,,,,,,0
1431,"10-C-81-70","Ctr-pa-Palar east","Kongatam",645,645,2976,0,0,645,,4911,,6,86,,,,4,96,,,,,,,,0
1432,"10-C-81-70","Ctr-pa-Palar east","Padigalakuppam",1005,1005,4312,0,0,1005,,7327,,6,101,,,,9,116,,,,,,,,0
1433,"10-C-81-70","Ctr-pa-Palar east","Vibutiyellagaram",85,85,292,0,0,85,,547,,1,9,,,,1,11,,,,,,,,0
1434,"10-C-81-70","Ctr-pa-Palar east","Chinnakongatam",36,36,11,0,0,36,,119,,0,6,,,,1,7,,,,,,,,0
1435,"10-C-81-70","Ctr-pa-Palar east","Sivunikuppam",564,564,2210,0,0,564,,3902,,6,93,,,,4,103,,,,,,,,0
1436,"10-C-81-70","Ctr-pa-Palar east","N.Dasarlapalle",58,58,14,0,0,58,,188,,0,12,,,,1,13,,,,,,,,0
1437,"10-C-81-70","Ctr-pa-Palar east","C.G.palle",146,146,570,0,0,146,,1008,,0,32,,,,1,33,,,,,,,,0
1438,"10-C-81-70","Ctr-pa-Palar east","M.Krishnapuram",236,236,1928,0,0,236,,2636,,0,41,,,,3,44,,,,,,,,0
1439,"10-C-81-70","Ctr-pa-Palar east","Gundusettipalle",540,540,2364,0,0,540,,3984,,0,65,,,,4,69,,,,,,,,0
1440,"10-C-81-70","Ctr-pa-Palar east","M.Santhampalle",53,53,293,0,0,53,,452,,0,11,,,,1,12,,,,,,,,0
1441,"10-C-81-70","Ctr-pa-Palar east","Sonneganipalle",30,30,3621,0,0,30,,3711,,0,29,,,,12,41,,,,,,,,0
1442,"10-C-81-70","Ctr-pa-Palar east","Dandikuppam",390,390,1301,0,0,390,,2471,,0,22,,,,2,24,,,,,,,,0
1443,"10-C-81-70","Ctr-pa-Palar east","Nallarallapalle",116,116,483,0,0,116,,831,,0,11,,,,1,12,,,,,,,,0
1444,"10-C-81-70","Ctr-pa-Palar east","Chowdampalle",75,75,444,0,0,75,,669,,0,20,,,,1,21,,,,,,,,0
1445,"10-C-81-70","Ctr-pa-Palar east","Kadirmuthanapalle",90,90,278,0,0,90,,548,,0,18,,,,1,19,,,,,,,,0
1446,"10-C-81-70","Ctr-pa-Palar east","Vetagirikotturu",305,305,358,0,0,305,,1273,,0,26,,,,1,27,,,,,,,,0
1447,"10-C-81-70","Ctr-pa-Palar east","Kolamadugu",182,182,684,0,0,182,,1230,,0,41,,,,4,45,,,,,,,,0
1448,"10-C-81-70","Ctr-pa-Palar east","Ammavaripeta",334,334,641,17,0,334,,1660,,0,34,,,,1,35,,,,,,,,0
1449,"10-C-81-70","Ctr-pa-Palar east","Santhampalle",92,92,230,0,0,92,,506,,0,16,,,,1,17,,,,,,,,0
1450,"10-C-81-70","Ctr-pa-Palar east","Sivaramapuram",185,185,1183,0,0,185,,1738,,0,68,,,,2,70,,,,,,,,0
1451,"10-C-81-70","Ctr-pa-Palar east","Nanjampeta",346,346,1623,0,0,346,,2661,,0,107,,,,3,110,,,,,,,,0
1452,"10-C-81-70","Ctr-pa-Palar east","Kangundi",691,691,5369,214,0,691,,7656,,8,47,,,,1,56,,,,,,,,0
1453,"10-C-81-70","Ctr-pa-Palar east","Venkateshapuram",15,15,216,0,0,15,,261,,0,2,,,,0,2,,,,,,,,0
1454,"10-C-81-70","Ctr-pa-Palar east","Kangundi R.F.",20438,20438,3960,9309,0,20438,,74583,,0,0,0,0,0,0,0,,,,,,,,0
1455,"10-C-81-71","Ctr-pa-palar west","Dasegannur",456,456,2075,,,456,,3443,,38,45,,,,3,86,,,,,,,,0
1456,"10-C-81-71","Ctr-pa-palar west","Saatu",376,376,551,,,376,,1679,,0,10,,,,2,12,,,,,,,,0
1457,"10-C-81-71","Ctr-pa-palar west","Rallabuduguru",909,909,4397,,,909,,7124,,1,80,,,,11,92,,,,,,,,0
1458,"10-C-81-71","Ctr-pa-palar west","Gunjarlapalli",304,304,1105,,,304,,2017,,0,63,,,,4,67,,,,,,,,0
1459,"10-C-81-71","Ctr-pa-palar west","Chintakampalli",160,160,264,,,160,,744,,0,27,,,,2,29,,,,,,,,0
1460,"10-C-81-71","Ctr-pa-palar west","Thumsi",188,188,954,,,188,,1518,,0,14,,,,2,16,,,,,,,,0
1461,"10-C-81-71","Ctr-pa-palar west","Gesikapalli",592,592,1807,,,592,,3583,,0,55,,,,7,62,,,,,,,,0
1462,"10-C-81-71","Ctr-pa-palar west","Konerukuppam",546,546,931,,,546,,2569,,0,27,,,,11,38,,,,,,,,0
1463,"10-C-81-71","Ctr-pa-palar west","Bendanakuppam",167,167,315,,,167,,816,,0,20,,,,1,21,,,,,,,,0
1464,"10-C-81-71","Ctr-pa-palar west","Pedduru",380,380,1105,,,380,,2245,,0,56,,,,5,61,,,,,,,,0
1465,"10-C-81-71","Ctr-pa-palar west","Anikera",183,183,537,,,183,,1086,,0,35,,,,1,36,,,,,,,,0
1466,"10-C-81-71","Ctr-pa-palar west","Bellakogila",186,186,791,,,186,,1349,,0,38,,,,3,41,,,,,,,,0
1467,"10-C-81-71","Ctr-pa-palar west","Varadagandlapalli",407,407,980,,,407,,2201,,0,40,,,,4,44,,,,,,,,0
1468,"10-C-81-71","Ctr-pa-palar west","Regadidinnepalli",191,191,469,,,191,,1042,,0,37,,,,3,40,,,,,,,,0
1469,"10-C-81-71","Ctr-pa-palar west","Nallapareddivuru",136,136,682,,,136,,1090,,0,40,,,,3,43,,,,,,,,0
1470,"10-C-81-71","Ctr-pa-palar west","Settiballa",464,464,1487,,,464,,2879,,1,79,,,,1,81,,,,,,,,0
1471,"10-C-81-71","Ctr-pa-palar west","Motakothuru",508,508,2293,,,508,,3817,,0,40,,,,2,42,,,,,,,,0
1472,"10-C-81-71","Ctr-pa-palar west","Kanemakulapalli",352,352,1779,,,352,,2835,,0,65,,,,4,69,,,,,,,,0
1473,"10-C-81-71","Ctr-pa-palar west","Boyanapalli",239,239,1145,,,239,,1862,,0,48,,,,2,50,,,,,,,,0
1474,"10-C-81-71","Ctr-pa-palar west","Joniganuru",124,124,403,,,124,,775,,0,32,,,,0,32,,,,,,,,0
1475,"10-C-81-71","Ctr-pa-palar west","Morasanapalli",305,305,2597,,,305,,3512,,0,49,,,,7,56,,,,,,,,0
1476,"10-C-81-71","Ctr-pa-palar west","Jalliganipalli",225,225,671,,,225,,1346,,0,25,,,,4,29,,,,,,,,0
1477,"10-C-81-71","Ctr-pa-palar west","Kanamaladoddi",96,96,418,,,96,,706,,0,25,,,,1,26,,,,,,,,0
1478,"10-C-81-71","Ctr-pa-palar west","Bantimadugu Gollapalli",78,78,1259,,,78,,1493,,0,18,,,,0,18,,,,,,,,0
1479,"10-C-81-71","Ctr-pa-palar west","Karlaguntla",109,109,1723,,,109,,2050,,0,35,,,,3,38,,,,,,,,0
1480,"10-C-81-71","Ctr-pa-palar west","Chimanapalli",264,264,1093,,,264,,1885,,0,34,,,,1,35,,,,,,,,0
1481,"10-C-81-71","Ctr-pa-palar west","Kadapalli",473,473,1174,,,473,,2593,,0,76,,,,2,78,,,,,,,,0
1482,"10-C-81-71","Ctr-pa-palar west","Thammiganipalli",174,174,168,,,174,,690,,0,13,,,,0,13,,,,,,,,0
1483,"10-C-81-71","Ctr-pa-palar west","Preethi chamanuru",152,152,470,,,152,,926,,0,40,,,,1,41,,,,,,,,0
1484,"10-C-81-71","Ctr-pa-palar west","Madanapalli",197,197,516,,,197,,1107,,0,10,,,,1,11,,,,,,,,0
1485,"10-C-81-71","Ctr-pa-palar west","Poduru",115,115,1105,,,115,,1450,,0,20,,,,2,22,,,,,,,,0
1486,"10-C-81-71","Ctr-pa-palar west","Bennayanuru",26,26,14,,,26,,92,,0,5,,,,0,5,,,,,,,,0
1487,"10-C-81-71","Ctr-pa-palar west","Kadiri obanapalli",145,145,423,,,145,,858,,0,10,,,,2,12,,,,,,,,0
1488,"10-C-81-71","Ctr-pa-palar west","Arimuthanapalli",170,170,1425,,,170,,1935,,0,27,,,,3,30,,,,,,,,0
1489,"10-C-81-71","Ctr-pa-palar west","Reddlapalli",167,167,1799,,,167,,2300,,5,64,,,,1,70,,,,,,,,0
1490,"10-C-81-71","Ctr-pa-palar west","Jeedimanipalli",136,136,171,,,136,,579,,0,23,,,,1,24,,,,,,,,0
1491,"10-C-81-71","Ctr-pa-palar west","Chillamanipalle",99,99,199,,,99,,496,,3,27,,,,1,31,,,,,,,,0
1492,"10-C-81-71","Ctr-pa-palar west","Donkumanipalli",624,624,3102,,,624,,4974,,0,48,,,,3,51,,,,,,,,0
1493,"10-C-81-71","Ctr-pa-palar west","Veduruguttapalli",305,305,492,,,305,,1407,,0,34,,,,1,35,,,,,,,,0
1494,"10-C-81-71","Ctr-pa-palar west","Sonnegownipalli",1086,1086,72,,,1086,,3330,,0,150,,,,12,162,,,,,,,,0
1495,"10-C-81-71","Ctr-pa-palar west","Chinnaradoddi",542,542,1751,,,542,,3377,,0,50,,,,3,53,,,,,,,,0
1496,"10-C-81-71","Ctr-pa-palar west","Gollapalle dinne",23,23,57,,,23,,126,,0,2,,,,0,2,,,,,,,,0
1497,"10-C-81-71","Ctr-pa-palar west","Anchinayanikuppam",94,94,246,,,94,,528,,0,34,,,,1,35,,,,,,,,0
1498,"10-C-81-72","Ctr-pa-kuppam vanka","Karamatla",94,94,148,0,0,94,,430,,0,15,,,,2,17,,,,,,,,0
1499,"10-C-81-72","Ctr-pa-kuppam vanka","Muddanapalli",1139,1139,2929,0,50,1089,,6346,,0,80,,,,7,87,,,,,,,,0
1500,"10-C-81-72","Ctr-pa-kuppam vanka","D.Tippanapalli",69,69,157,0,0,69,,364,,0,11,,,,1,12,,,,,,,,0
1501,"10-C-81-72","Ctr-pa-kuppam vanka","Gudipalli",204,204,1976,0,100,104,,2588,,7,35,,,,6,48,,,,,,,,0
1502,"10-C-81-72","Ctr-pa-kuppam vanka","Irisiganipalli",262,262,289,0,19,243,,1075,,4,28,,,,8,40,,,,,,,,0
1503,"10-C-81-72","Ctr-pa-kuppam vanka","Bijjiganipalle",168,168,358,0,50,118,,862,,3,14,,,,5,22,,,,,,,,0
1504,"10-C-81-72","Ctr-pa-kuppam vanka","Vontipalli",149,149,692,0,75,74,,1139,,2,39,,,,2,43,,,,,,,,0
1505,"10-C-81-72","Ctr-pa-kuppam vanka","Kotachembagiri",109,109,711,0,60,49,,1038,,3,9,,,,1,13,,,,,,,,0
1506,"10-C-81-72","Ctr-pa-kuppam vanka","Avulathimmenapalli",592,592,1652,212,192,400,,3640,,1,40,,,,8,49,,,,,,,,0
1507,"10-C-81-72","Ctr-pa-kuppam vanka","Chinnagollapalle",178,178,805,0,60,118,,1339,,0,15,,,,3,18,,,,,,,,0
1508,"10-C-81-72","Ctr-pa-kuppam vanka","Pogurupalli",914,914,1370,302,400,514,,4414,,2,35,,,,18,55,,,,,,,,0
1509,"10-C-81-72","Ctr-pa-kuppam vanka","Lingapuramdinne",215,215,388,0,175,40,,1033,,2,19,,,,2,23,,,,,,,,0
1510,"10-C-81-72","Ctr-pa-kuppam vanka","Dasinenipalli",224,224,494,0,13,212,,1167,,5,16,,,,2,23,,,,,,,,0
1511,"10-C-81-72","Ctr-pa-kuppam vanka","Sanganapalli",304,304,1031,0,0,304,,1943,,0,27,,,,4,31,,,,,,,,0
1512,"10-C-81-72","Ctr-pa-kuppam vanka","Burugulapalli",95,95,260,0,35,60,,545,,1,17,,,,0,18,,,,,,,,0
1513,"10-C-81-72","Ctr-pa-kuppam vanka","Boyanapalli",325,325,568,0,19,306,,1543,,0,20,,,,1,21,,,,,,,,0
1514,"10-C-81-72","Ctr-pa-kuppam vanka","Malavanikothur",166,166,253,0,75,91,,751,,0,16,,,,1,17,,,,,,,,0
1515,"10-C-81-72","Ctr-pa-kuppam vanka","Kodiganipalli",148,148,420,0,40,108,,864,,1,34,,,,0,35,,,,,,,,0
1516,"10-C-81-72","Ctr-pa-kuppam vanka","Anganamalakothur",74,74,213,0,0,74,,435,,0,20,,,,0,20,,,,,,,,0
1517,"10-C-81-72","Ctr-pa-kuppam vanka","Gundlasagaram",390,390,1140,0,100,290,,2310,,3,45,,,,2,50,,,,,,,,0
1518,"10-C-81-72","Ctr-pa-kuppam vanka","Nakkanapalli",378,378,674,61,38,341,,1870,,2,36,,,,5,43,,,,,,,,0
1519,"10-C-81-72","Ctr-pa-kuppam vanka","Maldepalli",400,400,658,0,25,375,,1858,,3,40,,,,8,51,,,,,,,,0
1520,"10-C-81-72","Ctr-pa-kuppam vanka","Kotapalli",241,241,508,0,50,191,,1231,,1,36,,,,2,39,,,,,,,,0
1521,"10-C-81-72","Ctr-pa-kuppam vanka","Sodiganipalli",268,268,973,0,75,193,,1777,,2,27,,,,2,31,,,,,,,,0
1522,"10-C-81-72","Ctr-pa-kuppam vanka","Chikatipalli",204,204,592,0,0,204,,1204,,4,20,,,,5,29,,,,,,,,0
1523,"10-C-81-72","Ctr-pa-kuppam vanka","Sonnarasanapalli",379,379,725,65,13,367,,1928,,4,30,,,,5,39,,,,,,,,0
1524,"10-C-81-72","Ctr-pa-kuppam vanka","Annagarlapalli",81,81,208,0,0,81,,451,,1,14,,,,2,17,,,,,,,,0
1525,"10-C-81-72","Ctr-pa-kuppam vanka","Kakinayani chigurupalle",181,181,897,0,19,162,,1440,,1,27,,,,3,31,,,,,,,,0
1526,"10-C-81-72","Ctr-pa-kuppam vanka","Dinnepalli",73,73,224,0,25,48,,443,,2,15,,,,4,21,,,,,,,,0
1527,"10-C-81-72","Ctr-pa-kuppam vanka","Thimmanayanipalli",165,165,343,0,88,78,,839,,2,15,,,,4,21,,,,,,,,0
1528,"10-C-81-72","Ctr-pa-kuppam vanka","Beggilapalli",284,284,1324,0,31,253,,2176,,4,23,,,,5,32,,,,,,,,0
1529,"10-C-81-72","Ctr-pa-kuppam vanka","Gokarlapalli",131,131,360,0,13,119,,754,,1,5,,,,1,7,,,,,,,,0
1530,"10-C-81-72","Ctr-pa-kuppam vanka","Nalagampalli",504,504,3417,30,13,492,,4960,,11,49,,,,4,64,,,,,,,,0
1531,"10-C-81-72","Ctr-pa-kuppam vanka","114 Settipalle",213,213,2314,0,56,157,,2953,,4,42,,,,1,47,,,,,,,,0
1532,"10-C-81-72","Ctr-pa-kuppam vanka","115 Settipalle",187,187,1756,0,0,187,,2317,,2,12,,,,1,15,,,,,,,,0
1533,"10-C-81-72","Ctr-pa-kuppam vanka","Kanamanapalli",585,585,1962,110,200,385,,3827,,2,29,,,,3,34,,,,,,,,0
1534,"10-C-81-72","Ctr-pa-kuppam vanka","Yamaganipalli",957,957,5286,212,575,382,,8369,,20,59,,,,15,94,,,,,,,,0
1535,"10-C-81-72","Ctr-pa-kuppam vanka","Agaram",822,822,1712,311,44,778,,4489,,3,75,,,,13,91,,,,,,,,0
1536,"10-C-81-72","Ctr-pa-kuppam vanka","Vengapalli",46,46,93,0,19,27,,231,,2,4,,,,0,6,,,,,,,,0
1537,"10-C-81-72","Ctr-pa-kuppam vanka","Kuppuganipalli",663,663,1249,282,280,383,,3520,,2,37,,,,4,43,,,,,,,,0
1538,"10-C-81-72","Ctr-pa-kuppam vanka","Sirigiripalli",217,217,1108,0,25,192,,1759,,3,52,,,,3,58,,,,,,,,0
1539,"10-C-81-72","Ctr-pa-kuppam vanka","Kuppam",239,239,98516,0,0,239,,99233,,12,21,,,,3,36,,,,,,,,0
1540,"10-C-81-72","Ctr-pa-kuppam vanka","Bairuganipalli",471,471,3230,0,0,471,,4643,,3,45,,,,1,49,,,,,,,,0
1541,"10-C-81-72","Ctr-pa-kuppam vanka","Chinnakurabalapalli",207,207,7748,0,63,145,,8370,,4,16,,,,4,24,,,,,,,,0
1542,"10-C-81-72","Ctr-pa-kuppam vanka","Guttapalle",92,92,542,0,0,92,,818,,5,8,,,,2,15,,,,,,,,0
1543,"10-C-81-72","Ctr-pa-kuppam vanka","Boggupalli",111,111,674,0,6,105,,1007,,4,24,,,,1,29,,,,,,,,0
1544,"10-C-81-72","Ctr-pa-kuppam vanka","Enjanuru",43,43,616,0,0,43,,745,,3,12,,,,1,16,,,,,,,,0
1545,"10-C-81-72","Ctr-pa-kuppam vanka","Bandasettipalli",126,126,1012,0,6,120,,1390,,7,29,,,,1,37,,,,,,,,0
1546,"10-C-81-72","Ctr-pa-kuppam vanka","Sigalapalli",240,240,1241,0,6,234,,1961,,7,44,,,,2,53,,,,,,,,0
1547,"10-C-81-72","Ctr-pa-kuppam vanka","Samaguttapalli",110,110,1136,0,0,110,,1466,,6,18,,,,2,26,,,,,,,,0
1548,"10-C-81-72","Ctr-pa-kuppam vanka","P.B.Nattam",346,346,1271,19,44,302,,2328,,8,25,,,,2,35,,,,,,,,0
1549,"10-C-81-72","Ctr-pa-kuppam vanka","C.B.Nattam",91,91,409,0,6,85,,682,,2,3,,,,0,5,,,,,,,,0
1550,"10-C-81-72","Ctr-pa-kuppam vanka","Ekarlapalli",699,699,4626,0,6,693,,6723,,28,45,,,,3,76,,,,,,,,0
1551,"10-C-81-72","Ctr-pa-kuppam vanka","Kamathanuru",106,106,579,0,7,99,,897,,5,5,,,,0,10,,,,,,,,0
1552,"10-C-81-72","Ctr-pa-kuppam vanka","Kathimanipalli",84,84,706,0,7,77,,958,,4,3,,,,1,8,,,,,,,,0
1553,"10-C-81-72","Ctr-pa-kuppam vanka","Chinnaparthikunta",308,308,599,,,308,,1523,,1,27,,,,1,29,,,,,,,,0
1554,"10-C-81-73","Ctr-pa-Chinnaeru","Kuttiganipalli",64,64,848,0,0,64,,1040,,5,14,,,,0,19,,,,,,,,0
1555,"10-C-81-73","Ctr-pa-Chinnaeru","Vasanadu",411,411,2707,0,0,411,,3940,,1,61,,,,3,65,,,,,,,,0
1556,"10-C-81-73","Ctr-pa-Chinnaeru","Vasanadu gollapalli",54,54,250,0,0,54,,412,,1,6,,,,0,7,,,,,,,,0
1557,"10-C-81-73","Ctr-pa-Chinnaeru","Molakalapalli",105,105,859,0,0,105,,1174,,5,6,,,,4,15,,,,,,,,0
1558,"10-C-81-73","Ctr-pa-Chinnaeru","Peddaboggupalli",121,121,341,0,0,121,,704,,2,15,,,,0,17,,,,,,,,0
1559,"10-C-81-73","Ctr-pa-Chinnaeru","Bodaguttapalli",128,128,237,0,0,128,,621,,0,3,,,,1,4,,,,,,,,0
1560,"10-C-81-73","Ctr-pa-Chinnaeru","Nadimuru",1120,1120,1570,577,346,774,,5507,,6,94,,,,4,104,,,,,,,,0
1561,"10-C-81-73","Ctr-pa-Chinnaeru","Gudlakadiri palli",69,69,969,0,0,69,,1176,,4,34,,,,1,39,,,,,,,,0
1562,"10-C-81-73","Ctr-pa-Chinnaeru","Paipalyam",358,358,2139,0,0,358,,3213,,21,87,,,,3,111,,,,,,,,0
1563,"10-C-81-73","Ctr-pa-Chinnaeru","Chinnaboggupalli",94,94,839,10,6,88,,1131,,2,4,,,,0,6,,,,,,,,0
1564,"10-C-81-73","Ctr-pa-Chinnaeru","Chekkanatham",314,314,2627,46,28,286,,3615,,18,113,,,,1,132,,,,,,,,0
1565,"10-C-81-73","Ctr-pa-Chinnaeru","Kanamapacherlapalli",190,190,632,87,52,138,,1289,,7,30,,,,1,38,,,,,,,,0
1566,"10-C-81-73","Ctr-pa-Chinnaeru","Ponnanguru",618,618,3364,150,90,528,,5368,,18,39,,,,1,58,,,,,,,,0
1567,"10-C-81-73","Ctr-pa-Chinnaeru","Mettakadinuru",387,387,2025,96,58,329,,3282,,17,28,,,,1,46,,,,,,,,0
1568,"10-C-81-73","Ctr-pa-Chinnaeru","Mittapalle",405,405,2878,46,28,377,,4139,,4,39,,,,0,43,,,,,,,,0
1569,"10-C-81-73","Ctr-pa-Chinnaeru","Avulanatham",399,399,1108,53,32,367,,2358,,16,30,,,,1,47,,,,,,,,0
1570,"10-C-81-73","Ctr-pa-Chinnaeru","Noolakunta",448,448,1474,50,32,416,,2868,,6,22,,,,1,29,,,,,,,,0
1571,"10-C-81-73","Ctr-pa-Chinnaeru","Nimmakampalle",36,36,113,0,0,36,,221,,0,3,,,,0,3,,,,,,,,0
1572,"10-C-81-73","Ctr-pa-Chinnaeru","Kothapalli",209,209,2822,9,6,203,,3458,,9,32,,,,2,43,,,,,,,,0
1573,"10-C-81-73","Ctr-pa-Chinnaeru","Sajjalapalle",215,215,455,13,8,207,,1113,,8,17,,,,2,27,,,,,,,,0
1574,"10-C-81-73","Ctr-pa-Chinnaeru","Kakimadugu",228,228,848,0,0,228,,1532,,6,12,,,,0,18,,,,,,,,0
1575,"10-C-81-73","Ctr-pa-Chinnaeru","Kunjeganuru",367,367,2065,0,0,367,,3166,,20,18,,,,2,40,,,,,,,,0
1576,"10-C-81-73","Ctr-pa-Chinnaeru","Peddagopanapalli",74,74,799,0,0,74,,1021,,5,9,,,,0,14,,,,,,,,0
1577,"10-C-81-73","Ctr-pa-Chinnaeru","Vendugampalli",172,172,2215,0,0,172,,2731,,12,46,,,,1,59,,,,,,,,0
1578,"10-C-81-73","Ctr-pa-Chinnaeru","Bevanapalli",465,465,4515,0,0,465,,5910,,9,65,,,,7,81,,,,,,,,0
1579,"10-C-81-73","Ctr-pa-Chinnaeru","Palarlapalli",525,525,1353,0,0,525,,2928,,5,16,,,,4,25,,,,,,,,0
1580,"10-C-81-73","Ctr-pa-Chinnaeru","Krishnadasanapalli",117,117,767,0,0,117,,1118,,7,23,,,,4,34,,,,,,,,0
1581,"10-C-81-73","Ctr-pa-Chinnaeru","Yanadipalli",359,359,1409,0,0,359,,2486,,4,19,,,,11,34,,,,,,,,0
1582,"10-C-81-73","Ctr-pa-Chinnaeru","Rajanam",259,259,534,0,0,259,,1311,,4,12,,,,2,18,,,,,,,,0
1583,"10-C-81-73","Ctr-pa-Chinnaeru","Varamanur",78,78,389,0,0,78,,623,,2,1,,,,1,4,,,,,,,,0
1584,"10-C-81-73","Ctr-pa-Chinnaeru","Gudlanayanipalli",177,177,902,0,0,177,,1433,,5,13,,,,5,23,,,,,,,,0
1585,"10-C-81-73","Ctr-pa-Chinnaeru","Vurinayanipalli",77,77,427,0,0,77,,658,,2,6,,,,1,9,,,,,,,,0
1586,"10-C-81-73","Ctr-pa-Chinnaeru","Vurinayanikothuru",50,50,297,0,0,50,,447,,0,4,,,,1,5,,,,,,,,0
1587,"10-C-81-73","Ctr-pa-Chinnaeru","Jarugu",87,87,377,0,0,87,,638,,0,18,,,,1,19,,,,,,,,0
1588,"10-C-81-73","Ctr-pa-Chinnaeru","Porakutlapalli",237,237,804,65,39,198,,1580,,1,6,,,,3,10,,,,,,,,0
1589,"10-C-81-73","Ctr-pa-Chinnaeru","Chillaralapalli",72,72,575,0,0,72,,791,,1,3,,,,3,7,,,,,,,,0
1590,"10-C-81-73","Ctr-pa-Chinnaeru","Bathalapalli",50,50,0,0,0,50,,150,,2,10,,,,1,13,,,,,,,,0
1591,"10-C-81-73","Ctr-pa-Chinnaeru","Kurmenipalli",768,768,855,230,138,630,,3389,,2,56,,,,2,60,,,,,,,,0
1592,"10-C-81-73","Ctr-pa-Chinnaeru","Vurlaobanapalli",142,142,880,0,0,142,,1306,,5,16,,,,1,22,,,,,,,,0
1593,"10-C-81-73","Ctr-pa-Chinnaeru","Marepalli",189,189,397,0,0,189,,964,,2,18,,,,2,22,,,,,,,,0
1594,"10-C-81-73","Ctr-pa-Chinnaeru","Gottappanagaripalli",103,103,484,0,0,103,,793,,4,18,,,,2,24,,,,,,,,0
1595,"10-C-81-73","Ctr-pa-Chinnaeru","Gonuguru",213,213,1037,0,0,213,,1676,,8,52,,,,0,60,,,,,,,,0
1596,"10-C-81-73","Ctr-pa-Chinnaeru","Peddapartikunta",169,169,710,0,0,169,,1217,,0,9,,,,1,10,,,,,,,,0
1597,"10-C-81-73","Ctr-pa-Chinnaeru","Alugumanipalli",303,303,717,0,0,303,,1626,,3,26,,,,5,34,,,,,,,,0
1598,"10-C-81-73","Ctr-pa-Chinnaeru","Onnappanayani kothur",769,769,1018,286,172,597,,3611,,2,52,,,,2,56,,,,,,,,0
1599,"10-C-81-73","Ctr-pa-Chinnaeru","Tali Agraharam",51,51,392,0,0,51,,545,,4,18,,,,2,24,,,,,,,,0
1600,"10-C-81-73","Ctr-pa-Chinnaeru","Kotamakonapalli",632,632,823,272,162,470,,2991,,7,52,,,,5,64,,,,,,,,0
1601,"10-C-81-73","Ctr-pa-Chinnaeru","Jarugukonda",1736,1736,0,0,0,1736,,5208,,0,110,,,,0,110,,,,,,,,0
1602,"10-C-81-74","Ctr-ponniar-Bisanatham","Peddagollapalli",143,143,444,0,50,93,,873,,2,16,,,,0,18,,,,,,,,0
1603,"10-C-81-74","Ctr-ponniar-Bisanatham","Bisanatham",348,348,729,91,230,118,,1864,,13,16,,,,0,29,,,,,,,,0
1604,"10-C-81-74","Ctr-ponniar-Bisanatham","Athinatham",591,591,569,313,100,491,,2655,,21,25,,,,0,46,,,,,,,,0
1605,"10-C-81-75","Ctr-Pa-Adavibuduguru","Adivimolakalapalli",310,310,888,0,0,310,,1818,,3,21,,,,0,24,,,,,,,,0
1606,"10-C-81-75","Ctr-Pa-Adavibuduguru","T.Chadumuru",585,585,2150,112,67,518,,4017,,8,35,,,,1,44,,,,,,,,0
1607,"10-C-81-75","Ctr-Pa-Adavibuduguru","Chinnaobba",1088,1088,1933,534,326,762,,5731,,8,45,,,,1,54,,,,,,,,0
