,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
30,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Konnali,12,33,627,553,0,0,0,0,,,,,6,49,41,48,0,0,0,0,,,,,,,,,,,,,,,,
31,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Peddakannali,29,56,565,363,0,0,0,0,,,,,20,190,60,165,0,0,0,0,,,,,,,,,,,,,,,,
32,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sambaiahpalem,0,30,0,42,0,7,118,150,,,,,0,0,0,0,0,30,0,42,,,,,,,,,,,,,,,,
33,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Basavaiahpalem,0,26,0,93,4,5,215,148,,,,,0,0,0,0,0,26,0,93,,,,,,,,,,,,,,,,
34,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Forest,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
35,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chukkalanidigallu,0,33,0,0,9,22,47,40,,,,,0,0,0,0,0,33,0,0,,,,,,,,,,,,,,,,
36,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Ramapuram,0,44,0,0,16,21,66,14,,,,,0,0,0,0,0,44,0,0,,,,,,,,,,,,,,,,
37,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sahasralingeswarapuram,0,33,0,0,6,8,20,2,,,,,0,0,0,0,0,33,0,0,,,,,,,,,,,,,,,,
38,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sri Kalahasthi,0,0,0,0,2,2,0,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
39,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Vedam,0,57,0,0,12,20,60,25,,,,,0,0,0,0,0,57,0,0,,,,,,,,,,,,,,,,
40,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Modugulapalem,0,0,0,0,36,36,65,65,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
41,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Tangellapalem,13.86666667,24,124,182,0,0,0,0,,,,,13,107,26,35,0,0,0,0,,,,,0,0,0,0,,,,,,,,
42,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Gowdamala,5.866666667,7.733333333,242,174,0,0,0,0,,,,,0,40,0,141,0,0,0,0,,,,,,0,,,,,,,,,,
43,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Routhusuramala,8.266666667,12.53333333,287,258,0,0,0,0,,,,,0,91,0,167,0,0,0,0,,,,,,0,,,,,,,,,,
44,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Forest,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,
45,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Parlapalli,8.533333333,6.933333333,468,421,0,0,0,0,,,,,0,40,31,238,0,0,0,0,,,,,,0,,,,,,,,,,
46,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Pallemala,33.33333333,34.66666667,334,375,0,0,0,0,,,,,23,112,0,241,0,0,0,0,,,,,,0,,,,,,,,,,
47,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Katuru,7.733333333,35.73333333,430,310,0,0,0,0,,,,,0,123,53,237,0,0,0,0,,,,,,0,,,,,,,,,,
48,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Bhavani sankarapuram,6.666666667,2.4,392,401,0,0,0,0,,,,,0,23,67,186,0,0,0,0,,,,,,0,,,,,,,,,,
49,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Alathuru,20.26666667,17.6,829,759,0,0,0,0,,,,,0,253,85,295,0,0,0,0,,,,,,0,,,,,,,,,,
50,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Taripedu,7.466666667,5.333333333,717,441,0,0,0,0,,,,,0,57,192,419,0,0,0,0,,,,,,0,,,,,,,,,,
51,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Chinnagunta,6.666666667,11.2,953,618,0,0,0,0,,,,,0,41,82,123,0,0,0,0,,,,,,,,,,,,,,,,
52,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Putteri,2.666666667,9.333333333,736,506,,0,0,,,,,,0,61,5,181,0,0,0,0,,,,,,,,,,,,,,,,
53,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Peddapalavedu,3.2,9.333333333,525,346,0,0,0,0,0,0,0,0,0,94,29,113,0,0,0,0,0,0,,,,,,,,,,,,,,
54,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Vijayagopalapuram,1.333333333,3.2,584,412,0,0,0,0,,,,,0,21,0,139,0,0,0,0,,,,,,,,,,,,,,,,
55,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Kananambedu,4,26.13333333,363,237,0,0,0,0,,,,,0,100,19,145,0,0,0,0,,,,,,,,,,,,,,,,
56,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adavaram,0,0,0,0,20,2,984,728,,,,,0,0,0,0,0,52,15,328,,,,,0,0,0,0,,,,,,,,
57,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Katrapalli,0,0,0,0,2,10,282,196,,,,,0,0,0,0,0,26,0,468,,,,,,0,,,,,,,,,,
58,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Thimmasamudram,0,0,0,0,8,0,798,736,,,,,0,0,0,0,0,14,51,509,,,,,,0,,,,,,,,,,
59,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Suramala,0,0,0,0,0,0,686,416,,,,,0,0,0,0,0,21,13,414,,,,,,0,,,,,,,,,,
60,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chellamambapuram,0,0,0,0,0,12,824,565,,,,,0,0,0,0,0,0,43,349,,,,,,0,,,,,,,,,,
61,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kalathuru,0,0,0,0,28,0,458,313,,,,,0,0,0,0,0,68,7,359,,,,,,0,,,,,,,,,,
62,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,KVB puram,0,0,0,0,0,4,632,582,,,,,0,0,0,0,0,24,7,686,,,,,,0,,,,,,,,,,
63,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Perindesam,0,0,0,0,7,5,440,359,,,,,0,0,0,0,0,16,0,433,,,,,,0,,,,,,,,,,
64,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,MA Rajulakandriga,0,0,0,0,6,8,490,485,,,,,0,0,0,0,0,16,12,563,,,,,,,,,,,,,,,,
65,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Subramanyapuram,0,0,0,0,0,4,668,514,,,,,0,0,0,0,0,0,13,614,,,,,,,,,,,,,,,,
66,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adaram,0,0,0,0,20,2,984,728,,,,,0,0,0,0,0,52,15,328,,,,,,,,,,,,,,,,
67,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Ragigunta,0,0,0,0,8,0,635,692,,,,,0,0,0,0,0,13,54,750,,,,,,,,,,,,,,,,
68,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Rangaiah gunta,0,0,0,0,2,2,450,496,,,,,0,0,0,0,0,11,5,665,,,,,,,,,,,,,,,,
69,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchera chenganna kandriga,0,0,0,0,0,7,248,252,,,,,0,0,0,0,0,0,0,215,,,,,,,,,,,,,,,,
70,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pathapalem,0,0,0,0,2,18,227,338,,,,,0,0,0,0,0,0,58,231,,,,,,,,,,,,,,,,
