GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
PKM_C_Musi_Podili,PKM_C-59-PODILI-MB,Bachchalakurapadu,Batchalakurapadu
PKM-C-MN-ULAVAPADU,PKM_C-61-ULAVAPADU-MB,Baddipudi,Baddepudi
PKM-C-MN-GUDLURU,PKM_C-61-GUDLUR-MB,Baddipudi,Baddepudi
PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,Badekhanpet,Badekhanpeta
PKM_C_Sagileru_Komarolu,PKM_C-70-KOMAROLU-MB,Badinenipalli,Badineni Palle
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Baduguleru,Baduguleru
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Badveedu,Badveedu
PKM-D-KRISHNA-PALUTLA,PKM_D-44-PALUTLA-MB,Baipenta,Bai Penta
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Balapuram,Bala Puram
PKM-C-PL-BALLIPALLI,PKM_C-60-BALLIPALLI-MB,Balavenkatapuram,Balavenkata Puram
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Balijapalem,Balijapalem
PKM_D_LK_Garinipenta,PKM_D-44_GARNIPENTA-MB,Ballagondipenta,Billagondi Penta
PKM-C-PL-VELIGANDLA,PKM_C-60-VELIGANDLA-MB,Ballavaram,Ballavaram
PKM_C_Romperu_Ballikurava,PKM_C-56-BALLIKURVA-MB,Ballikurava ,Ballikurava
PKM_C_Romperu_Ballikurava,PKM_C-56-BALLIKURVA-MB,Ballikurava ,Ballikurava
PKM-C-PL-BALLIPALLI,PKM_C-60-BALLIPALLI-MB,Ballipalli,Balli Palle
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Bandalapaya,Bandellapaya
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,BandiVeligandla,Bandiveligandla
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Bandlamudi,Bandlamudi
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Bandlamudi,Bandlamudi
PKM_C_GKM_Mundlamuru,PKM_C-57-MUNDLAMURU-MB,Basavapuram,Basava Puram
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Basavapuram,Basava Puram-1
PKM-C-GKM-KONAPALLI,PKM_C-57-KONAPALLI-MB,Basinepalli,Basine Palle
PKM-C-MN-GUDLURU,PKM_C-61-GUDLUR-MB,Basireddypalem,Basireddy Palem
PKM-C-GKM-RUDRASAMUDRAM,PKM_C-57-RUDRASAMUDRAM-MB,Battipadu,Battepadu-1
PKM-C-PL-P.C.PALLI,PKM_C-60-PC PALLY-MB,Battupalli,Battupalle
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Bayatamanjuluru,Bytamanjulur
PKM_C_GKM_Kurichedu,PKM_C-57-KURICHEDU-MB,Bayyavaram,Bayya Varam
PKM_C_Sagileru_Komarolu,PKM_C-70-KOMAROLU-MB,Bedusupalli,Bedusu Palle
PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,Bellamkondavaripalem,Bellamkondavari Palem
PKM_C_ROMPERU_INKOLLU,PKM_C-56-INKOLLU-MB,Bheemavaram,Bhimavaram-1
PKM_C_GKM_Edara,PKM_C-57-EDARA-MB,Bhimavaram,Bheemavaram-16
PKM-C-MN-ULAVAPADU,PKM_C-61-ULAVAPADU-MB,Bhimavaram,Bheemavaram-2
PKM_C_GKM_B.PETA,PKM_C-57-B.PETA-MB,Bhoopanaguntla,Bhupana Guntla
PKM-C-GKM-RUDRASAMUDRAM,PKM_C-57-RUDRASAMUDRAM-MB,Bhumanapalli,Bhumanapalle
PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,Bhupathipalli,Bhupathi Palle
PKM-C-MN-KANDUKUR,PKM_C-61-KANDUKURU-MB,Binginapalli,Bingini Palle
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Bobbepalli,Bobbe Palle
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Bodanampadu,Bodanampadu
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Bodapadu,Boda Padu
PKM-C-MN-L.Samudram,PKM_C-61-L.SAMUDRAM-MB,Bodavada,Bodavada
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Bodavada mandaGunta,Bodawadamandagunta
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Bodavuladinne,Bodavula Dinne
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Boddikurapadu,Boddikura Padu
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Boddikurapadu,Boddikura Padu
PKM_C_GKM_Addanki,PKM_C-57-ADDANKI-MB,Bodduvaripalem  (Medrametla),Bodduvani Palem
PKM_C_SAGILERU_GIDDALURU,PKM_C-70-GIDDALUR-MB,Bogada,Bogada
Pkm_C_PL_Ponnalulu,PKM_C-60-PONNALULU-MB,Boganampadu,Boganampadu
PKM_C-GKM_ARDHAVEEDU,PKM_C-57-ARTHAVEEDU-MB,Bogulu,Bogolu
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Bollapalli,Bolla Palle
PKM_C-GKM_ARDHAVEEDU,PKM_C-57-ARTHAVEEDU-MB,Bollupalli,Bollu Palle
PKM_C_GKM_Addanki,PKM_C-57-ADDANKI-MB,Bommanampadu,Bommanampadu
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Bommireddypalli,Bommireddi Palle
PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,Bondalapadu,Bondala Padu
PKM-C-PL-VELIGANDLA,PKM_C-60-VELIGANDLA-MB,Bontaguntapalli,Bonthagunta Palle
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Bonthavaripalli,Bontha Vari Palle
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Botlaguduru,Botla Gudur
PKM_C_GKM_Edara,PKM_C-57-EDARA-MB,Botlapalli,Bhatla Palle
PKM-C-GKM-Boyalapalli,PKM_C-57-BOYALAPALLI-MB,Boyalapalli,Boyala Palle
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Boyamadugula,Boyamadugula
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Boyanagumpala,Boyada Gumpula
PKM_C_Sagileru_Komarolu,PKM_C-70-KOMAROLU-MB,Brahmanapalli,Brahmana Palle
PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,Brundavanam,Brundavanam
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Budamkayalapadu,Budamkayala Padu
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Budavada,Budavada-1
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Budavada,Budavada-1
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Budavada,Budavada
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Bukkapuram,Bukka Puram
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Bukkapuram,Bukkapuram-3
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Buradapaelm,Burada Palem
PKM-D-KRISHNA-PALUTLA,PKM_D-44-PALUTLA-MB,Burugundla,Buru Gundala
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Busarlapalli,Bhusura Palle
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Busarlapalli,Bhusura Palle
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,C.A.B.Kandrika,C G Anantha Bhotla Vari Khandrika
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,C.G.C.Kandrika,C G Chamarthivarikhandrika
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,C.M.Kandrika,C G Mamidalavarikhandrika
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,C.S.Puram,Chandra Sekhara Puram
PKM-C-PL-P.C.PALLI,PKM_C-60-PC PALLY-MB,Ch.varimadugu,Chinavari Madugu
PKM_C_GKM_Korisapadu,PKM_C-57-KORISAPADU-MB,Chadalawada,Chadalawada
PKM-C-MN-ULAVAPADU,PKM_C-61-ULAVAPADU-MB,Chagollu,Chagallu-1
