"S.No","Watershed code","Watershed Name"," Village Name","Length ","Design depth of flow","Bed width","Side Slopes","WettedPerimeter","Wetted area","Canal seepage factor"," No.of operating days of canal",," Recharge from canal (ha.m)",,"Annual Recharge"
,,,,"mts","mts","mts","( degrees )","mts","( m.sq mts.)","( ha.m/d/m.sq.m )","Monsoon ","N-Monsoon","Monsoon ","Non-Monsoon","( ha.m )"
39,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Endluru",2100,1.5,4,30,7.6,0.01596,15,60,90,14.364,21.546,35.91
40,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pernamitta",5500,1.5,4,30,7.6,0.0418,15,60,90,37.62,56.43,94.05
41,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","S.N.Padu (Gangavaram)",3800,1.5,4,30,7.6,0.02888,15,60,90,25.992,38.988,64.98
42,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Throvagunta",2000,1.5,4,30,7.6,0.0152,15,60,90,13.68,20.52,34.2
43,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Devarampadu",300,1.5,4,30,7.6,0.00228,15,60,90,2.052,3.078,5.13
44,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gudimendlapadu",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
45,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mukthinuthalapadu",200,1.5,4,30,7.6,0.00152,15,60,90,1.368,2.052,3.42
46,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Vellampalli",,,,,,,,,90,,,
47,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Kolachinakota",,,,,,,,,90,,,
48,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Seetharampuram",,,,,,,,,90,,,
49,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nandipadu",,,,,,,,,90,,,
50,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Inamanamellur",,,,,,,,,90,,,
51,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavarappadu",,,,,,,,,90,,,
52,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Peddakothapalli",,,,,,,,,90,,,
53,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yedugundlapadu",,,,,,,,,90,,,
54,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P.Gudipadu",,,,,,,,,90,,,
55,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Karavadi ",,,,,,,,,90,,,
56,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ulichi",,,,,,,,,90,,,
57,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chejerla",,,,,,,,,90,,,
58,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddiralapadu",,,,,,,,,90,,,
59,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chekurapadu",,,,,,,,,90,,,
60,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Devarapalem",,2,2.4,45,5.7941125497,0,15,30,90,0,0,0
61,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Nippatlapadu",,2,2,45,5.3941125497,0,15,30,90,0,0,0
62,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Budavada",3600,1.5,4,30,7.6,0.02736,15,30,90,12.312,36.936,49.248
63,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","R.L.Puram",3200,1.5,4,30,7.6,0.02432,15,30,90,10.944,32.832,43.776
64,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mylavaram",1600,1,2.5,30,4.9,0.00784,15,30,90,3.528,10.584,14.112
65,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pulikonda",4400,1,2.5,30,4.9,0.02156,15,30,90,9.702,29.106,38.808
66,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ravipadu",4800,1,2.5,30,4.9,0.02352,15,30,90,10.584,31.752,42.336
