"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
230,"08_C_57_04","PKM_C_GKM_Kurichedu","Dekanakonda",,,2,8,0,0
231,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Santaravuru ",1,5,,,,
232,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Nagandla",0,0,,,,
233,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Idupulapadu",0,0,,,,
234,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Pusapadu",0,0,,,,
235,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Pavuluru  ",0,0,,,,
236,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Inkollu    ",0,0,,,,
237,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Bheemavaram",0,0,,,,
238,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Dronadula",0,0,,,,
239,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","KOLALAPUDI",0,0,,,,
240,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Timmasamudram",0,0,,,,
241,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Nuthalapadu",0,0,,,,
242,"08_C_56_25","PKM_C_ROMPERU_INKOLLU","Punuru",0,0,,,,
243,"08_C_57_13","PKM_C_GKM_Darsi","Darsi",,,0,0,0,0
244,"08_C_57_13","PKM_C_GKM_Darsi","T.choutapalem",,,0,0,0,0
245,"08_C_57_13","PKM_C_GKM_Darsi","E.Veerayapalem",1,5,0,0,0,0
246,"08_C_57_13","PKM_C_GKM_Darsi","Mohiddinpuram",,,0,0,0,0
247,"08_C_57_13","PKM_C_GKM_Darsi","Cheruvukommupalem",,,0,0,0,0
248,"08_C_57_13","PKM_C_GKM_Darsi","Seetasagar",,,0,0,0,0
249,"08_C_57_13","PKM_C_GKM_Darsi","POTHAKAMURU",1,7,0,0,0,0
250,"08_C_57_13","PKM_C_GKM_Darsi","Samanthapudi",,,0,0,0,0
251,"08_C_57_13","PKM_C_GKM_Darsi","Akkamambapuram",,,0,0,0,0
252,"08_C_57_13","PKM_C_GKM_Darsi","Brundavanam",,,0,0,0,0
253,"08_C_57_13","PKM_C_GKM_Darsi","Pulipadu",1,15,0,0,0,0
254,"08_C_57_13","PKM_C_GKM_Darsi","Singanapalem",,,0,0,0,0
255,"08_C_57_13","PKM_C_GKM_Darsi","Dosakayalapadu",,,0,0,0,0
256,"08_C_57_13","PKM_C_GKM_Darsi","Mannepalli",1,5,0,0,0,0
257,"08_C_57_13","PKM_C_GKM_Darsi","Vittalapuram",1,2,0,0,0,0
258,"08_C_57_13","PKM_C_GKM_Darsi","TALLURU",,,0,0,0,0
259,"08_C_57_13","PKM_C_GKM_Darsi","Madhava varam",,,0,0,0,0
260,"08_C_57_13","PKM_C_GKM_Darsi","Ramabhadrapuram",,,0,0,0,0
261,"08_C_57_13","PKM_C_GKM_Darsi","Bellamkondavaripalem",,,0,0,0,0
262,"08_C_57_13","PKM_C_GKM_Darsi","Sarvamitta",,,0,0,0,0
263,"08_C_57_13","PKM_C_GKM_Darsi","Lakkavaram",1,8,0,0,0,0
264,"08_C_57_13","PKM_C_GKM_Darsi","Nagambotlapalem",,,0,0,0,0
265,"08_C_57_13","PKM_C_GKM_Darsi","Somavarappadu",,,0,0,0,0
266,"08_C_57_13","PKM_C_GKM_Darsi","Siva ramapuram",,,0,0,0,0
267,"08_C_57_13","PKM_C_GKM_Darsi","Denuvukonda",0,0,0,0,0,0
268,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Kopparapalem",,,0,0,,
269,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Vellalacheruvu",1,5,0,0,,
270,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Gopapuram Agraharam",,,0,0,,
271,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Kamepalli",,,0,0,,
272,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Santhamaguluru ",1,6,0,0,,
273,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Tangedumalli",,,0,0,,
274,"08_C_55_18","PKM_C_Ogeru_S.Maguluru","Gurizepalli",,,0,0,,
