"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
65,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pulikonda",1,4,,,,
66,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ravipadu",1,4,,,,
67,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Busarlapalli",0,0,,,,
68,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","G.Lakshmipuram",1,5,,,,
69,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ramachandrapuram",0,0,,,,
70,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pidathalapudi",0,0,,,,
71,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Gonuguntla",1,5,,,,
72,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Tripurasundaripuram",0,0,,,,
73,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","China Uyyalavada",1,4,,,,
74,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Gummalampadu",0,0,,,,
75,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Enikapadu",0,0,,,,
76,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","B.Machavaram(Madduluru)",0,0,,,,
77,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mattipadu(Vemulapadu)",1,4,,,,
78,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Chilakapadu",0,0,,,,
79,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","P.Takkellapadu",0,0,,,,
80,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Konaganivaripalem",,,0,0,,
81,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","S.N.Puram",0,0,,,,
82,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Boddikurapadu",0,0,,,,
83,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Surayapalem",,,0,0,,
84,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Karumanchi",0,0,,,,
85,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Nidamaluru",,,0,0,,
86,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ponduru",0,0,,,,
87,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Turpu Naidupalem",0,0,,,,
88,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","G.kattubadi",0,0,,,,
89,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mallavarappadu",1,5,,,,
90,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Kanduluru",,,0,0,,
