S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
40,PKM_C_Sagileru_Allinagaram,PKM_C-70-ALLINAGARAM-MB,18.24,5.1,16.72,,,,,,0.9,,738,557,181,780,490,290
41,PKM_D_LK_Garinipenta,PKM_D-44_GARNIPENTA-MB,33.9,16.77,22.62,,,,,,0.98,,733,543,190,857.2,365,492.2
42,PKM_C_GKM_Korisapadu,PKM_C-57-KORISAPADU-MB,8.85,5.95,6.63,,,,,,0.9,,865,642,223,1269.8,447.2,822.6
43,PKM_C-GKM_ARDHAVEEDU,PKM_C-57-ARTHAVEEDU-MB,13.05,6.22,9.15,,,,,,0.9,,734,532,202,670.4,459.8,210.6
44,PKM_C_Romperu_N.G.Padu,PKM_C-56-NG PADU-MB,5.89,5.95,2.95,,,,,,1,,993,686,307,1269.8,447.2,822.6
45,PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,7.5,7.75,9.5,,,,,,0.98,,770,512,258,628.6,206,422.6
46,PKM-C-PL-VELIGANDLA,PKM_C-60-VELIGANDLA-MB,10.95,3.78,7.52,,,,,,1,,808,510,298,1011,641,370
47,Pkm_C-Gkm_Racherla,PKM_C-57-RACHERLA-MB,31.25,13.83,25.15,,,,,,0.98,,618,465,153,760.4,535.4,225
48,PKM-D-KRISHNA-PALUTLA,PKM_D-44-PALUTLA-MB,33.9,16.77,22.62,,,,,,0.9,,732,542,190,857.2,365,492.2
49,Pkm_C_PL_Ponnalulu,PKM_C-60-PONNALULU-MB,9.2,7.13,9.68,,,,,,0.9,,970,613,357,649.4,267.2,382.2
50,PKM-C-PL-JARUGUMALLI,PKM_C-60-JARUGUMILLI-MB,6.4,5.45,6.34,,,,,,0.9,,1093,653,440,815.2,169.8,645.4
51,PKM-C-PL-BALLIPALLI,PKM_C-60-BALLIPALLI-MB,10.95,3.78,7.52,,,,,,0.98,,808,510,298,643.8,238.4,405.4
52,PKM_C_Sagileru_Komarolu,PKM_C-70-KOMAROLU-MB,18.24,5.1,16.72,,,,,,0.9,,737,557,180,780,490,290
53,PKM-C-GKM-PEDDARAVEEDU,PKM_C-57-PEDDARAVEEDU-MB,33.26,9.26,28.38,,,,,,0.98,,711,510,201,402.2,183.4,218.8
54,PKM-C-MN-L.Samudram,PKM_C-61-L.SAMUDRAM-MB,4.86,3.79,7.09,,,,,,0.9,,1140,694,446,769,348,421
55,PKM_C_Musi_Podili,PKM_C-59-PODILI-MB,9.5,4.64,10.48,,,,,,0.8,,789,524,265,628.6,206,422.6
56,PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,23.34,12.18,24.15,,,,,,0.9,,733.2,532.2,201,670.4,459.8,210.6
57,PKM_C_GKM_Markapuram(NC),PKM_C-57-MARKAPURAM-MB,44.9,13.72,36.64,,,,,,0.9,,723,519,204,778.4,387.2,391.2
58,PKM-C-MN-KANDUKUR,PKM_C-61-KANDUKURU-MB,7.04,4.93,7.05,,,,,,0.98,,1145,699,446,890,325.2,564.8
59,PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,29.01,9.83,17.14,,,,,,0.9,,860,586,274,402.2,183.4,218.8
60,PKM-C-MN-GUDLURU,PKM_C-61-GUDLUR-MB,4.81,3.37,7.46,,,,,,0.9,,1108,633,475,816.4,287.6,528.8
61,PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,9.9,5.8,10.23,,,,,,0.85,,795,525,270,643.8,238.4,405.4
62,PKM_C_GKM_B.PETA,PKM_C-57-B.PETA-MB,40.6,18.46,30.88,,,,,,0.9,,763,554,209,957,646.4,310.6
63,PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,9.66,5.62,9.27,,,,,,0.8,,1080,680,400,736.2,272,464.2
64,PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,6.15,5.66,8.26,,,,,,0.9,,724,480,244,395,123.2,271.8
65,PKM-C-GKM-Y.PALEM,PKM_C-57-YERRAGONDAPALEM-MB,33.9,16.77,22.62,,,,,,0.9,,732,542,190,857.2,365,492.2
66,PKM-C-PL-P.C.PALLI,PKM_C-60-PC PALLY-MB,7.68,7.27,9.06,,,,,,0.98,,798,523,275,555.4,226.6,328.8
