"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
37,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Guravareddipalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Minampadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Endluru",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pernamitta",4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","S.N.Padu (Gangavaram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Throvagunta",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Devarampadu",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gudimendlapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mukthinuthalapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Vellampalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Kolachinakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Seetharampuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nandipadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Inamanamellur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavarappadu",,,,,,,,,,,4,0.8,,,4,0.4,,,,,,,,,,,,,,
52,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Peddakothapalli",,,,,,,,,,,1,0.2,,,,,,,,,,,,,,,,,,
53,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yedugundlapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P.Gudipadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Karavadi ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ulichi",,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
57,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chejerla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddiralapadu",,,,,,,,,,,,,,,4,0.4,,,,,,,,,,,,,,
59,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chekurapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Devarapalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Nippatlapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Budavada",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","R.L.Puram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mylavaram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pulikonda",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ravipadu",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Busarlapalli",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","G.Lakshmipuram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ramachandrapuram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pidathalapudi",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Gonuguntla",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Tripurasundaripuram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
