,,,,CA,NCA,PQA,,,,,
,,,,Industrial,Industrial,Industrial,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,,,,
65,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Pulikonda,,,,0,,,,
66,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ravipadu,,,,0,,,,
67,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Busarlapalli,,,,0,,,,
68,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,G.Lakshmipuram,,,,0,,,,
69,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ramachandrapuram,,,,0,,,,
70,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Pidathalapudi,,,,0,,,,
71,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Gonuguntla,,,,0,,,,
72,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Tripurasundaripuram,,,,0,,,,
73,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,China Uyyalavada,,,,0,,,,
74,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Gummalampadu,,,,0,,,,
75,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Enikapadu,,,,0,,,,
76,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,B.Machavaram(Madduluru),,,,0,,,,
77,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mattipadu(Vemulapadu),,,,0,,,,
78,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Chilakapadu,,,,0,,,,
79,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,P.Takkellapadu,,,,0,,,,
80,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Konaganivaripalem,,,,0,,,,
81,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,S.N.Puram,,,,0,,,,
82,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Boddikurapadu,,,,0,,,,
83,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Surayapalem,,,,0,,,,
84,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Karumanchi,,,,0,,,,
85,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Nidamaluru,,,,0,,,,
86,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ponduru,,,,0,,,,
87,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Turpu Naidupalem,,,,0,,,,
88,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,G.kattubadi,,,,0,,,,
89,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mallavarappadu,,,,0,,,,
90,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Kanduluru,,,,0,,,,
